	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond
48	OLD	kitchen_white strainer.bmp	Old38	0	2	8.853	8	1084	310.518	3.0	313.518	2.0	Old22	Enc37
49	New	animal_seal.bmp	New38	1	2	1.976	8	1084	315.518	3.0	318.518	14.0	Old77	Enc38
50	OLD	vegie_cauliflower.bmp	Old72	1	1	1.3159999999999998	5	1062	333.01599999999996	3.0	336.01599999999996	4.0	Old25	Enc39
51	New	kitchen_garlic press.bmp	New07	1	2	1.905	5	1062	340.01599999999996	3.0	343.015	1.5	False	CTL13
52	OLD	kitchen_coffee pot.bmp	Old29	1	1	1.53	6	1771	344.515	3.0	347.515	1.0	Old24	Enc40
53	New	musical_uculele_new.bmp	New39	0	1	1.225	9	1239	348.515	3.0	351.515	3.0	False	CTL14
54	OLD	sporting_soccer ball_new.bmp	Old65	1	1	1.433	6	1415	354.515	3.0	357.514	5.5	False	CTL15
55	OLD	sporting_americanfootball.bmp	Old53	1	1	0.78	6	1411	363.014	3.0	366.01300000000003	2.0	False	CTL16
56	OLD	food_cracker02.bmp	Old18	0	2	4.247	6	1411	368.01300000000003	3.0	371.01300000000003	2.5	Old41	Enc41
57	New	food_pizza.bmp	New22	1	2	1.883	6	1411	373.51300000000003	3.0	376.51300000000003	3.0	Old38	Enc42
58	OLD	animal_dalmation_old.bmp	Old04	0	2	4.7010000000000005	6	1411	379.51199999999983	3.0	382.51199999999983	3.0	Old30	Enc43
59	New	kitchen_kettle_new.bmp	New24	1	2	2.718	6	1411	385.51199999999983	3.0	388.51199999999983	2.0	Old66	Enc44
60	OLD	animal_lion_new.bmp	Old07	1	1	0.8759999999999999	8	5095	390.51099999999997	3.0	393.51099999999997	5.0	Old54	Enc45
61	New	musical_bagpipes.bmp	New35	1	2	1.745	8	5095	398.51099999999997	3.0	401.51	4.5	Old64	Enc46
62	OLD	vegie_green capsicum.bmp	Old75	1	1	1.121	5	1906	406.01	3.0	409.01	10.0	False	CTL17
63	OLD	food_toast.bmp	Old26	0	2	2.002	5	1906	419.509	3.0	422.509	2.5	Old73	Enc47
64	OLD	sporting_mini-trampoline.bmp	Old61	1	1	1.24	5	2749	425.00800000000004	3.0	428.00800000000004	2.5	Old31	Enc48
65	New	food_bread.bmp	New28	1	2	1.5390000000000001	5	2749	430.50800000000004	3.0	433.50800000000004	6.0	False	CTL18
66	OLD	sporting_Badminton Racquet.bmp	Old54	1	1	1.6669999999999998	6	2150	439.50699999999983	3.0	442.50699999999983	3.5	False	CTL19
67	New	kitchen_spatula_old.bmp	New37	1	2	2.645	6	2150	446.00699999999983	3.0	449.006	1.5	Old26	Enc49
68	New	vegie_snowpea01.bmp	New27	1	2	1.599	6	2150	450.506	3.0	453.506	2.5	False	CTL20
69	OLD	sporting_snow shoes_old.bmp	Old64	1	1	1.46	9	801	456.006	3.0	459.005	4.0	False	CTL21
70	OLD	food_shellpasta.bmp	Old25	1	1	3.685	8	1104	463.005	3.0	466.005	2.0	Old06	Enc50
71	New	fruit_apricot_new.bmp	New04	1	2	1.426	8	1104	468.005	3.0	471.004	3.0	Old56	Enc51
72	OLD	food_rawchicken.bmp	Old23	1	1	1.3019999999999998	9	705	474.004	3.0	477.004	3.0	False	CTL22
73	New	food_cookie01.bmp	New11	1	2	1.3530000000000002	9	705	480.004	3.0	483.00300000000004	4.0	Old45	Enc52
74	OLD	fruit_watermelon_old.bmp	Old71	1	1	1.247	6	818	487.00300000000004	3.0	490.00300000000004	0.5	Old14	Enc53
75	OLD	food_bottleofredwine01.bmp	Old15	0	2	2.927	6	818	490.50300000000004	3.0	493.50199999999995	8.0	False	CTL23
76	OLD	fruit_lemon_new.bmp	Old69	0	2	1.855	6	818	501.50199999999995	3.0	504.501	3.0	False	CTL24
77	OLD	animal_penguin.bmp	Old10	0	2	3.449	6	818	507.501	3.0	510.501	0.5	Old48	Enc54
78	OLD	sporting_hockey stick_old.bmp	Old58	1	1	1.22	5	4610	511.001	3.0	514.001	1.5	Old32	Enc55
79	OLD	Kitchen_apron.bmp	Old27	1	1	1.238	8	1114	515.5	3.0	518.5	4.0	Old36	Enc56
80	OLD	animal_farm pig.bmp	Old05	0	2	2.779	8	1114	522.5	3.0	525.5	5.0	False	CTL25
81	OLD	vegie_radish.bmp	Old77	1	1	1.2329999999999999	6	3878	530.499	3.0	533.499	7.5	Old70	Enc57
82	OLD	animal_parrot.bmp	Old09	0	2	1.536	6	3878	540.998	3.0	543.998	1.0	False	CTL26
83	OLD	animal_monarch_old.bmp	Old08	0	2	2.296	6	3878	544.998	3.0	547.998	1.5	False	CTL27
84	New	sporting_weighlifting.bmp	New25	1	2	1.392	6	3878	549.498	3.0	552.497	0.5	Old20	Enc58
85	OLD	animal_frog.bmp	Old06	0	2	4.198	6	3878	552.997	3.0	555.997	1.5	Old75	Enc59
86	OLD	kitchen_peppermill.bmp	Old33	0	2	2.5789999999999997	6	3878	557.497	3.0	560.497	2.0	Old52	Enc60
87	New	vegie_broccoli.bmp	New36	0	1	1.193	8	1527	562.496	3.0	565.496	1.0	False	CTL28
88	OLD	musical_drums_old.bmp	Old46	1	1	0.951	5	983	566.496	3.0	569.496	5.0	False	CTL29
89	OLD	kitchen_cookie cutter.bmp	Old30	1	1	1.117	9	863	574.495	3.0	577.495	2.0	False	CTL30
90	New	sporting_flippers.bmp	New02	1	2	2.504	9	863	579.495	3.0	582.495	5.5	False	CTL31
91	New	food_walnut01c.bmp	New34	1	2	1.138	9	863	587.994	3.0	590.994	0.5	Old27	Enc61
92	OLD	animal_siamese cat.bmp	Old12	1	1	2.928	6	1273	591.494	3.0	594.494	8.0	False	CTL32
93	OLD	food_candy.bmp	Old16	1	1	1.058	6	734	602.493	3.0	605.493	1.0	Old61	Enc62
94	OLD	fruit_blackberry_new.bmp	Old66	1	1	1.87	5	1418	606.493	3.0	609.492	0.5	False	CTL33
95	New	kitchen_baking spatula.bmp	New01	1	2	7.046	5	1418	609.992	3.0	612.992	3.5	Old04	Enc63
96	OLD	food_baguette01.bmp	Old14	0	2	1.2570000000000001	5	1418	616.492	3.0	619.491	1.5	Old07	Enc64
97	New	animal_gorilla.bmp	New15	0	1	3.708	8	1710	620.991	3.0	623.991	2.5	Old58	Enc65
98	New	fruit_cherry.bmp	Old67	1	1	1.263	9	595	626.491	3.0	629.491	9.5	Old76	Enc66
99	New	fruit_rasberry.bmp	New10	1	2	1.911	9	595	638.99	3.0	641.989	0.5	Old55	Enc67
100	OLD	musical_tuba.bmp	Old50	1	1	1.127	5	1104	642.489	3.0	645.489	1.0	False	CTL34
101	New	musical_french horn_old.bmp	New12	1	2	2.488	5	1104	646.489	3.0	649.489	3.0	Old28	Enc68
102	OLD	food_softcheese.bmp	Old24	1	1	2.441	6	2430	652.489	3.0	655.488	1.0	Old05	Enc69
103	New	animal_ostrich.bmp	New26	1	2	1.3940000000000001	6	2430	656.488	3.0	659.488	2.0	False	CTL35
104	OLD	musical_clarinet_new.bmp	Old44	1	1	1.2329999999999999	5	4868	661.488	3.0	664.487	0.5	False	CTL36
105	OLD	musical_harp_new.bmp	Old43	1	1	3.319	9	705	664.987	3.0	667.987	2.0	Old62	Enc70
106	OLD	kitchen_plate.bmp	Old35	1	1	1.385	8	1056	669.987	3.0	672.987	8.5	False	CTL37
107	OLD	musical_double bass.bmp	Old45	0	2	3.082	8	1056	681.4860000000001	3.0	684.4860000000001	1.5	Old49	Enc71
108	OLD	food_croissant01.bmp	Old19	1	1	1.699	8	1885	685.9860000000001	3.0	688.985	1.0	Old12	Enc72
109	New	vegie_cucumber.bmp	New33	0	1	2.295	8	553	689.985	3.0	692.985	1.0	Old42	Enc73
110	OLD	musical_violin_old.bmp	Old51	1	1	1.033	9	910	693.985	3.0	696.985	4.0	Old21	Enc74
111	New	musical_bongo drum.bmp	New23	1	2	1.614	9	910	700.9839999999998	3.0	703.9839999999998	9.5	Old71	Enc75
112	OLD	sporting_rollerblade.bmp	Old62	1	1	1.482	6	2741	713.4830000000002	3.0	716.4830000000002	4.5	False	CTL38
113	OLD	kitchen_wooden spoon_old.bmp	Old39	0	2	4.277	6	2741	720.9830000000002	3.0	723.982	0.5	False	CTL39
114	OLD	musical_xylophone_old.bmp	Old52	1	1	1.119	8	665	724.482	3.0	727.482	4.0	Old57	Enc76
115	OLD	animal_zebra_old.bmp	Old13	0	2	3.6430000000000002	8	665	731.482	3.0	734.4810000000001	1.0	Old35	Enc77
116	New	sporting_windsurf.bmp	New31	1	2	1.735	8	665	735.4810000000001	3.0	738.4810000000001	11.0	Old16	Enc78
