	Condition	CorrectSource	Stim_RT
0	CTL	8	0.615
1	Enc	6	0.666
2	Enc	5	0.708
3	Enc	6	0.6
4	Enc	9	0.747
5	Enc	8	0.642
6	Enc	9	0.62
7	CTL	5	0.531
8	CTL	6	0.564
9	Enc	8	0.568
10	CTL	8	0.5
11	Enc	6	0.788
12	Enc	5	0.82
13	CTL	8	0.686
14	Enc	6	0.663
15	Enc	6	0.779
16	Enc	8	0.949
17	Enc	5	0.802
18	Enc	9	0.673
19	Enc	9	0.829
20	Enc	5	0.779
21	Enc	5	0.856
22	CTL	5	0.615
23	Enc	5	0.606
24	Enc	8	0.89
25	CTL	5	0.59
26	Enc	6	0.89
27	Enc	5	1.236
28	Enc	6	0.918
29	Enc	5	0.921
30	Enc	8	0.747
31	Enc	5	0.887
32	Enc	9	1.03
33	CTL	6	0.567
34	CTL	9	0.753
35	CTL	8	0.656
36	CTL	5	0.599
37	Enc	8	0.577
38	CTL	9	0.618
39	Enc	9	0.686
40	CTL	6	0.56
41	Enc	8	0.673
42	Enc	6	0.971
43	Enc	9	0.84
44	Enc	6	0.722
45	Enc	9	0.746
46	Enc	6	0.96
47	CTL	6	0.825
48	Enc	5	0.868
49	Enc	9	1.031
50	Enc	8	1.041
51	Enc	6	1.084
52	CTL	6	1.051
53	CTL	9	0.517
54	Enc	6	0.638
55	Enc	5	0.855
56	Enc	6	0.993
57	CTL	8	0.56
58	Enc	9	1.068
59	Enc	8	1.071
60	Enc	9	1.031
61	CTL	9	0.923
62	Enc	8	1.053
63	Enc	9	0.47
64	CTL	8	0.798
65	CTL	5	0.59
66	CTL	5	0.578
67	CTL	8	0.572
68	CTL	9	0.68
69	CTL	8	0.562
70	Enc	6	0.945
71	Enc	6	0.628
72	Enc	8	0.836
73	Enc	9	0.821
74	Enc	6	0.703
75	CTL	9	0.648
76	CTL	5	0.516
77	Enc	5	0.0
78	Enc	9	0.698
79	Enc	8	0.856
80	Enc	8	0.866
81	CTL	6	0.934
82	Enc	6	0.924
83	CTL	6	0.979
84	Enc	9	0.94
85	Enc	9	0.915
86	Enc	5	0.875
87	CTL	9	0.545
88	Enc	8	0.496
89	CTL	8	0.0
90	Enc	8	0.772
91	CTL	8	0.651
92	Enc	5	1.036
93	CTL	5	0.635
94	Enc	8	0.873
95	Enc	9	0.723
96	CTL	9	0.675
97	CTL	9	0.579
98	Enc	8	0.653
99	Enc	8	0.713
100	CTL	6	0.603
101	Enc	5	0.504
102	Enc	9	0.8
103	Enc	5	0.786
104	Enc	9	0.655
105	Enc	8	0.859
106	CTL	6	0.597
107	Enc	6	0.875
108	Enc	9	0.726
109	CTL	5	0.6
110	CTL	6	0.452
111	Enc	5	0.47
112	Enc	6	0.811
113	CTL	9	0.705
114	Enc	5	0.813
115	Enc	5	0.814
116	Enc	8	0.578
