	Condition	CorrectSource	Stim_RT
0	Enc	6	0.435
1	Enc	5	0.935
2	Enc	6	0.936
3	Enc	9	0.914
4	Enc	8	1.024
5	Enc	9	0.936
6	Enc	8	0.937
7	CTL	8	0.437
8	CTL	5	0.537
9	Enc	6	1.438
10	CTL	6	0.438
11	Enc	5	1.637
12	Enc	6	1.71
13	CTL	8	0.865
14	Enc	6	0.929
15	Enc	8	0.832
16	Enc	5	1.44
17	Enc	9	1.94
18	Enc	9	0.663
19	Enc	5	1.039
20	Enc	5	2.003
21	Enc	5	0.941
22	CTL	8	0.735
23	CTL	5	0.864
24	Enc	8	1.142
25	Enc	6	0.442
26	Enc	5	0.942
27	CTL	5	0.659
28	Enc	6	1.273
29	Enc	5	0.543
30	CTL	6	0.444
31	Enc	8	1.444
32	Enc	5	0.945
33	Enc	9	1.241
34	Enc	8	1.352
35	Enc	9	1.172
36	Enc	8	0.45
37	Enc	6	0.607
38	CTL	9	1.62
39	CTL	8	0.774
40	Enc	9	1.281
41	Enc	6	1.305
42	Enc	9	1.049
43	Enc	6	1.338
44	CTL	5	1.169
45	Enc	5	0.854
46	Enc	9	0.941
47	CTL	9	0.449
48	Enc	8	1.0
49	CTL	6	1.597
50	CTL	6	0.733
51	CTL	6	0.606
52	CTL	9	0.615
53	Enc	6	0.597
54	Enc	6	0.902
55	Enc	5	0.954
56	Enc	6	0.917
57	Enc	9	0.954
58	Enc	8	0.955
59	Enc	9	1.011
60	Enc	8	0.955
61	Enc	9	0.456
62	Enc	6	1.32
63	Enc	6	0.46
64	Enc	8	0.459
65	Enc	9	1.459
66	Enc	6	1.748
67	CTL	8	0.464
68	Enc	5	0.461
69	CTL	9	0.717
70	CTL	8	0.575
71	CTL	5	0.459
72	Enc	9	1.459
73	Enc	8	0.459
74	Enc	8	0.921
75	Enc	6	0.46
76	CTL	5	0.51
77	Enc	9	1.369
78	CTL	8	0.71
79	Enc	9	2.341
80	CTL	9	0.675
81	CTL	8	0.87
82	CTL	9	0.685
83	CTL	5	0.367
84	Enc	5	0.465
85	CTL	6	0.808
86	CTL	6	0.505
87	Enc	8	0.965
88	CTL	9	0.832
89	Enc	8	1.465
90	Enc	5	0.968
91	Enc	8	0.972
92	CTL	8	1.261
93	Enc	9	0.941
94	Enc	8	1.091
95	Enc	8	0.701
96	CTL	8	0.469
97	CTL	5	0.575
98	Enc	5	0.47
99	CTL	9	0.758
100	CTL	9	0.716
101	CTL	6	0.623
102	Enc	9	0.98
103	CTL	6	0.661
104	CTL	5	0.514
105	CTL	6	0.57
106	Enc	5	0.84
107	Enc	9	1.503
108	Enc	8	0.626
109	Enc	6	1.223
110	Enc	9	1.473
111	CTL	9	0.476
112	Enc	5	1.374
113	Enc	6	0.8
114	Enc	5	0.853
115	Enc	5	0.677
116	Enc	8	0.703
