trial_type	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	onset	fix_onset	fix_duration	duration
enc	enc00		8	3.0	1640	0	7.575	10.575	0.5	5.074999999999999
enc	enc000		9	3.0	2143	0	11.075	14.075	0.5	8.575
ctl	ctl0		8	3.0	2758	0	14.575	17.575	6.5	18.075
enc	enc01	old54	6	3.0	1798	0	24.074	27.074	2.0	23.074
enc	enc02	old11	5	3.0	2526	0	29.073	32.073	1.5	27.573
enc	enc03	old16	6	3.0	1981	0	33.573	36.573	1.0	31.573
enc	enc04	old69	9	3.0	1053	0	37.573	40.571999999999996	8.5	43.073
enc	enc05	old53	8	3.0	1494	0	49.071999999999996	52.071000000000005	2.0	48.071999999999996
enc	enc06	old44	9	3.0	2737	0	54.071000000000005	57.071000000000005	2.5	53.571000000000005
enc	enc07	old36	8	3.0	1490	0	59.571000000000005	62.57	1.5	58.071000000000005
ctl	ctl01		8	3.0	1879	0	64.07	67.07	1.5	62.56999999999999
ctl	ctl02		5	3.0	1554	0	68.57	71.569	0.5	66.07
enc	enc08	old50	6	3.0	1079	0	72.069	75.069	0.5	69.569
ctl	ctl03		6	3.0	1224	0	75.569	78.569	2.0	74.569
enc	enc09	old21	5	3.0	638	0	80.569	83.568	1.5	79.069
enc	enc10	old34	6	3.0	1486	0	85.068	88.068	2.0	84.068
ctl	ctl04		8	3.0	1225	0	90.068	93.06700000000001	7.5	94.568
enc	enc11	old05	6	3.0	607	0	100.56700000000001	103.566	5.0	102.56700000000001
enc	enc12	old19	8	3.0	958	0	108.566	111.566	1.5	107.066
enc	enc13	old76	5	3.0	1431	0	113.066	116.065	3.0	113.066
enc	enc14	old23	9		0	1	119.065	122.065	1.0	117.065
enc	enc15	old31	9	3.0	1209	0	123.065	126.064	1.5	121.565
enc	enc16	old39	5	3.0	24	0	127.564	130.564	8.5	133.064
enc	enc17	old22	5	3.0	778	0	139.063	142.063	2.0	138.063
enc	enc18	old13	5	3.0	878	0	144.063	147.062	1.0	142.063
ctl	ctl05		8	3.0	1104	0	148.062	151.062	1.5	146.562
ctl	ctl06		5	3.0	1239	0	152.562	155.562	6.5	156.062
enc	enc19	old52	8	3.0	1277	0	162.061	165.06099999999998	1.5	160.561
enc	enc20	old68	6	3.0	675	0	166.56099999999998	169.56	6.5	170.06099999999998
