trial_type	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	onset	fix_onset	fix_duration	duration
enc	enc00		5	1	1092	0	10.045	13.044	4.5	11.545
enc	enc000		9	1	1474	0	17.544	20.544	4.5	19.044
ctl	ctl0		9	1	1060	0	25.043000000000003	28.043000000000003	0.5	22.543000000000003
enc	enc01	old53	8	1	1310	0	28.543000000000003	31.543000000000003	0.5	26.043000000000003
ctl	ctl01		6	1	1230	0	32.043	35.043	4.5	33.543
enc	enc02	old02	5	3	459	0	39.542	42.542	2.0	38.542
enc	enc03	old62	5	3	460	0	44.542	47.542	3.5	45.042
ctl	ctl02		5	3	459	0	51.041000000000004	54.041000000000004	1.5	49.541000000000004
ctl	ctl03		6	1	884	0	55.541000000000004	58.541000000000004	2.5	55.041000000000004
enc	enc04	old69	6	1	1169	0	61.041000000000004	64.04	1.0	59.041000000000004
enc	enc05	old72	5	1	1168	0	65.04	68.04	3.0	65.04
ctl	ctl04		6	1	939	0	71.04	74.04	4.0	72.04
enc	enc06	old45	9	1	1095	0	78.039	81.039	0.5	75.539
ctl	ctl05		9	1	976	0	81.539	84.539	2.5	81.039
enc	enc07	old60	6	3	961	0	87.039	90.039	2.5	86.539
ctl	ctl06		9	3	461	0	92.538	95.538	3.5	93.038
ctl	ctl07		5	1	888	0	99.038	102.038	1.0	97.038
enc	enc08	old07	8	3	962	0	103.038	106.037	2.0	102.038
enc	enc09	old74	9	1	1463	0	108.037	111.037	0.5	105.537
enc	enc10	old08	5	1	1053	0	111.537	114.537	4.5	113.037
enc	enc11	old39	9	3	963	0	119.036	122.036	7.0	123.036
enc	enc12	old28	5	3	963	0	129.036	132.035	0.5	126.536
enc	enc13	old43	8	3	962	0	132.535	135.535	2.0	131.535
enc	enc14	old40	8	1	1795	0	137.535	140.535	1.0	135.535
enc	enc15	old50	9	1	1801	0	141.535	144.534	1.0	139.535
enc	enc16	old52	8	3	963	0	145.534	148.534	3.5	146.034
enc	enc17	old09	5	1	1364	0	152.034	155.034	1.0	150.034
ctl	ctl08		8	3	464	0	156.034	159.033	2.0	155.034
enc	enc18	old29	8	1	1461	0	161.033	164.033	0.5	158.533
enc	enc19	old16	8	3	1465	0	164.533	167.533	3.5	165.033
enc	enc20	old14	5	3	465	0	171.032	174.032	7.0	175.032
ctl	ctl09		8	1	739	0	181.032	184.03099999999998	2.5	180.532
enc	enc21	old47	9	1	1395	0	186.53099999999998	189.53099999999998	5.0	188.53099999999998
enc	enc22	old20	9	3	967	0	194.53099999999998	197.53	1.0	192.53099999999998
enc	enc23	old01	6	3	467	0	198.53	201.53	10.0	205.53
enc	enc24	old18	8	1	1351	0	211.52900000000002	214.52900000000002	1.5	210.02900000000002
enc	enc25	old67	8	3	967	0	216.02900000000002	219.02900000000002	0.5	213.52900000000002
enc	enc26	old24	9	3	1467	0	219.52900000000002	222.52900000000002	2.5	219.02900000000002
enc	enc27	old78	5	3	467	0	225.028	228.028	3.5	225.528
enc	enc28	old38	6	1	1775	0	231.528	234.528	1.0	229.528
ctl	ctl10		9	1	726	0	235.528	238.52700000000002	0.5	233.028
ctl	ctl11		6	1	838	0	239.02700000000002	242.02700000000002	1.5	237.52700000000002
ctl	ctl12		6	1	836	0	243.52700000000002	246.52700000000002	7.0	247.52700000000002
ctl	ctl13		5	1	719	0	253.52599999999998	256.526	7.0	257.52599999999995
enc	enc29	old66	9	3	1470	0	263.525	266.525	2.0	262.525
enc	enc30	old73	8	1	1178	0	268.525	271.525	6.5	272.025
ctl	ctl14		9	1	895	0	278.024	281.024	3.5	278.524
enc	enc31	old35	6	1	1276	0	284.524	287.524	2.5	284.024
enc	enc32	old05	6	3	471	0	290.024	293.02299999999997	4.0	291.024
enc	enc33	old11	9	1	2222	0	297.02299999999997	300.02299999999997	3.5	297.52299999999997
enc	enc34	old54	8	3	472	0	303.522	306.522	1.0	301.522
ctl	ctl15		8	1	756	0	307.522	310.522	6.5	311.022
enc	enc35	old10	9	1	1794	0	317.022	320.02099999999996	7.5	321.522
ctl	ctl16		9	3	472	0	327.52099999999996	330.52	2.5	327.02099999999996
ctl	ctl17		8	1	846	0	333.02	336.02	1.5	331.52
enc	enc36	old65	8	1	1193	0	337.52	340.52	1.0	335.52
