trial_type	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	onset	fix_onset	fix_duration	duration
enc	enc00		5	1.0	763	0	10.01	13.019	4.5	11.51
enc	enc000		9		0	1	17.516	20.525	4.5	19.016
ctl	ctl0		9	1.0	1436	0	25.021	28.03	0.5	22.521
enc	enc01	old55	8	1.0	1106	0	28.531999999999996	31.541	0.5	26.031999999999996
ctl	ctl01		6	1.0	1211	0	32.042	35.051	4.5	33.542
enc	enc02	old09	5	1.0	1165	0	39.548	42.556999999999995	2.0	38.548
enc	enc03	old65	5	1.0	867	0	44.547	47.556000000000004	3.5	45.047
ctl	ctl02		5	1.0	1052	0	51.049	54.058	1.5	49.549
ctl	ctl03		6	1.0	990	0	55.54600000000001	58.555	2.5	55.04600000000001
enc	enc04	old71	6	1.0	1277	0	61.04600000000001	64.055	1.0	59.04600000000001
enc	enc05	old68	5	1.0	945	0	65.058	68.067	3.0	65.058
ctl	ctl04		6	1.0	901	0	71.059	74.068	4.0	72.059
enc	enc06	old43	9	1.0	1019	0	78.063	81.072	0.5	75.563
ctl	ctl05		9	1.0	1327	0	81.574	84.583	2.5	81.074
enc	enc07	old53	6	1.0	1096	0	87.074	90.083	2.5	86.574
ctl	ctl06		9	1.0	812	0	92.574	95.583	3.5	93.074
ctl	ctl07		5	1.0	640	0	99.07600000000001	102.085	1.0	97.07600000000001
enc	enc08	old12	8	1.0	474	0	103.072	106.081	2.0	102.072
enc	enc09	old74	9	1.0	1046	0	108.07	111.079	0.5	105.57
enc	enc10	old05	5	1.0	1064	0	111.58	114.589	4.5	113.08
enc	enc11	old27	9	1.0	1162	0	119.086	122.095	7.0	123.086
enc	enc12	old32	5	1.0	1015	0	129.083	132.092	0.5	126.583
enc	enc13	old49	8	1.0	1354	0	132.593	135.602	2.0	131.593
enc	enc14	old44	8	1.0	1588	0	137.592	140.601	1.0	135.592
enc	enc15	old50	9	1.0	1781	0	141.60399999999998	144.613	1.0	139.60399999999998
enc	enc16	old46	8	1.0	1625	0	145.616	148.625	3.5	146.116
enc	enc17	old10	5	1.0	1405	0	152.118	155.127	1.0	150.118
ctl	ctl08		8	1.0	1783	0	156.114	159.123	2.0	155.114
enc	enc18	old35	8	1.0	1779	0	161.112	164.12099999999998	0.5	158.612
enc	enc19	old15	8	1.0	2076	0	164.622	167.63099999999997	3.5	165.122
enc	enc20	old24	5	1.0	1134	0	171.125	174.13400000000001	7.0	175.125
ctl	ctl09		8	1.0	991	0	181.122	184.13099999999997	2.5	180.622
enc	enc21	old42	9		0	1	186.622	189.63099999999997	5.0	188.622
enc	enc22	old20	9		0	1	194.62900000000002	197.638	1.0	192.62900000000002
enc	enc23	old02	6	1.0	775	0	198.641	201.65	10.0	205.641
enc	enc24	old23	8		0	1	211.646	214.655	1.5	210.146
enc	enc25	old76	8	1.0	773	0	216.143	219.15200000000002	0.5	213.643
enc	enc26	old16	9	1.0	876	0	219.65400000000002	222.66299999999998	2.5	219.15400000000002
enc	enc27	old69	5	1.0	837	0	225.153	228.162	3.5	225.653
enc	enc28	old30	6	1.0	898	0	231.65599999999998	234.665	1.0	229.65599999999998
ctl	ctl10		9	1.0	915	0	235.65200000000002	238.66	0.5	233.15200000000002
ctl	ctl11		6	1.0	959	0	239.162	242.171	1.5	237.662
ctl	ctl12		6	1.0	921	0	243.65900000000002	246.668	7.0	247.65900000000002
ctl	ctl13		5	1.0	1024	0	253.655	256.664	7.0	257.655
enc	enc29	old75	9	1.0	723	0	263.652	266.661	2.0	262.652
enc	enc30	old67	8		0	1	268.65	271.659	6.5	272.15
ctl	ctl14		9	1.0	576	0	278.16200000000003	281.171	3.5	278.66200000000003
enc	enc31	old36	6	1.0	600	0	284.665	287.67400000000004	2.5	284.165
enc	enc32	old06	6	1.0	817	0	290.165	293.17400000000004	4.0	291.165
enc	enc33	old01	9	1.0	1005	0	297.16900000000004	300.178	3.5	297.66900000000004
enc	enc34	old64	8	1.0	1305	0	303.672	306.681	1.0	301.672
ctl	ctl15		8		0	1	307.684	310.693	6.5	311.184
enc	enc35	old07	9		0	1	317.195	320.204	7.5	321.695
ctl	ctl16		9	1.0	2238	0	327.69300000000004	330.702	2.5	327.19300000000004
ctl	ctl17		8	1.0	644	0	333.19300000000004	336.202	1.5	331.69300000000004
enc	enc36	old62	8	1.0	1120	0	337.69	340.699	1.0	335.69
enc	enc37	old25	9	1.0	631	0	341.702	344.711	3.0	341.702
enc	enc38	old51	6	1.0	763	0	347.70300000000003	350.712	2.5	347.20300000000003
ctl	ctl18		5	1.0	745	0	353.20300000000003	356.212	1.0	351.20300000000003
enc	enc39	old19	5	1.0	973	0	357.19800000000004	360.207	9.0	363.19800000000004
enc	enc40	old26	6	1.0	818	0	369.20099999999996	372.21	1.5	367.70099999999996
enc	enc41	old66	6	1.0	759	0	373.69800000000004	376.707	8.5	379.19800000000004
enc	enc42	old29	8	1.0	686	0	385.199	388.208	8.0	390.199
enc	enc43	old37	9	1.0	1193	0	396.19800000000004	399.207	1.5	394.69800000000004
ctl	ctl19		5	1.0	1265	0	400.695	403.704	5.0	402.695
enc	enc44	old52	5	1.0	1504	0	408.702	411.711	1.0	406.702
ctl	ctl20		8	1.0	1841	0	412.69800000000004	415.707	3.0	412.69800000000004
ctl	ctl21		9	1.0	909	0	418.699	421.708	5.0	420.699
enc	enc45	old59	6		0	1	426.70599999999996	429.715	0.5	424.20599999999996
ctl	ctl22		8	1.0	1389	0	430.217	433.226	1.5	428.717
enc	enc46	old54	9	1.0	590	0	434.714	437.723	0.5	432.214
enc	enc47	old41	6	1.0	669	0	438.224	441.233	2.0	437.224
enc	enc48	old28	9	1.0	694	0	443.222	446.231	1.5	441.722
enc	enc49	old21	6	1.0	1176	0	447.719	450.728	1.0	445.719
enc	enc50	old04	8	1.0	2023	0	451.714	454.723	2.5	451.214
enc	enc51	old63	9	1.0	1172	0	457.214	460.223	5.5	459.714
enc	enc52	old72	8		0	1	465.723	468.73199999999997	2.5	465.223
ctl	ctl23		9		0	1	471.223	474.23199999999997	1.5	469.723
enc	enc53	old22	9		0	1	475.72	478.72900000000004	0.5	473.22
ctl	ctl24		6		0	1	479.23	482.23900000000003	3.0	479.23
enc	enc54	old77	5		0	1	485.231	488.24	3.5	485.731
enc	enc55	old31	8	1.0	518	0	491.73400000000004	494.74300000000005	7.5	496.23400000000004
enc	enc56	old39	5	1.0	799	0	502.23199999999997	505.241	2.5	501.73199999999997
enc	enc57	old48	6	1.0	677	0	507.73199999999997	510.741	0.5	505.23199999999997
ctl	ctl25		6	1.0	769	0	511.24300000000005	514.252	1.0	509.24300000000005
enc	enc58	old18	5	1.0	1114	0	515.255	518.264	4.0	516.255
enc	enc59	old47	6	1.0	1326	0	522.259	525.268	11.5	530.759
enc	enc60	old70	8		0	1	536.769	539.778	0.5	534.269
ctl	ctl26		6	1.0	627	0	540.279	543.288	4.0	541.279
ctl	ctl27		9	1.0	637	0	547.284	550.293	0.5	544.784
ctl	ctl28		5	1.0	632	0	550.794	553.803	2.5	550.294
enc	enc61	old38	5	1.0	1458	0	556.294	559.303	3.0	556.294
enc	enc62	old57	5	1.0	1438	0	562.295	565.304	1.0	560.295
ctl	ctl29		8		0	1	566.2909999999999	569.3	2.0	565.2909999999999
enc	enc63	old08	5		0	1	571.289	574.298	0.5	568.789
enc	enc64	old03	9		0	1	574.799	577.808	7.0	578.799
ctl	ctl30		9	1.0	1852	0	584.7959999999999	587.805	0.5	582.2959999999999
enc	enc65	old56	9	1.0	511	0	588.306	591.315	0.5	585.806
enc	enc66	old45	5	1.0	713	0	591.817	594.826	0.5	589.317
ctl	ctl31		6	1.0	562	0	595.327	598.336	1.5	593.827
ctl	ctl32		5	1.0	508	0	599.8240000000001	602.8330000000001	3.0	599.8240000000001
enc	enc67	old58	8	1.0	491	0	605.825	608.8340000000001	1.5	604.325
enc	enc68	old34	6	1.0	578	0	610.322	613.331	4.5	611.822
ctl	ctl33		5	1.0	1833	0	617.828	620.837	0.5	615.328
ctl	ctl34		8		0	1	621.3380000000001	624.347	8.0	626.3380000000001
enc	enc69	old11	6		0	1	632.3380000000001	635.347	1.0	630.3380000000001
enc	enc70	old60	5		0	1	636.3330000000001	639.342	4.5	637.8330000000001
ctl	ctl35		8	1.0	1501	0	643.839	646.8480000000001	2.0	642.839
ctl	ctl36		6	1.0	587	0	648.837	651.846	1.0	646.837
