trial_type	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	onset	fix_onset	fix_duration	duration
ctl	ctl0		5	2	1055	0	4.577	7.5760000000000005	0.5	2.077
enc	enc00		8	2	1218	0	8.076	11.075999999999999	0.5	5.5760000000000005
enc	enc000		9	2	1123	0	11.575999999999999	14.575999999999999	5.5	14.076
ctl	ctl01		8	2	877	0	20.075	23.075	0.5	17.575
enc	enc01	old59	6	2	1417	0	23.575	26.575	1.0	21.575
enc	enc02	old13	5	2	857	0	27.575	30.575	1.0	25.575
enc	enc03	old18	6	2	1002	0	31.574	34.574	1.5	30.073999999999998
enc	enc04	old70	9	2	931	0	36.074	39.074	2.0	35.074
enc	enc05	old57	8	2	1630	0	41.074	44.073	3.0	41.074
enc	enc06	old46	9	2	1093	0	47.073	50.073	0.5	44.573
ctl	ctl02		5	2	744	0	50.573	53.573	4.0	51.573
ctl	ctl03		6	2	798	0	57.571999999999996	60.571999999999996	2.5	57.071999999999996
enc	enc07	old30	8	2	1054	0	63.071999999999996	66.072	1.5	61.572
ctl	ctl04		8	2	809	0	67.572	70.571	2.0	66.572
enc	enc08	old40	6	2	1517	0	72.571	75.571	3.5	73.071
enc	enc09	old23	5	2	1403	0	79.071	82.07	0.5	76.571
ctl	ctl05		8	2	728	0	82.57	85.57	2.5	82.07
enc	enc10	old29	6	2	1342	0	88.07	91.07	0.5	85.57
enc	enc11	old04	6	2	932	0	91.57	94.57	1.0	89.57
enc	enc12	old25	8	2	1119	0	95.569	98.569	1.5	94.069
enc	enc13	old68	5	2	1212	0	100.069	103.069	2.5	99.569
enc	enc14	old20	9	2	1034	0	105.569	108.568	3.0	105.569
enc	enc15	old27	9	2	1140	0	111.568	114.568	1.0	109.568
enc	enc16	old39	5	2	889	0	115.568	118.568	1.5	114.068
enc	enc17	old22	5	2	1098	0	120.06700000000001	123.06700000000001	1.5	118.56700000000001
ctl	ctl06		5	2	777	0	124.56700000000001	127.56700000000001	1.0	122.56700000000001
enc	enc18	old09	5	2	1072	0	128.567	131.567	2.5	128.067
enc	enc19	old48	8	2	1301	0	134.066	137.066	2.5	133.566
ctl	ctl07		5	2	860	0	139.566	142.566	0.5	137.066
enc	enc20	old69	6	2	956	0	143.066	146.065	5.5	145.566
enc	enc21	old55	5	2	1106	0	151.565	154.565	5.5	154.065
enc	enc22	old77	6	2	1478	0	160.064	163.064	2.0	159.064
enc	enc23	old01	5	2	1123	0	165.06400000000002	168.06400000000002	1.0	163.06400000000002
enc	enc24	old03	8	2	978	0	169.06400000000002	172.063	3.0	169.06400000000002
