trial_type	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	onset	fix_onset	fix_duration	duration
ctl	ctl0		9	1	1619	0	5.019	8.027999999999999	3.0	5.019
enc	enc00		5	1	893	0	11.02	14.029000000000002	2.0	10.02
enc	enc000		9	1	827	0	16.018	19.027	1.0	14.018
ctl	ctl01		6	1	829	0	20.012999999999998	23.022	8.0	25.012999999999998
enc	enc01	old64	8	1	810	0	31.013	34.022	7.5	35.513000000000005
enc	enc02	old07	5	1	722	0	41.511	44.52	0.5	39.011
enc	enc03	old55	5	1	703	0	45.021	48.03	6.0	48.021
enc	enc04	old42	6	1	961	0	54.031000000000006	57.04	2.0	53.031000000000006
enc	enc05	old40	5	1	719	0	59.03	62.038000000000004	2.0	58.03
enc	enc06	old75	9	1	839	0	64.028	67.03699999999999	4.0	65.028
ctl	ctl02		5	1	673	0	71.032	74.041	2.5	70.532
ctl	ctl03		6	1	621	0	76.532	79.541	1.5	75.032
ctl	ctl04		6	1	641	0	81.028	84.037	5.0	83.028
ctl	ctl05		9	1	625	0	89.035	92.044	1.0	87.035
enc	enc07	old59	6	1	857	0	93.031	96.04	3.0	93.031
enc	enc08	old13	8	1	709	0	99.03200000000001	102.041	3.0	99.03200000000001
ctl	ctl06		9	1	820	0	105.03299999999999	108.042	2.5	104.53299999999999
enc	enc09	old46	9	1	771	0	110.53299999999999	113.542	6.5	114.03299999999999
enc	enc10	old10	5	1	711	0	120.044	123.053	2.5	119.544
enc	enc11	old36	9	1	647	0	125.544	128.553	2.0	124.544
enc	enc12	old39	5	1	555	0	130.542	133.55100000000002	4.5	132.042
enc	enc13	old66	8	1	725	0	138.048	141.05700000000002	4.5	139.548
enc	enc14	old71	8	1	931	0	145.554	148.563	2.5	145.054
enc	enc15	old78	9	1	1104	0	151.053	154.062	1.0	149.053
enc	enc16	old70	8	1	837	0	155.049	158.058	1.5	153.549
enc	enc17	old08	5	1	873	0	159.545	162.554	4.0	160.545
ctl	ctl07		5	1	1033	0	166.549	169.558	3.0	166.549
ctl	ctl08		8	1	749	0	172.551	175.56	1.0	170.551
enc	enc18	old32	8	1	1002	0	176.563	179.572	1.0	174.563
enc	enc19	old14	8	1	718	0	180.575	183.584	0.5	178.075
enc	enc20	old21	5	1	666	0	184.085	187.09400000000002	3.5	184.585
enc	enc21	old74	9	1	788	0	190.588	193.597	4.5	192.088
enc	enc22	old23	9	1	829	0	198.093	201.102	9.5	204.593
