trial_type	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	onset	fix_onset	fix_duration	duration
enc	enc61	old31	5	1.0	591	0	556.3919999999999	559.401	3.0	556.3919999999999
enc	enc62	old65	5	1.0	643	0	562.393	565.4019999999999	1.0	560.393
ctl	ctl29		8	1.0	842	0	566.405	569.414	2.0	565.405
enc	enc63	old09	5	1.0	1438	0	571.403	574.4119999999999	0.5	568.903
enc	enc64	old12	9	1.0	1287	0	574.913	577.922	7.0	578.913
ctl	ctl30		9	1.0	1385	0	584.91	587.919	0.5	582.41
enc	enc65	old62	9	1.0	1524	0	588.42	591.429	0.5	585.92
enc	enc66	old47	5	1.0	942	0	591.931	594.94	0.5	589.431
ctl	ctl31		6	1.0	895	0	595.441	598.45	1.5	593.941
ctl	ctl32		5	1.0	577	0	599.938	602.947	3.0	599.938
enc	enc67	old60	8	1.0	1135	0	605.939	608.948	1.5	604.439
enc	enc68	old30	6	1.0	630	0	610.436	613.445	4.5	611.936
ctl	ctl33		5	1.0	533	0	617.941	620.95	0.5	615.441
ctl	ctl34		8	1.0	516	0	621.452	624.461	8.0	626.452
enc	enc69	old01	6	1.0	933	0	632.451	635.46	1.0	630.451
enc	enc70	old55	5	1.0	829	0	636.446	639.455	4.5	637.946
ctl	ctl35		8	1.0	978	0	643.952	646.961	2.0	642.952
ctl	ctl36		6	1.0	480	0	648.95	651.9590000000001	1.0	646.95
enc	enc71	old77	6	1.0	474	0	652.946	655.955	2.0	651.946
enc	enc72	old05	8	1.0	621	0	657.944	660.953	2.0	656.944
ctl	ctl37		5	1.0	863	0	662.942	665.951	10.0	669.942
ctl	ctl38		8	1.0	833	0	675.947	678.956	3.5	676.447
enc	enc73	old74	9	1.0	644	0	682.45	685.459	9.0	688.45
enc	enc74	old24	8	1.0	732	0	694.452	697.461	0.5	691.952
ctl	ctl39		9	1.0	866	0	697.9630000000001	700.972	7.0	701.9630000000001
enc	enc75	old42	9	1.0	891	0	707.959	710.9680000000001	12.5	717.459
enc	enc76	old53	6	1.0	822	0	723.455	726.4639999999999	2.5	722.955
enc	enc77	old29	5	1.0	934	0	728.955	731.9639999999999	18.5	744.455
enc	enc78	old21	6	1.0	1130	0				
