trial_type	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	onset	fix_onset	fix_duration	duration
ctl	ctl0		9	1	250	0	5.053	8.052	3.0	5.053000000000001
enc	enc00		5	1	2522	0	11.052	14.052	2.0	10.052
enc	enc000		9	1	1840	0	16.052	19.051	1.0	14.052
ctl	ctl01		6	1	841	0	20.051	23.051	8.0	25.051
enc	enc01	old56	8	1	891	0	31.05	34.05	7.5	35.55
enc	enc02	old07	5	1	1783	0	41.549	44.549	0.5	39.049
enc	enc03	old55	5	1	1893	0	45.049	48.049	6.0	48.049
enc	enc04	old52	6	1	892	0	54.048	57.048	2.0	53.048
enc	enc05	old51	5	1	1459	0	59.048	62.047	2.0	58.048
enc	enc06	old77	9	1	1821	0	64.047	67.047	4.0	65.047
ctl	ctl02		5	1	1834	0	71.047	74.046	2.5	70.547
ctl	ctl03		6	1	831	0	76.546	79.546	1.5	75.046
ctl	ctl04		6	1	796	0	81.046	84.045	5.0	83.046
ctl	ctl05		9	1	1740	0	89.045	92.045	1.0	87.045
enc	enc07	old63	6	1	1725	0	93.045	96.044	3.0	93.045
enc	enc08	old04	8	1	394	0	99.044	102.044	3.0	99.044
ctl	ctl06		9	1	980	0	105.044	108.04299999999999	2.5	104.544
enc	enc09	old45	9	1	895	0	110.54299999999999	113.54299999999999	6.5	114.04299999999999
enc	enc10	old13	5	1	396	0	120.042	123.042	2.5	119.542
enc	enc11	old33	9	1	896	0	125.542	128.541	2.0	124.542
enc	enc12	old32	5	1	396	0	130.541	133.541	4.5	132.041
enc	enc13	old72	8	1	396	0	138.041	141.04	4.5	139.541
enc	enc14	old78	8	1	396	0	145.54	148.54	2.5	145.04
enc	enc15	old76	9	1	397	0	151.039	154.039	1.0	149.039
enc	enc16	old75	8	1	1882	0	155.039	158.039	1.5	153.539
enc	enc17	old11	5	1	897	0	159.539	162.53799999999998	4.0	160.539
ctl	ctl07		5	1	864	0	166.53799999999998	169.53799999999998	3.0	166.53799999999998
ctl	ctl08		8	1	586	0	172.537	175.537	1.0	170.537
enc	enc18	old28	8	1	899	0	176.537	179.537	1.0	174.537
enc	enc19	old16	8	1	1828	0	180.537	183.53599999999997	0.5	178.037
enc	enc20	old20	5	1	399	0	184.03599999999997	187.03599999999997	3.5	184.53599999999997
enc	enc21	old69	9	1	98	0	190.53599999999997	193.53599999999997	4.5	192.03599999999997
enc	enc22	old15	9	1	400	0	198.035	201.035	9.5	204.535
ctl	ctl09		8	1	400	0	210.53400000000002	213.53400000000002	3.5	211.03400000000002
enc	enc23	old09	6	1	400	0	217.033	220.033	4.0	218.033
ctl	ctl10		9	1	702	0	224.033	227.033	4.0	225.033
enc	enc24	old21	8	1	1232	0	231.032	234.032	1.0	229.032
enc	enc25	old47	8	1	2002	0	235.032	238.032	6.0	238.032
enc	enc26	old24	9	1	901	0	244.03099999999998	247.03099999999998	6.5	247.53099999999998
enc	enc27	old41	5	1	1834	0	253.53	256.53	2.0	252.53
enc	enc28	old34	6	1	2025	0	258.53	261.529	1.5	257.03
enc	enc29	old46	9	1	2403	0	263.029	266.029	2.5	262.529
enc	enc30	old44	8	1	404	0	268.529	271.528	4.5	270.029
enc	enc31	old39	6	1	2404	0	276.028	279.028	0.5	273.528
enc	enc32	old06	6	1	1482	0	279.528	282.527	1.0	277.528
ctl	ctl11		6	1	1089	0	283.527	286.527	1.5	282.027
enc	enc33	old01	9	1	2091	0	288.027	291.027	2.0	287.027
enc	enc34	old53	8	1	404	0	293.026	296.026	4.0	294.026
ctl	ctl12		6	1	405	0	300.026	303.026	2.0	299.026
enc	enc35	old08	9	1	904	0	305.025	308.025	2.5	304.525
enc	enc36	old61	8	1	905	0	310.525	313.525	2.0	309.525
enc	enc37	old22	9	1	405	0	315.524	318.524	14.5	327.024
enc	enc38	old70	6	1	406	0	333.023	336.023	4.0	334.023
enc	enc39	old18	5	1	407	0	340.022	343.022	1.5	338.522
ctl	ctl13		5	1	692	0	344.522	347.522	1.0	342.522
enc	enc40	old19	6	1	1407	0	348.52099999999996	351.52099999999996	3.0	348.52099999999996
ctl	ctl14		9	1	2408	0	354.52099999999996	357.52099999999996	5.5	357.02099999999996
ctl	ctl15		8	1	1407	0	363.02	366.02	2.0	362.02
ctl	ctl16		9	1	408	0	368.02	371.019	2.5	367.52
enc	enc41	old40	6	1	408	0	373.519	376.519	3.0	373.519
enc	enc42	old29	8	1	1854	0	379.519	382.51800000000003	3.0	379.519
enc	enc43	old36	9	1	1408	0	385.51800000000003	388.51800000000003	2.0	384.51800000000003
enc	enc44	old71	5	1	409	0	390.51800000000003	393.517	5.0	392.51800000000003
enc	enc45	old60	6	1	409	0	398.517	401.517	4.5	400.017
enc	enc46	old65	9	1	1701	0	406.01599999999996	409.01599999999996	10.5	413.51599999999996
ctl	ctl17		8	1	697	0	419.515	422.515	2.5	419.015
enc	enc47	old68	6	1	1183	0	425.015	428.014	2.5	424.515
enc	enc48	old37	9	1	911	0	430.514	433.514	6.0	433.514
ctl	ctl18		5	1	411	0	439.51300000000003	442.51300000000003	3.5	440.01300000000003
ctl	ctl19		5	1	623	0	446.01300000000003	449.01199999999994	1.5	444.51300000000003
enc	enc49	old25	6	1	2028	0	450.51199999999994	453.51199999999994	2.5	450.01199999999994
ctl	ctl20		8	1	412	0	456.01199999999994	459.01099999999997	4.0	457.01199999999994
ctl	ctl21		9	1	832	0	463.01099999999997	466.01099999999997	2.0	462.01099999999997
enc	enc50	old12	8	1	413	0	468.01099999999997	471.01	3.0	468.01099999999997
enc	enc51	old64	9	1	413	0	474.01	477.01	3.0	474.01
ctl	ctl22		8	1	598	0	480.01	483.009	4.0	481.01
enc	enc52	old50	8	1	914	0	487.009	490.009	0.5	484.509
enc	enc53	old14	9	1	1147	0	490.509	493.50800000000004	8.0	495.509
ctl	ctl23		9	1	414	0	501.50800000000004	504.50699999999995	3.0	501.50800000000004
ctl	ctl24		6	1	665	0	507.50699999999995	510.50699999999995	0.5	505.00699999999995
enc	enc54	old48	5	1	915	0	511.00699999999995	514.006	1.5	509.50699999999995
enc	enc55	old38	8	1	2307	0	515.506	518.506	4.0	516.506
enc	enc56	old35	5	1	416	0	522.506	525.505	5.0	524.506
ctl	ctl25		6	1	915	0	530.505	533.505	7.5	535.005
enc	enc57	old67	6	1	416	0	541.004	544.004	1.0	539.004
ctl	ctl26		6	1	791	0	545.004	548.003	1.5	543.504
ctl	ctl27		9	1	696	0	549.503	552.503	0.5	547.003
enc	enc58	old26	5	1	1418	0	553.003	556.003	1.5	551.503
