trial_type	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	onset	fix_onset	fix_duration	duration
enc	enc00		8	2	1041	0	7.57	10.57	0.5	5.07
enc	enc000		9	2	1095	0	11.07	14.069	0.5	8.57
ctl	ctl0		8	2	1351	0	14.569	17.569000000000003	6.5	18.069000000000003
enc	enc01	old65	6	2	767	0	24.068	27.068	2.0	23.068
enc	enc02	old12	5	2	1052	0	29.068	32.068000000000005	1.5	27.568
enc	enc03	old16	6	2	775	0	33.567	36.567	1.0	31.567
enc	enc04	old77	9	2	1123	0	37.567	40.567	8.5	43.067
enc	enc05	old53	8	2	1147	0	49.066	52.066	2.0	48.066
enc	enc06	old42	9	2	1256	0	54.066	57.065	2.5	53.566
enc	enc07	old39	8	2	1448	0	59.565	62.565	1.5	58.065
ctl	ctl01		8	2	728	0	64.065	67.064	1.5	62.565
ctl	ctl02		5	2	656	0	68.564	71.564	0.5	66.064
enc	enc08	old40	6	2	1021	0	72.064	75.064	0.5	69.564
ctl	ctl03		6	2	716	0	75.564	78.563	2.0	74.564
enc	enc09	old26	5	2	957	0	80.563	83.56299999999999	1.5	79.063
enc	enc10	old30	6	2	1734	0	85.06299999999999	88.06200000000001	2.0	84.06299999999999
ctl	ctl04		8	2	962	0	90.06200000000001	93.06200000000001	7.5	94.56200000000001
enc	enc11	old09	6	2	1031	0	100.561	103.561	5.0	102.561
enc	enc12	old23	8	2	1686	0	108.56	111.56	1.5	107.06
enc	enc13	old75	5	2	1179	0	113.06	116.06	3.0	113.06
enc	enc14	old25	9	2	1826	0	119.059	122.059	1.0	117.059
enc	enc15	old31	9	2	819	0	123.059	126.059	1.5	121.559
enc	enc16	old38	5	2	973	0	127.559	130.558	8.5	133.059
enc	enc17	old21	5	2	1110	0	139.058	142.05700000000002	2.0	138.058
enc	enc18	old13	5	2	1003	0	144.05700000000002	147.05700000000002	1.0	142.05700000000002
ctl	ctl05		8	2	1255	0	148.05700000000002	151.056	1.5	146.55700000000002
ctl	ctl06		5	2	898	0	152.556	155.556	6.5	156.056
enc	enc19	old47	8	2	798	0	162.055	165.055	1.5	160.555
enc	enc20	old78	6	2	1104	0	166.555	169.555	6.5	170.055
enc	enc21	old60	5	2	698	0	176.054	179.054	3.5	176.554
ctl	ctl07		5	2	770	0	182.554	185.553	8.0	187.554
enc	enc22	old66	6	2	756	0	193.55200000000002	196.55200000000002	13.0	203.55200000000002
enc	enc23	old07	5	2	708	0	209.551	212.551	1.0	207.551
ctl	ctl08		6	2	1213	0	213.551	216.55	2.5	213.051
enc	enc24	old01	8	2	1030	0	219.05	222.05	1.5	217.55
enc	enc25	old43	5	2	1027	0	223.55	226.549	3.5	224.05
enc	enc26	old62	9	2	1207	0	230.049	233.049	2.0	229.049
enc	enc27	old41	8	2	917	0	235.049	238.048	3.0	235.049
enc	enc28	old20	9	2	1190	0	241.048	244.048	7.0	245.048
enc	enc29	old29	8	2	1243	0	251.047	254.047	1.0	249.047
enc	enc30	old55	6	2	1083	0	255.047	258.046	0.5	252.547
ctl	ctl09		9	2	1149	0	258.546	261.546	1.0	256.546
ctl	ctl10		8	2	680	0	262.546	265.546	0.5	260.046
enc	enc31	old04	9	2	865	0	266.046	269.045	7.0	270.046
enc	enc32	old69	6	2	756	0	276.045	279.045	4.0	277.045
enc	enc33	old18	9	2	1071	0	283.04400000000004	286.04400000000004	2.0	282.04400000000004
enc	enc34	old22	6	2	1366	0	288.04400000000004	291.043	2.5	287.54400000000004
ctl	ctl11		5	2	1088	0	293.543	296.543	4.5	295.043
enc	enc35	old71	5	2	1071	0	301.04200000000003	304.04200000000003	0.5	298.54200000000003
enc	enc36	old03	9	2	1069	0	304.54200000000003	307.54200000000003	3.0	304.54200000000003
ctl	ctl12		9	2	766	0	310.54200000000003	313.541	2.0	309.54200000000003
enc	enc37	old02	8	2	726	0	315.541	318.541	0.5	313.041
ctl	ctl13		6	2	879	0	319.041	322.04	1.0	317.041
ctl	ctl14		6	2	672	0	323.04	326.04	2.5	322.54
ctl	ctl15		6	2	568	0	328.54	331.54	6.5	332.04
ctl	ctl16		9	2	722	0	338.039	341.039	9.5	344.539
enc	enc38	old52	6	2	553	0	350.538	353.538	3.0	350.538
enc	enc39	old56	6	2	1492	0	356.537	359.537	3.0	356.537
enc	enc40	old63	5	2	1151	0	362.537	365.536	1.0	360.537
enc	enc41	old70	6	2	1017	0	366.536	369.536	2.0	365.536
enc	enc42	old57	9	2	1291	0	371.536	374.536	1.0	369.536
enc	enc43	old24	8	2	1471	0	375.535	378.535	0.5	373.035
enc	enc44	old34	9	2	1351	0	379.035	382.035	2.5	378.535
enc	enc45	old19	8	2	2050	0	384.535	387.534	8.5	390.035
enc	enc46	old32	9	2	1534	0	396.034	399.033	5.5	398.534
enc	enc47	old36	6	2	1381	0	404.533	407.533	2.0	403.533
enc	enc48	old06	6	2	886	0	409.532	412.532	6.0	412.532
enc	enc49	old45	8	2	1104	0	418.531	421.531	6.0	421.531
enc	enc50	old48	9	2	1366	0	427.531	430.53	1.5	426.031
enc	enc51	old10	6	2	1101	0	432.03	435.03	2.0	431.03
ctl	ctl17		8	2	986	0	437.03	440.03	1.5	435.53
enc	enc52	old44	5	2	788	0	441.529	444.529	4.0	442.529
ctl	ctl18		9	2	690	0	448.529	451.528	0.5	446.029
ctl	ctl19		8	2	628	0	452.028	455.028	6.0	455.028
ctl	ctl20		5	2	651	0	461.028	464.027	0.5	458.528
enc	enc53	old54	9	2	840	0	464.527	467.527	2.5	464.027
enc	enc54	old46	8	2	812	0	470.027	473.026	1.5	468.527
enc	enc55	old59	8	2	1108	0	474.526	477.526	2.5	474.026
enc	enc56	old37	6	2	904	0	480.026	483.025	5.5	482.526
ctl	ctl21		5	2	603	0	488.525	491.525	4.5	490.025
enc	enc57	old61	9	2	934	0	496.024	499.024	2.5	495.524
ctl	ctl22		8	2	621	0	501.524	504.523	6.5	505.024
enc	enc58	old68	9	2	979	0	511.023	514.023	6.5	514.523
ctl	ctl23		9	2	680	0	520.5219999999999	523.5219999999999	1.5	519.0219999999999
ctl	ctl24		8	2	586	0	525.0219999999999	528.021	4.5	526.5219999999999
ctl	ctl25		9	2	555	0	532.521	535.521	1.5	531.021
ctl	ctl26		5	2	518	0	537.02	540.02	0.5	534.52
enc	enc59	old58	5	2	632	0	540.52	543.52	10.5	548.02
ctl	ctl27		6	2	694	0	554.019	557.019	4.5	555.519
ctl	ctl28		6	2	768	0	561.518	564.518	2.0	560.518
enc	enc60	old64	8	2	1025	0	566.518	569.5169999999999	1.5	565.018
ctl	ctl29		9	2	697	0	571.0169999999999	574.0169999999999	12.5	580.5169999999999
enc	enc61	old11	8	2	868	0	586.516	589.516	2.0	585.516
enc	enc62	old35	5	2	715	0	591.515	594.515	1.0	589.515
enc	enc63	old76	8	2	761	0	595.515	598.515	4.0	596.515
ctl	ctl30		8	2	697	0	602.514	605.514	0.5	600.014
enc	enc64	old67	9	2	521	0	606.014	609.014	4.0	607.014
enc	enc65	old73	8	2	739	0	613.013	616.013	3.5	613.513
