	Condition	CorrectSource	Stim_RT	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond
87	1	8	1.275	561.516	3.0	564.516	2.0	Old59	Enc60
88	0	9	0.92	566.516	3.0	569.516	1.5	False	CTL29
89	1	8	1.078	571.016	3.0	574.015	12.0	Old01	Enc61
90	1	5	1.3869999999999998	586.514	3.0	589.514	2.0	Old30	Enc62
91	1	8	1.348	591.514	3.0	594.513	1.0	Old67	Enc63
92	0	8	0.953	595.513	3.0	598.513	4.0	False	CTL30
93	1	9	0.867	602.513	3.0	605.512	0.5	Old73	Enc64
94	1	8	1.364	606.012	3.0	609.012	4.0	Old72	Enc65
95	1	8	1.028	613.012	3.0	616.011	3.5	Old77	Enc66
96	0	8	0.958	619.511	3.0	622.511	1.0	False	CTL31
97	0	5	0.76	623.511	3.0	626.51	0.5	False	CTL32
98	1	5	1.0290000000000001	627.01	3.0	630.01	2.5	Old10	Enc67
99	0	9	0.816	632.51	3.0	635.51	0.5	False	CTL33
100	0	9	1.033	636.01	3.0	639.009	9.0	False	CTL34
101	0	6	0.902	648.008	3.0	651.008	2.0	False	CTL35
102	1	9	1.0659999999999998	653.008	3.0	656.008	0.5	Old02	Enc68
103	0	6	1.036	656.508	3.0	659.507	2.0	False	CTL36
104	0	5	0.674	661.507	3.0	664.507	4.5	False	CTL37
105	0	6	0.5720000000000001	669.0060000000002	3.0	672.0060000000002	4.5	False	CTL38
106	1	5	1.112	676.5060000000002	3.0	679.505	3.5	Old39	Enc69
107	1	9	1.033	683.005	3.0	686.005	1.5	Old49	Enc70
108	1	8	1.089	687.505	3.0	690.5039999999998	4.5	Old38	Enc71
109	1	6	1.0390000000000001	695.0039999999998	3.0	698.0039999999998	0.5	Old25	Enc72
110	1	9	0.777	698.5039999999998	3.0	701.503	0.5	Old70	Enc73
111	0	9	1.044	702.003	3.0	705.003	5.0	False	CTL39
112	1	5	0.45299999999999996	710.003	3.0	713.002	4.5	Old48	Enc74
113	1	6	0.858	717.502	3.0	720.502	5.5	Old51	Enc75
114	1	5	0.688	726.0010000000002	3.0	729.0010000000002	1.0	Old20	Enc76
115	1	5	0.693	730.0010000000002	3.0	733.0010000000002	0.5	Old29	Enc77
116	1	8	1.031	733.5	3.0	736.5	13.0	Old17	Enc78
