	Condition	CorrectSource	Stim_RT	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond
83	0	9	0.8240000000000001	544.996	3.0	547.996	1.5	False	CTL27
84	1	5	0.889	549.496	3.0	552.496	0.5	Old25	Enc58
85	1	6	0.892	552.996	3.0	555.995	1.5	Old70	Enc59
86	1	8	0.733	557.495	3.0	560.495	2.0	Old47	Enc60
87	0	5	0.622	562.495	3.0	565.495	1.0	False	CTL28
88	0	8	0.602	566.494	3.0	569.494	5.0	False	CTL29
89	0	9	0.588	574.494	3.0	577.494	2.0	False	CTL30
90	0	6	0.6990000000000001	579.493	3.0	582.493	5.5	False	CTL31
91	1	5	0.762	587.993	3.0	590.992	0.5	Old37	Enc61
92	0	5	0.0	591.492	3.0	594.492	8.0	False	CTL32
93	1	5	0.68	602.492	3.0	605.491	1.0	Old57	Enc62
94	0	5	1.02	606.491	3.0	609.491	0.5	False	CTL33
95	1	5	1.7519999999999998	609.991	3.0	612.991	3.5	Old04	Enc63
96	1	9	0.897	616.49	3.0	619.49	1.5	Old03	Enc64
97	1	9	1.214	620.99	3.0	623.99	2.5	Old58	Enc65
98	1	5	1.39	626.49	3.0	629.489	9.5	Old68	Enc66
99	1	8	1.0070000000000001	638.989	3.0	641.988	0.5	Old53	Enc67
100	0	8	0.0	642.488	3.0	645.488	1.0	False	CTL34
101	1	6	0.693	646.488	3.0	649.488	3.0	Old28	Enc68
102	1	6	1.2409999999999999	652.487	3.0	655.487	1.0	Old10	Enc69
103	0	8	0.805	656.487	3.0	659.487	2.0	False	CTL35
104	0	6	0.0	661.487	3.0	664.4860000000001	0.5	False	CTL36
105	1	5	0.85	664.9860000000001	3.0	667.9860000000001	2.0	Old64	Enc70
106	0	5	0.772	669.9860000000001	3.0	672.9860000000001	8.5	False	CTL37
107	1	6	0.6809999999999999	681.485	3.0	684.485	1.5	Old43	Enc71
108	1	8	0.885	685.985	3.0	688.9839999999998	1.0	Old12	Enc72
109	1	9	1.432	689.9839999999998	3.0	692.9839999999998	1.0	Old41	Enc73
110	1	8	1.07	693.9839999999998	3.0	696.9839999999998	4.0	Old15	Enc74
111	1	9	0.917	700.9830000000002	3.0	703.9830000000002	9.5	Old76	Enc75
112	0	8	0.763	713.482	3.0	716.482	4.5	False	CTL38
113	0	9	0.6579999999999999	720.982	3.0	723.982	0.5	False	CTL39
114	1	6	0.9840000000000001	724.482	3.0	727.4810000000001	4.0	Old55	Enc76
115	1	5	0.0	731.4810000000001	3.0	734.4810000000001	1.0	Old27	Enc77
116	1	6	1.715	735.4810000000001	3.0	738.48	11.0	Old21	Enc78
