	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT	Condition	CorrectSource	Stim_RT
0	OLD	animal_frog.bmp	Old06	1	1	4.026	6	1799	0	6	0.841
1	New	kitchen_spatula_old.bmp	New37	1	2	1.875	6	1799	1	8	0.8909999999999999
2	OLD	sporting_fishing rod.bmp	Old59	0	2	0.987	6	1799	1	5	1.7830000000000001
3	New	animal_giraffe.bmp	New03	1	2	1.625	6	1799	1	5	1.893
4	OLD	kitchen_wooden spoon_old.bmp	Old39	1	1	1.476	6	1223	1	6	0.892
5	OLD	food_croissant01.bmp	Old19	1	1	1.227	6	457	1	5	1.459
6	OLD	kitchen_martini glass.bmp	Old32	1	1	1.443	5	616	1	9	1.821
7	OLD	kitchen_white strainer.bmp	Old38	1	1	1.661	8	457	0	5	1.834
8	OLD	animal_monarch_old.bmp	Old08	1	1	0.922	9	388	0	6	0.831
9	New	food_pizza.bmp	New22	1	2	1.442	9	388	0	6	0.7959999999999999
10	New	musical_tambourine_new.bmp	New06	1	2	1.084	9	388	0	9	1.74
11	OLD	sporting_bicycle_old.bmp	Old55	1	1	2.421	5	242	1	6	1.725
12	OLD	animal_farm pig.bmp	Old05	1	1	1.173	9	276	1	8	0.39399999999999996
13	OLD	sporting_Badminton Racquet.bmp	Old54	1	1	1.462	9	306	0	9	0.98
14	New	animal_ostrich.bmp	New26	1	2	1.906	9	306	1	9	0.895
15	New	kitchen_kettle_new.bmp	New24	1	2	0.875	9	306	1	5	0.396
16	OLD	vegie_garlic01a.bmp	Old74	1	1	1.101	5	687	1	9	0.8959999999999999
17	OLD	fruit_pineapple_old.bmp	Old70	0	2	1.5919999999999999	5	687	1	5	0.396
18	OLD	animal_penguin.bmp	Old10	1	1	1.253	6	745	1	8	0.396
19	New	musical_bagpipes.bmp	New35	1	2	1.256	6	745	1	8	0.396
20	OLD	food_bottleofredwine01.bmp	Old15	1	1	0.897	9	781	1	9	0.397
21	New	kitchen_toaster_old.bmp	New30	1	2	1.291	9	781	1	8	1.882
22	OLD	animal_chimpanzee.bmp	Old03	1	1	0.98	5	595	1	5	0.897
23	OLD	kitchen_coffee pot.bmp	Old29	1	1	0.888	8	466	0	5	0.8640000000000001
24	OLD	sporting_snow shoes_old.bmp	Old64	1	1	1.284	9	376	0	8	0.586
25	OLD	fruit_watermelon_old.bmp	Old71	1	1	1.045	5	394	1	8	0.899
26	New	vegie_snowpea01.bmp	New27	1	2	1.254	5	394	1	8	1.828
27	OLD	musical_violin_old.bmp	Old51	1	1	0.953	8	682	1	5	0.39899999999999997
28	New	vegie_cucumber.bmp	New33	1	2	1.875	8	682	1	9	0.098
29	New	animal_gorilla.bmp	New15	1	2	1.1179999999999999	8	682	1	9	0.4
