trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	stim_onset	fix_onset	duration
1	enc	enc00	nan	5	1	2343	0	10.261	13.27	4.5
2	enc	enc000	nan	9	1	2434	0	17.766	20.775	4.5
3	ctl	ctl0	nan	9	1	1137	0	25.272	28.281	0.5
4	enc	enc01	old54	8	1	1447	0	28.783	31.792	0.5
5	ctl	ctl01	nan	6	1	1328	0	32.293	35.302	4.5
6	enc	enc02	old01	5	1	2058	0	39.799	42.808	2
7	enc	enc03	old59	5	1	1152	0	44.797	47.806	3.5
8	ctl	ctl02	nan	5	1	1025	0	51.3	54.309	1.5
9	ctl	ctl03	nan	6	1	1034	0	55.797	58.806	2.5
10	enc	enc04	old73	6	1	1449	0	61.297	64.306	1
11	enc	enc05	old78	5	1	1093	0	65.309	68.318	3
12	ctl	ctl04	nan	6	nan	0	1	71.31	74.319	4
13	enc	enc06	old49	9	1	1448	0	78.314	81.323	0.5
14	ctl	ctl05	nan	9	1	1060	0	81.825	84.834	2.5
15	enc	enc07	old58	6	1	1444	0	87.324	90.333	2.5
16	ctl	ctl06	nan	9	1	817	0	92.824	95.833	3.5
17	ctl	ctl07	nan	5	1	869	0	99.327	102.336	1
18	enc	enc08	old12	8	1	990	0	103.339	106.348	2
19	enc	enc09	old68	9	1	1258	0	108.337	111.346	0.5
20	enc	enc10	old02	5	1	1276	0	111.848	114.857	4.5
21	enc	enc11	old37	9	1	2037	0	119.353	122.362	7
22	enc	enc12	old36	5	1	1052	0	129.35	132.359	0.5
23	enc	enc13	old51	8	1	1054	0	132.86	135.869	2
24	enc	enc14	old47	8	1	1040	0	137.859	140.868	1
25	enc	enc15	old42	9	1	689	0	141.871	144.88	1
26	enc	enc16	old46	8	1	877	0	145.883	148.892	3.5
27	enc	enc17	old11	5	1	841	0	152.385	155.394	1
28	ctl	ctl08	nan	8	1	835	0	156.381	159.39	2
29	enc	enc18	old28	8	1	1015	0	161.379	164.388	0.5
30	enc	enc19	old22	8	1	800	0	164.889	167.898	3.5
31	enc	enc20	old15	5	1	1130	0	171.392	174.401	7
32	ctl	ctl09	nan	8	1	731	0	181.389	184.398	2.5
33	enc	enc21	old40	9	1	966	0	186.888	189.897	5
34	enc	enc22	old14	9	1	1099	0	194.896	197.905	1
35	enc	enc23	old09	6	1	963	0	198.908	201.917	10
36	enc	enc24	old23	8	1	1110	0	211.913	214.922	1.5
37	enc	enc25	old70	8	1	945	0	216.41	219.419	0.5
38	enc	enc26	old25	9	1	968	0	219.921	222.929	2.5
39	enc	enc27	old69	5	1	865	0	225.42	228.429	3.5
40	enc	enc28	old35	6	1	878	0	231.923	234.932	1
41	ctl	ctl10	nan	9	1	1335	0	235.935	238.944	0.5
42	ctl	ctl11	nan	6	1	899	0	239.446	242.455	1.5
43	ctl	ctl12	nan	6	1	916	0	243.942	246.951	7
44	ctl	ctl13	nan	5	1	691	0	253.939	256.948	7
45	enc	enc29	old77	9	1	1278	0	263.935	266.944	2
46	enc	enc30	old75	8	1	1050	0	268.934	271.943	6.5
47	ctl	ctl14	nan	9	1	1027	0	278.445	281.454	3.5
48	enc	enc31	old29	6	1	1284	0	284.948	287.957	2.5
49	enc	enc32	old06	6	1	764	0	290.448	293.457	4
50	enc	enc33	old13	9	1	1104	0	297.452	300.461	3.5
51	enc	enc34	old56	8	1	916	0	303.955	306.964	1
52	ctl	ctl15	nan	8	1	933	0	307.967	310.976	6.5
53	enc	enc35	old08	9	1	873	0	317.479	320.488	7.5
54	ctl	ctl16	nan	9	1	1521	0	327.977	330.986	2.5
