trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	stim_onset	fix_onset	duration
1	enc	enc00	nan	8	1	899	0	7.527	10.536	0.5
2	enc	enc000	nan	9	1	657	0	11.038	14.047	0.5
3	ctl	ctl0	nan	8	1	1249	0	14.548	17.557	6.5
4	enc	enc01	old64	6	1	1563	0	24.06	27.069	2
5	enc	enc02	old10	5	1	1099	0	29.058	32.067	1.5
6	enc	enc03	old26	6	1	1077	0	33.555	36.564	1
7	enc	enc04	old77	9	1	1348	0	37.567	40.576	8.5
8	enc	enc05	old63	8	1	1776	0	49.068	52.077	2
9	enc	enc06	old50	9	1	1147	0	54.066	57.075	2.5
10	enc	enc07	old39	8	1	1629	0	59.566	62.575	1.5
11	ctl	ctl01	nan	8	1	1432	0	64.063	67.072	1.5
12	ctl	ctl02	nan	5	1	991	0	68.56	71.569	0.5
13	enc	enc08	old43	6	1	1030	0	72.07	75.079	0.5
14	ctl	ctl03	nan	6	1	864	0	75.581	78.59	2
15	enc	enc09	old20	5	1	1777	0	80.579	83.588	1.5
16	enc	enc10	old27	6	1	1915	0	85.076	88.085	2
17	ctl	ctl04	nan	8	1	946	0	90.074	93.083	7.5
18	enc	enc11	old07	6	1	1132	0	100.572	103.581	5
19	enc	enc12	old19	8	1	2273	0	108.579	111.588	1.5
20	enc	enc13	old78	5	1	1922	0	113.076	116.085	3
21	enc	enc14	old21	9	1	2177	0	119.077	122.086	1
22	enc	enc15	old31	9	1	1880	0	123.073	126.082	1.5
23	enc	enc16	old29	5	1	1596	0	127.569	130.578	8.5
24	enc	enc17	old16	5	1	2116	0	139.071	142.08	2
25	enc	enc18	old03	5	1	478	0	144.069	147.078	1
26	ctl	ctl05	nan	8	1	856	0	148.081	151.09	1.5
27	ctl	ctl06	nan	5	1	787	0	152.578	155.587	6.5
28	enc	enc19	old41	8	1	738	0	162.089	165.098	1.5
29	enc	enc20	old68	6	1	1267	0	166.586	169.595	6.5
30	enc	enc21	old53	5	1	1642	0	176.098	179.107	3.5
31	ctl	ctl07	nan	5	1	770	0	182.601	185.61	8
32	enc	enc22	old74	6	1	603	0	193.6	196.609	13
33	enc	enc23	old08	5	1	1323	0	209.598	212.607	1
34	ctl	ctl08	nan	6	1	549	0	213.593	216.602	2.5
35	enc	enc24	old05	8	1	650	0	219.093	222.102	1.5
36	enc	enc25	old52	5	1	630	0	223.59	226.599	3.5
37	enc	enc26	old56	9	1	1229	0	230.093	233.102	2
38	enc	enc27	old42	8	1	1982	0	235.091	238.1	3
39	enc	enc28	old14	9	1	1888	0	241.092	244.101	7
40	enc	enc29	old38	8	1	2294	0	251.089	254.098	1
41	enc	enc30	old62	6	1	897	0	255.101	258.11	0.5
42	ctl	ctl09	nan	9	1	925	0	258.611	261.62	1
43	ctl	ctl10	nan	8	1	815	0	262.607	265.616	0.5
44	enc	enc31	old06	9	1	1515	0	266.117	269.126	7
45	enc	enc32	old73	6	1	1341	0	276.114	279.123	4
46	enc	enc33	old15	9	1	1360	0	283.118	286.127	2
47	enc	enc34	old17	6	1	1651	0	288.116	291.125	2.5
48	ctl	ctl11	nan	5	1	1189	0	293.616	296.625	4.5
49	enc	enc35	old72	5	1	1585	0	301.122	304.131	0.5
50	enc	enc36	old11	9	1	911	0	304.632	307.641	3
51	ctl	ctl12	nan	9	1	889	0	310.634	313.643	2
52	enc	enc37	old01	8	1	1479	0	315.632	318.641	0.5
53	ctl	ctl13	nan	6	1	801	0	319.142	322.151	1
54	ctl	ctl14	nan	6	1	707	0	323.138	326.147	2.5
55	ctl	ctl15	nan	6	1	479	0	328.638	331.647	6.5
56	ctl	ctl16	nan	9	1	546	0	338.149	341.158	9.5
57	enc	enc38	old44	6	1	443	0	350.653	353.662	3
58	enc	enc39	old54	6	1	1403	0	356.655	359.664	3
59	enc	enc40	old61	5	1	1785	0	362.656	365.665	1
60	enc	enc41	old76	6	1	1352	0	366.668	369.677	2
61	enc	enc42	old65	9	1	932	0	371.666	374.675	1
62	enc	enc43	old23	8	1	1726	0	375.662	378.671	0.5
63	enc	enc44	old37	9	1	2121	0	379.172	382.181	2.5
64	enc	enc45	old25	8	1	2475	0	384.672	387.681	8.5
65	enc	enc46	old34	9	1	1831	0	396.173	399.182	5.5
66	enc	enc47	old28	6	1	522	0	404.682	407.691	2
67	enc	enc48	old02	6	1	869	0	409.68	412.689	6
68	enc	enc49	old51	8	1	583	0	418.69	421.699	6
69	enc	enc50	old49	9	1	1116	0	427.701	430.71	1.5
70	enc	enc51	old12	6	1	1161	0	432.197	435.206	2
71	ctl	ctl17	nan	8	1	657	0	437.196	440.205	1.5
72	enc	enc52	old47	5	1	722	0	441.692	444.701	4
73	ctl	ctl18	nan	9	1	626	0	448.697	451.706	0.5
74	ctl	ctl19	nan	8	1	589	0	452.207	455.216	6
75	ctl	ctl20	nan	5	1	511	0	461.217	464.226	0.5
76	enc	enc53	old58	9	1	565	0	464.728	467.737	2.5
77	enc	enc54	old40	8	1	1693	0	470.228	473.237	1.5
78	enc	enc55	old60	8	1	2097	0	474.725	477.734	2.5
79	enc	enc56	old33	6	1	1048	0	480.224	483.233	5.5
80	ctl	ctl21	nan	5	1	461	0	488.733	491.742	4.5
81	enc	enc57	old57	9	1	1592	0	496.239	499.248	2.5
82	ctl	ctl22	nan	8	1	606	0	501.739	504.748	6.5
83	enc	enc58	old71	9	1	1474	0	511.25	514.259	6.5
84	ctl	ctl23	nan	9	1	658	0	520.745	523.755	1.5
85	ctl	ctl24	nan	8	1	651	0	525.242	528.251	4.5
86	ctl	ctl25	nan	9	1	722	0	532.748	535.757	1.5
87	ctl	ctl26	nan	5	1	608	0	537.245	540.254	0.5
88	enc	enc59	old59	5	1	1351	0	540.755	543.764	10.5
89	ctl	ctl27	nan	6	1	1137	0	554.262	557.271	4.5
90	ctl	ctl28	nan	6	1	510	0	561.768	564.777	2
91	enc	enc60	old55	8	1	643	0	566.766	569.775	1.5
92	ctl	ctl29	nan	9	1	533	0	571.263	574.272	12.5
93	enc	enc61	old04	8	1	628	0	586.76	589.769	2
94	enc	enc62	old32	5	1	755	0	591.758	594.767	1
95	enc	enc63	old67	8	1	717	0	595.77	598.779	4
96	ctl	ctl30	nan	8	1	537	0	602.774	605.783	0.5
97	enc	enc64	old75	9	1	988	0	606.285	609.294	4
98	enc	enc65	old70	8	1	1309	0	613.289	616.298	3.5
99	enc	enc66	old66	8	1	1809	0	619.792	622.801	1
100	ctl	ctl31	nan	8	1	674	0	623.804	626.813	0.5
101	ctl	ctl32	nan	5	1	758	0	627.314	630.323	2.5
102	enc	enc67	old09	5	1	1240	0	632.814	635.823	0.5
103	ctl	ctl33	nan	9	1	420	0	636.325	639.334	9
104	ctl	ctl34	nan	9	1	1021	0	648.327	651.336	2
105	ctl	ctl35	nan	6	1	714	0	653.325	656.334	0.5
106	enc	enc68	old13	9	1	756	0	656.836	659.845	2
107	ctl	ctl36	nan	6	1	829	0	661.834	664.843	4.5
108	ctl	ctl37	nan	5	1	567	0	669.34	672.349	4.5
109	ctl	ctl38	nan	6	1	613	0	676.846	679.855	3.5
110	enc	enc69	old36	5	1	1099	0	683.349	686.358	1.5
111	enc	enc70	old48	9	1	508	0	687.845	690.854	4.5
112	enc	enc71	old30	8	1	724	0	695.351	698.36	0.5
113	enc	enc72	old24	6	1	649	0	698.862	701.871	0.5
114	enc	enc73	old69	9	1	738	0	702.372	705.381	5
115	ctl	ctl39	nan	9	1	884	0	710.379	713.388	4.5
116	enc	enc74	old46	5	1	653	0	717.885	720.894	5.5
117	enc	enc75	old45	6	1	491	0	726.394	729.403	1
118	enc	enc76	old18	5	1	710	0	730.406	733.415	0.5
119	enc	enc77	old35	5	1	594	0	733.916	736.925	13.5
120	enc	enc78	old22	8	1	1212	0			
