trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	stim_onset	fix_onset	duration
1	ctl	ctl0	nan	5	3	1468	0	4.59	7.59	0.5
2	enc	enc00	nan	8	3	1977	0	8.09	11.09	0.5
3	enc	enc000	nan	9	3	1510	0	11.59	14.59	5.5
4	ctl	ctl01	nan	8	3	2020	0	20.089	23.089	0.5
5	enc	enc01	old59	6	3	1595	0	23.589	26.589	1
6	enc	enc02	old10	5	3	1558	0	27.589	30.588	1
7	enc	enc03	old22	6	3	2178	0	31.588	34.588	1.5
8	enc	enc04	old68	9	3	2116	0	36.088	39.088	2
9	enc	enc05	old58	8	3	1991	0	41.087	44.087	3
10	enc	enc06	old47	9	3	2507	0	47.087	50.087	0.5
11	ctl	ctl02	nan	5	3	1383	0	50.587	53.586	4
12	ctl	ctl03	nan	6	3	982	0	57.586	60.586	2.5
13	enc	enc07	old29	8	3	1346	0	63.086	66.085	1.5
14	ctl	ctl04	nan	8	3	1323	0	67.585	70.585	2
15	enc	enc08	old42	6	3	1476	0	72.585	75.585	3.5
16	enc	enc09	old26	5	3	1220	0	79.084	82.084	0.5
17	ctl	ctl05	nan	8	3	931	0	82.584	85.584	2.5
18	enc	enc10	old39	6	3	1858	0	88.084	91.083	0.5
19	enc	enc11	old09	6	3	1637	0	91.583	94.583	1
20	enc	enc12	old18	8	3	1771	0	95.583	98.583	1.5
21	enc	enc13	old75	5	3	2711	0	100.083	103.082	2.5
22	enc	enc14	old25	9	nan	0	1	105.582	108.582	3
23	enc	enc15	old37	9	3	1742	0	111.582	114.581	1
24	enc	enc16	old33	5	3	2419	0	115.581	118.581	1.5
25	enc	enc17	old14	5	3	2882	0	120.081	123.081	1.5
26	ctl	ctl06	nan	5	3	1166	0	124.581	127.58	1
27	enc	enc18	old13	5	3	1499	0	128.58	131.58	2.5
28	enc	enc19	old44	8	3	1594	0	134.08	137.08	2.5
29	ctl	ctl07	nan	5	3	1156	0	139.579	142.579	0.5
30	enc	enc20	old70	6	3	1638	0	143.079	146.079	5.5
31	enc	enc21	old62	5	3	2090	0	151.578	154.578	5.5
32	enc	enc22	old69	6	3	1257	0	160.078	163.077	2
33	enc	enc23	old04	5	3	1379	0	165.077	168.077	1
34	enc	enc24	old08	8	3	1550	0	169.077	172.077	3
35	enc	enc25	old45	5	3	1908	0	175.076	178.076	3.5
36	enc	enc26	old63	9	3	2681	0	181.576	184.576	0.5
37	ctl	ctl08	nan	6	nan	0	1	185.076	188.075	1.5
38	ctl	ctl09	nan	9	3	1003	0	189.575	192.575	9.5
39	ctl	ctl10	nan	8	3	589	0	202.074	205.074	2
40	ctl	ctl11	nan	5	3	608	0	207.074	210.074	2
41	enc	enc27	old49	8	3	835	0	212.073	215.073	1
42	ctl	ctl12	nan	9	3	974	0	216.073	219.073	0.5
43	enc	enc28	old17	9	3	1013	0	219.573	222.573	0.5
44	ctl	ctl13	nan	6	3	1127	0	223.072	226.072	2
45	enc	enc29	old35	8	3	1829	0	228.072	231.072	4.5
46	enc	enc30	old53	6	3	1693	0	235.571	238.571	3.5
47	enc	enc31	old03	9	3	2006	0	242.071	245.071	8
48	enc	enc32	old72	6	3	1746	0	253.07	256.07	9
49	enc	enc33	old20	9	3	1615	0	265.069	268.069	0.5
50	enc	enc34	old16	6	3	1572	0	268.569	271.568	2.5
51	ctl	ctl14	nan	6	nan	0	1	274.068	277.068	8.5
52	enc	enc35	old77	5	3	2237	0	285.567	288.567	0.5
53	enc	enc36	old07	9	3	1522	0	289.067	292.067	5.5
54	enc	enc37	old01	8	3	2237	0	297.566	300.566	3
55	enc	enc38	old43	6	3	1300	0	303.566	306.566	4
56	ctl	ctl15	nan	6	3	1003	0	310.565	313.565	6.5
57	ctl	ctl16	nan	9	3	1128	0	320.064	323.064	0.5
58	enc	enc39	old65	6	3	1021	0	323.564	326.564	11.5
59	enc	enc40	old56	5	3	2188	0	338.063	341.063	9.5
60	enc	enc41	old73	6	3	1220	0	350.562	353.562	1
61	ctl	ctl17	nan	8	3	793	0	354.562	357.561	5.5
62	enc	enc42	old61	9	3	755	0	363.061	366.061	1.5
63	enc	enc43	old15	8	3	917	0	367.561	370.56	1
64	enc	enc44	old38	9	3	1573	0	371.56	374.564	2
65	ctl	ctl18	nan	9	3	1103	0	376.577	379.576	3.5
66	enc	enc45	old24	8	3	1259	0	383.076	386.076	1.5
67	enc	enc46	old30	9	3	1388	0	387.576	390.575	0.5
68	ctl	ctl19	nan	8	3	910	0	391.075	394.075	2.5
69	ctl	ctl20	nan	5	3	910	0	396.575	399.575	0.5
70	ctl	ctl21	nan	5	3	1035	0	400.075	403.074	2.5
71	ctl	ctl22	nan	8	3	760	0	405.574	408.574	2
72	ctl	ctl23	nan	9	3	587	0	410.574	413.573	11
73	ctl	ctl24	nan	8	3	713	0	424.573	427.572	1
74	enc	enc47	old31	6	3	954	0	428.572	431.572	1.5
75	enc	enc48	old12	6	3	1111	0	433.072	436.072	0.5
76	enc	enc49	old50	8	3	1015	0	436.572	439.571	0.5
77	enc	enc50	old40	9	3	1430	0	440.071	443.071	2
78	enc	enc51	old05	6	3	1365	0	445.071	448.071	1
79	ctl	ctl25	nan	9	3	1030	0	449.071	452.07	2
80	ctl	ctl26	nan	5	3	839	0	454.07	457.07	4
81	enc	enc52	old48	5	3	1083	0	461.07	464.069	4.5
82	enc	enc53	old60	9	3	1400	0	468.569	471.569	8.5
83	enc	enc54	old51	8	3	1173	0	480.068	483.068	1
84	enc	enc55	old57	8	3	1127	0	484.068	487.067	6
85	ctl	ctl27	nan	6	3	1155	0	493.067	496.067	1.5
86	enc	enc56	old36	6	3	1097	0	497.567	500.566	13
87	ctl	ctl28	nan	6	3	895	0	513.565	516.565	1.5
88	enc	enc57	old54	9	3	1061	0	518.065	521.065	1.5
89	enc	enc58	old67	9	3	1464	0	522.565	525.564	7.5
90	enc	enc59	old64	5	3	2250	0	533.064	536.063	1.5
91	ctl	ctl29	nan	9	3	1017	0	537.563	540.563	3.5
92	enc	enc60	old55	8	3	1150	0	544.063	547.063	1
93	ctl	ctl30	nan	8	3	2247	0	548.062	551.062	1.5
94	enc	enc61	old11	8	3	1107	0	552.562	555.562	3.5
95	ctl	ctl31	nan	8	3	687	0	559.062	562.061	4.5
