0	1	2	3	4	5	6	7	8	stim_resp	stim_rt	stim_acc
1	ctl	ctl0		control	0.025	fixation	3.034	1.5	1.0	1183	0
2	enc	enc00		encoding	4.521	fixation	7.53	0.5	1.0	2759	0
3	enc	enc000		encoding	8.032	fixation	11.040999999999999	0.5	1.0	1656	0
4	ctl	ctl01		control	11.542	fixation	14.550999999999998	5.5	1.0	1402	0
5	enc	enc01	old60	encoding	20.051	fixation	23.06	0.5		0	1
6	enc	enc02	old01	encoding	23.561	fixation	26.57	1.0	1.0	1822	0
7	enc	enc03	old24	encoding	27.557	fixation	30.566	1.0	1.0	1930	0
8	enc	enc04	old68	encoding	31.569000000000003	fixation	34.578	1.5	1.0	1814	0
9	enc	enc05	old55	encoding	36.065	fixation	39.074	2.0	1.0	1094	0
10	enc	enc06	old46	encoding	41.06399999999999	fixation	44.073	3.0	1.0	2895	0
11	ctl	ctl02		control	47.065	fixation	50.074	0.5	1.0	838	0
12	ctl	ctl03		control	50.575	fixation	53.583999999999996	4.0	1.0	807	0
13	enc	enc07	old38	encoding	57.57899999999999	fixation	60.588	2.5	1.0	2139	0
14	ctl	ctl04		control	63.07899999999999	fixation	66.08800000000001	1.5	1.0	791	0
15	enc	enc08	old47	encoding	67.57600000000001	fixation	70.585	2.0	1.0	1678	0
16	enc	enc09	old20	encoding	72.574	fixation	75.583	3.5	1.0	2383	0
17	ctl	ctl05		control	79.077	fixation	82.086	0.5	1.0	840	0
18	enc	enc10	old30	encoding	82.587	fixation	85.596	2.5	1.0	2578	0
19	enc	enc11	old05	encoding	88.087	fixation	91.096	0.5	1.0	1558	0
20	enc	enc12	old25	encoding	91.59700000000001	fixation	94.60600000000001	1.0	1.0	2848	0
21	enc	enc13	old77	encoding	95.59299999999999	fixation	98.602	1.5	1.0	2340	0
22	enc	enc14	old17	encoding	100.089	fixation	103.098	2.5	1.0	2740	0
23	enc	enc15	old35	encoding	105.589	fixation	108.598	3.0	1.0	2095	0
24	enc	enc16	old32	encoding	111.59	fixation	114.59899999999999	1.0	1.0	1966	0
25	enc	enc17	old26	encoding	115.586	fixation	118.595	1.5	1.0	2258	0
26	ctl	ctl06		control	120.08200000000001	fixation	123.09100000000001	1.5	1.0	1026	0
27	enc	enc18	old03	encoding	124.579	fixation	127.588	1.0	1.0	1641	0
28	enc	enc19	old41	encoding	128.591	fixation	131.6	2.5	1.0	1949	0
29	ctl	ctl07		control	134.091	fixation	137.1	2.5	1.0	825	0
30	enc	enc20	old66	encoding	139.59	fixation	142.599	0.5	1.0	2005	0
31	enc	enc21	old56	encoding	143.101	fixation	146.11	5.5		0	1
