trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	stim_onset	fix_onset	duration
1	enc	enc00	nan	8	1	1454	0	7.515	10.524	0.5
2	enc	enc000	nan	9	1	1036	0	11.026	14.035	0.5
3	ctl	ctl0	nan	8	1	1317	0	14.536	17.545	6.5
4	enc	enc01	old54	6	1	1175	0	24.031	27.04	2
5	enc	enc02	old03	5	1	1448	0	29.03	32.039	1.5
6	enc	enc03	old26	6	1	1041	0	33.527	36.536	1
7	enc	enc04	old66	9	1	1192	0	37.539	40.548	8.5
8	enc	enc05	old59	8	1	1036	0	49.04	52.049	2
9	enc	enc06	old48	9	1	990	0	54.038	57.047	2.5
10	enc	enc07	old31	8	1	1056	0	59.538	62.547	1.5
11	ctl	ctl01	nan	8	1	980	0	64.034	67.043	1.5
12	ctl	ctl02	nan	5	1	1220	0	68.531	71.54	0.5
13	enc	enc08	old49	6	1	1115	0	72.042	75.051	0.5
14	ctl	ctl03	nan	6	1	764	0	75.552	78.561	2
15	enc	enc09	old15	5	1	934	0	80.55	83.559	1.5
16	enc	enc10	old27	6	1	1080	0	85.047	88.056	2
17	ctl	ctl04	nan	8	1	950	0	90.045	93.054	7.5
18	enc	enc11	old13	6	1	880	0	100.543	103.552	5
19	enc	enc12	old17	8	1	1678	0	108.551	111.56	1.5
20	enc	enc13	old69	5	nan	0	1	113.047	116.056	3
21	enc	enc14	old18	9	1	1550	0	119.049	122.058	1
22	enc	enc15	old28	9	1	1444	0	123.061	126.07	1.5
23	enc	enc16	old29	5	1	1295	0	127.558	130.567	8.5
24	enc	enc17	old23	5	1	1350	0	139.059	142.068	2
25	enc	enc18	old09	5	1	1393	0	144.057	147.066	1
26	ctl	ctl05	nan	8	1	971	0	148.069	151.078	1.5
27	ctl	ctl06	nan	5	1	751	0	152.566	155.575	6.5
28	enc	enc19	old50	8	1	878	0	162.077	165.086	1.5
29	enc	enc20	old71	6	1	1038	0	166.574	169.583	6.5
30	enc	enc21	old64	5	1	1085	0	176.086	179.095	3.5
31	ctl	ctl07	nan	5	1	629	0	182.589	185.598	8
32	enc	enc22	old72	6	1	1118	0	193.588	196.597	13
33	enc	enc23	old02	5	1	855	0	209.586	212.595	1
34	ctl	ctl08	nan	6	1	816	0	213.598	216.607	2.5
35	enc	enc24	old04	8	1	1124	0	219.098	222.107	1.5
36	enc	enc25	old44	5	1	1072	0	223.594	226.603	3.5
37	enc	enc26	old57	9	1	1256	0	230.097	233.106	2
38	enc	enc27	old47	8	1	1289	0	235.096	238.105	3
39	enc	enc28	old14	9	1	1138	0	241.097	244.106	7
40	enc	enc29	old36	8	1	1185	0	251.093	254.102	1
41	enc	enc30	old62	6	1	1716	0	255.089	258.098	0.5
42	ctl	ctl09	nan	9	1	712	0	258.599	261.608	1
43	ctl	ctl10	nan	8	1	874	0	262.594	265.603	0.5
44	enc	enc31	old10	9	1	927	0	266.105	269.114	7
45	enc	enc32	old74	6	1	1576	0	276.101	279.11	4
46	enc	enc33	old19	9	1	1164	0	283.106	286.115	2
47	enc	enc34	old22	6	1	1646	0	288.104	291.113	2.5
48	ctl	ctl11	nan	5	1	784	0	293.604	296.613	4.5
49	enc	enc35	old67	5	1	1044	0	301.109	304.118	0.5
50	enc	enc36	old06	9	1	1099	0	304.62	307.629	3
51	ctl	ctl12	nan	9	1	876	0	310.621	313.63	2
52	enc	enc37	old11	8	1	2075	0	315.619	318.628	0.5
53	ctl	ctl13	nan	6	1	893	0	319.13	322.139	1
54	ctl	ctl14	nan	6	1	878	0	323.142	326.151	2.5
55	ctl	ctl15	nan	6	1	1017	0	328.642	331.651	6.5
56	ctl	ctl16	nan	9	1	933	0	338.153	341.162	9.5
57	enc	enc38	old46	6	1	1206	0	350.657	353.666	3
58	enc	enc39	old61	6	1	1270	0	356.659	359.668	3
59	enc	enc40	old56	5	1	1900	0	362.66	365.669	1
60	enc	enc41	old77	6	1	1970	0	366.672	369.681	2
61	enc	enc42	old65	9	1	942	0	371.67	374.679	1
