	Condition	CorrectSource	Stim_RT
0	Enc	6	1.22
1	Enc	5	0.747
2	Enc	6	0.805
3	Enc	9	0.708
4	Enc	8	0.913
5	Enc	9	0.771
6	Enc	8	0.54
7	CTL	8	0.657
8	CTL	5	0.512
9	Enc	6	0.758
10	CTL	6	0.704
11	Enc	5	1.058
12	Enc	6	1.203
13	CTL	8	0.803
14	Enc	6	0.892
15	Enc	8	1.082
16	Enc	5	1.538
17	Enc	9	1.274
18	Enc	9	1.616
19	Enc	5	1.868
20	Enc	5	0.748
21	Enc	5	0.775
22	CTL	8	1.104
23	CTL	5	0.564
24	Enc	8	0.908
25	Enc	6	1.012
26	Enc	5	0.947
27	CTL	5	0.523
28	Enc	6	1.324
29	Enc	5	0.604
30	CTL	6	0.622
31	Enc	8	0.81
32	Enc	5	0.869
33	Enc	9	0.661
34	Enc	8	0.614
35	Enc	9	1.888
36	Enc	8	1.703
37	Enc	6	0.777
38	CTL	9	0.717
39	CTL	8	0.559
40	Enc	9	0.515
41	Enc	6	0.845
42	Enc	9	1.399
43	Enc	6	0.755
44	CTL	5	0.773
45	Enc	5	0.568
46	Enc	9	0.919
47	CTL	9	0.768
48	Enc	8	0.655
49	CTL	6	0.625
50	CTL	6	0.577
51	CTL	6	0.501
52	CTL	9	0.714
53	Enc	6	0.962
54	Enc	6	1.145
55	Enc	5	1.312
56	Enc	6	0.559
57	Enc	9	1.386
58	Enc	8	1.66
59	Enc	9	2.145
60	Enc	8	1.834
61	Enc	9	0.79
62	Enc	6	0.705
63	Enc	6	0.748
64	Enc	8	0.934
65	Enc	9	1.091
66	Enc	6	1.304
67	CTL	8	0.92
68	Enc	5	1.074
69	CTL	9	0.577
70	CTL	8	0.548
71	CTL	5	0.501
72	Enc	9	0.827
73	Enc	8	1.597
74	Enc	8	2.032
75	Enc	6	2.407
76	CTL	5	0.7
77	Enc	9	1.191
78	CTL	8	0.588
79	Enc	9	1.033
80	CTL	9	0.553
81	CTL	8	0.6
82	CTL	9	0.592
83	CTL	5	0.614
84	Enc	5	0.549
85	CTL	6	0.743
86	CTL	6	0.555
87	Enc	8	1.13
88	CTL	9	0.754
89	Enc	8	1.938
90	Enc	5	1.21
91	Enc	8	1.234
92	CTL	8	0.686
93	Enc	9	1.378
94	Enc	8	1.14
95	Enc	8	1.144
96	CTL	8	0.792
97	CTL	5	0.596
98	Enc	5	0.694
99	CTL	9	0.826
100	CTL	9	0.66
101	CTL	6	0.536
102	Enc	9	1.106
103	CTL	6	0.668
104	CTL	5	0.509
105	CTL	6	0.483
106	Enc	5	1.073
107	Enc	9	1.106
108	Enc	8	1.698
109	Enc	6	1.855
110	Enc	9	1.489
111	CTL	9	0.77
112	Enc	5	1.355
113	Enc	6	0.648
114	Enc	5	0.868
115	Enc	5	0.625
116	Enc	8	1.858
