	Condition	CorrectSource	Stim_RT
0	Enc	8	1.29
1	CTL	6	1.723
2	Enc	5	1.156
3	Enc	5	1.298
4	CTL	5	0.9
5	CTL	6	0.869
6	Enc	6	1.061
7	Enc	5	1.009
8	CTL	6	1.077
9	Enc	9	1.315
10	CTL	9	0.839
11	Enc	6	1.128
12	CTL	9	0.869
13	CTL	5	0.633
14	Enc	8	1.21
15	Enc	9	0.91
16	Enc	5	1.184
17	Enc	9	1.296
18	Enc	5	1.223
19	Enc	8	1.25
20	Enc	8	1.132
21	Enc	9	1.245
22	Enc	8	1.353
23	Enc	5	1.117
24	CTL	8	0.902
25	Enc	8	1.37
26	Enc	8	1.292
27	Enc	5	1.182
28	CTL	8	0.911
29	Enc	9	1.018
30	Enc	9	1.351
31	Enc	6	1.398
32	Enc	8	1.322
33	Enc	8	1.365
34	Enc	9	1.62
35	Enc	5	1.149
36	Enc	6	1.506
37	CTL	9	1.098
38	CTL	6	0.686
39	CTL	6	0.647
40	CTL	5	0.863
41	Enc	9	0.0
42	Enc	8	1.382
43	CTL	9	0.774
44	Enc	6	1.479
45	Enc	6	1.08
46	Enc	9	1.196
47	Enc	8	1.272
48	CTL	8	0.849
49	Enc	9	1.26
50	CTL	9	0.772
51	CTL	8	0.778
52	Enc	8	1.222
53	Enc	9	1.03
54	Enc	6	1.154
55	CTL	5	0.809
56	Enc	5	0.924
57	Enc	6	1.096
58	Enc	6	1.206
59	Enc	8	1.221
60	Enc	9	1.328
61	CTL	5	0.728
62	Enc	5	1.215
63	CTL	8	0.8
64	CTL	9	0.708
65	Enc	6	1.083
66	CTL	8	0.732
67	Enc	9	0.964
68	Enc	6	0.715
69	Enc	9	1.597
70	Enc	6	1.375
71	Enc	8	1.206
72	Enc	9	1.13
73	Enc	8	1.646
74	CTL	9	0.801
75	Enc	9	1.277
76	CTL	6	0.836
77	Enc	5	1.093
78	Enc	8	1.092
79	Enc	5	1.133
80	Enc	6	0.859
81	CTL	6	0.751
82	Enc	5	1.032
83	Enc	6	1.164
84	Enc	8	1.16
85	CTL	6	0.826
86	CTL	9	0.747
87	CTL	5	0.486
88	Enc	5	1.168
89	Enc	5	0.988
90	CTL	8	0.771
91	Enc	5	0.943
92	Enc	9	1.313
93	CTL	9	0.69
94	Enc	9	1.478
95	Enc	5	1.286
96	CTL	6	0.904
97	CTL	5	0.665
98	Enc	8	1.169
99	Enc	6	1.215
100	CTL	5	0.903
101	CTL	8	0.781
102	Enc	6	0.966
103	Enc	5	1.414
104	CTL	8	0.931
105	CTL	6	0.753
106	Enc	6	0.947
107	Enc	8	1.087
108	CTL	5	0.729
109	CTL	8	0.739
110	Enc	9	1.172
111	Enc	8	1.662
112	CTL	9	0.763
113	Enc	9	1.092
114	Enc	6	1.183
115	Enc	5	1.423
116	Enc	6	1.579
