	Condition	CorrectSource	Stim_RT
0	CTL	6	1.205
1	Enc	8	1.139
2	Enc	5	1.77
3	Enc	5	1.881
4	Enc	6	2.393
5	Enc	5	1.957
6	Enc	9	1.96
7	CTL	5	0.0
8	CTL	6	1.603
9	CTL	6	1.611
10	CTL	9	1.572
11	Enc	6	2.774
12	Enc	8	2.233
13	CTL	9	1.114
14	Enc	9	2.35
15	Enc	5	1.985
16	Enc	9	1.957
17	Enc	5	1.408
18	Enc	8	2.257
19	Enc	8	1.592
20	Enc	9	2.267
21	Enc	8	2.685
22	Enc	5	2.548
23	CTL	5	1.367
24	CTL	8	1.116
25	Enc	8	1.6
26	Enc	8	1.659
27	Enc	5	2.04
28	Enc	9	2.085
29	Enc	9	2.049
30	CTL	8	0.913
31	Enc	6	1.548
32	CTL	9	0.801
33	Enc	8	1.5
34	Enc	8	1.679
35	Enc	9	2.009
36	Enc	5	1.512
37	Enc	6	1.552
38	Enc	9	2.132
39	Enc	8	1.812
40	Enc	6	1.832
41	Enc	6	1.937
42	CTL	6	1.506
43	Enc	9	1.877
44	Enc	8	1.806
45	CTL	6	1.008
46	Enc	9	1.513
47	Enc	8	1.849
48	Enc	9	1.668
49	Enc	6	2.595
50	Enc	5	2.299
51	CTL	5	0.895
52	Enc	6	1.98
53	CTL	9	1.095
54	CTL	8	0.651
55	CTL	9	1.3
56	Enc	6	1.856
57	Enc	8	1.209
58	Enc	9	1.032
59	Enc	5	1.533
60	Enc	6	1.478
61	Enc	9	1.462
62	CTL	8	0.771
63	Enc	6	0.736
64	Enc	9	1.85
65	CTL	5	0.868
66	CTL	5	0.669
67	Enc	6	1.951
68	CTL	8	1.046
69	CTL	9	0.863
70	Enc	8	2.311
71	Enc	9	1.995
72	CTL	8	0.764
73	Enc	8	1.095
74	Enc	9	1.108
75	CTL	9	0.935
76	CTL	6	2.385
77	Enc	5	2.104
78	Enc	8	1.999
79	Enc	5	1.287
80	CTL	6	0.882
81	Enc	6	2.184
82	CTL	6	1.433
83	CTL	9	2.064
84	Enc	5	2.93
85	Enc	6	1.386
86	Enc	8	1.759
87	CTL	5	0.838
88	CTL	8	0.777
89	CTL	9	0.676
90	CTL	6	0.948
91	Enc	5	1.275
92	CTL	5	0.999
93	Enc	5	0.879
94	CTL	5	0.942
95	Enc	5	2.65
96	Enc	9	1.453
97	Enc	9	1.114
98	Enc	5	1.217
99	Enc	8	0.834
100	CTL	8	0.959
101	Enc	6	1.358
102	Enc	6	1.025
103	CTL	8	1.033
104	CTL	6	0.811
105	Enc	5	1.379
106	CTL	5	0.912
107	Enc	6	1.409
108	Enc	8	1.17
109	Enc	9	1.87
110	Enc	8	1.926
111	Enc	9	1.373
112	CTL	8	0.808
113	CTL	9	0.957
114	Enc	6	1.129
115	Enc	5	1.566
116	Enc	6	1.165
