	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond
0	11.598	3.0	14.607	5.5	False	CTL01
1	20.107	3.0	23.116	0.5	Old58	Enc01
2	23.617	3.0	26.626	1.0	Old12	Enc02
3	27.612	3.0	30.621	1.0	Old20	Enc03
4	31.608	3.0	34.617	1.5	Old73	Enc04
5	36.104	3.0	39.113	2.0	Old57	Enc05
6	41.103	3.0	44.11199999999999	3.0	Old49	Enc06
7	47.104	3.0	50.113	0.5	False	CTL02
8	50.614	3.0	53.623	4.0	False	CTL03
9	57.618	3.0	60.627	2.5	Old37	Enc07
10	63.118	3.0	66.127	1.5	False	CTL04
11	67.615	3.0	70.624	2.0	Old46	Enc08
12	72.613	3.0	75.622	3.5	Old19	Enc09
13	79.116	3.0	82.125	0.5	False	CTL05
14	82.626	3.0	85.635	2.5	Old30	Enc10
15	88.126	3.0	91.135	0.5	Old06	Enc11
16	91.63600000000001	3.0	94.645	1.0	Old21	Enc12
17	95.632	3.0	98.641	1.5	Old72	Enc13
18	100.128	3.0	103.137	2.5	Old15	Enc14
19	105.628	3.0	108.637	3.0	Old28	Enc15
20	111.629	3.0	114.638	1.0	Old36	Enc16
21	115.624	3.0	118.633	1.5	Old16	Enc17
22	120.121	3.0	123.13	1.5	False	CTL06
23	124.618	3.0	127.627	1.0	Old11	Enc18
24	128.63	3.0	131.639	2.5	Old48	Enc19
25	134.129	3.0	137.138	2.5	False	CTL07
26	139.629	3.0	142.638	0.5	Old69	Enc20
27	143.14	3.0	146.149	5.5	Old53	Enc21
28	151.648	3.0	154.657	5.5	Old76	Enc22
29	160.157	3.0	163.166	2.0	Old09	Enc23
30	165.155	3.0	168.164	1.0	Old03	Enc24
31	169.15	3.0	172.159	3.0	Old50	Enc25
32	175.152	3.0	178.16	3.5	Old59	Enc26
33	181.654	3.0	184.663	0.5	False	CTL08
34	185.165	3.0	188.174	1.5	False	CTL09
35	189.661	3.0	192.67	9.5	False	CTL10
36	202.165	3.0	205.174	2.0	False	CTL11
37	207.163	3.0	210.172	2.0	Old44	Enc27
38	212.162	3.0	215.171	1.0	False	CTL12
39	216.174	3.0	219.183	0.5	Old17	Enc28
40	219.684	3.0	222.693	0.5	False	CTL13
41	223.195	3.0	226.203	2.0	Old29	Enc29
42	228.193	3.0	231.202	4.5	Old60	Enc30
43	235.698	3.0	238.707	3.5	Old05	Enc31
44	242.201	3.0	245.21	8.0	Old77	Enc32
45	253.2	3.0	256.209	9.0	Old23	Enc33
46	265.203	3.0	268.212	0.5	Old18	Enc34
47	268.713	3.0	271.722	2.5	False	CTL14
48	274.213	3.0	277.222	8.5	Old75	Enc35
49	285.714	3.0	288.723	0.5	Old08	Enc36
50	289.224	3.0	292.233	5.5	Old01	Enc37
51	297.733	3.0	300.742	3.0	Old47	Enc38
52	303.734	3.0	306.743	4.0	False	CTL15
53	310.738	3.0	313.747	6.5	False	CTL16
54	320.25	3.0	323.259	0.5	Old65	Enc39
55	323.76	3.0	326.769	11.0	Old62	Enc40
56	338.27	3.0	341.279	9.5	Old66	Enc41
57	350.774	3.0	353.783	1.0	False	CTL17
58	354.769	3.0	357.778	5.5	Old63	Enc42
59	363.278	3.0	366.287	1.5	Old14	Enc43
60	367.775	3.0	370.784	1.0	Old35	Enc44
61	371.787	3.0	374.796	2.0	False	CTL18
62	376.785	3.0	379.794	3.5	Old26	Enc45
63	383.288	3.0	386.297	1.5	Old27	Enc46
64	387.784	3.0	390.793	0.5	False	CTL19
65	391.295	3.0	394.304	2.5	False	CTL20
66	396.794	3.0	399.8030000000001	0.5	False	CTL21
67	400.305	3.0	403.314	2.5	False	CTL22
68	405.805	3.0	408.814	2.0	False	CTL23
69	410.8030000000001	3.0	413.812	11.0	False	CTL24
70	424.811	3.0	427.82	1.0	Old34	Enc47
71	428.806	3.0	431.815	1.5	Old04	Enc48
72	433.3030000000001	3.0	436.312	0.5	Old45	Enc49
73	436.814	3.0	439.823	0.5	Old52	Enc50
74	440.324	3.0	443.333	2.0	Old07	Enc51
75	445.3219999999999	3.0	448.331	1.0	False	CTL25
76	449.317	3.0	452.326	2.0	False	CTL26
77	454.316	3.0	457.325	4.0	Old43	Enc52
78	461.32	3.0	464.329	4.5	Old54	Enc53
79	468.826	3.0	471.834	8.5	Old40	Enc54
80	480.326	3.0	483.335	1.0	Old56	Enc55
81	484.3219999999999	3.0	487.331	6.0	False	CTL27
82	493.332	3.0	496.341	1.5	Old31	Enc56
83	497.828	3.0	500.837	13.0	False	CTL28
84	513.826	3.0	516.835	1.5	Old55	Enc57
85	518.323	3.0	521.332	1.5	Old74	Enc58
86	522.82	3.0	525.828	7.5	Old61	Enc59
