trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	stim_onset	fix_onset	fix_duration
1	enc	enc00	nan	8	3	1642	0	7.531	10.531	0.5
2	enc	enc000	nan	9	3	617	0	11.031	14.031	0.5
3	ctl	ctl0	nan	8	3	1353	0	14.531	17.53	6.5
4	enc	enc01	old64	6	3	901	0	24.03	27.03	2
5	enc	enc02	old07	5	3	1419	0	29.029	32.029	1.5
6	enc	enc03	old18	6	3	1501	0	33.529	36.529	1
7	enc	enc04	old73	9	3	1135	0	37.529	40.528	8.5
8	enc	enc05	old59	8	3	1029	0	49.028	52.027	2
9	enc	enc06	old43	9	3	1005	0	54.027	57.027	2.5
10	enc	enc07	old31	8	3	726	0	59.527	62.526	1.5
11	ctl	ctl01	nan	8	3	789	0	64.026	67.026	1.5
12	ctl	ctl02	nan	5	3	815	0	68.526	71.526	0.5
13	enc	enc08	old47	6	3	1195	0	72.026	75.025	0.5
14	ctl	ctl03	nan	6	3	750	0	75.525	78.525	2
15	enc	enc09	old15	5	3	769	0	80.525	83.524	1.5
16	enc	enc10	old27	6	3	997	0	85.024	88.024	2
17	ctl	ctl04	nan	8	3	615	0	90.024	93.024	7.5
18	enc	enc11	old11	6	3	967	0	100.523	103.523	5
19	enc	enc12	old17	8	3	746	0	108.522	111.522	1.5
20	enc	enc13	old66	5	3	1126	0	113.022	116.022	3
21	enc	enc14	old22	9	3	938	0	119.021	122.021	1
22	enc	enc15	old32	9	3	879	0	123.021	126.021	1.5
23	enc	enc16	old34	5	3	928	0	127.521	130.52	8.5
24	enc	enc17	old19	5	3	1175	0	139.02	142.019	2
25	enc	enc18	old09	5	3	797	0	144.019	147.019	1
26	ctl	ctl05	nan	8	3	689	0	148.019	151.018	1.5
27	ctl	ctl06	nan	5	3	669	0	152.518	155.518	6.5
28	enc	enc19	old41	8	3	989	0	162.017	165.017	1.5
29	enc	enc20	old77	6	3	714	0	166.517	169.517	6.5
30	enc	enc21	old57	5	3	962	0	176.016	179.016	3.5
31	ctl	ctl07	nan	5	3	690	0	182.516	185.515	8
32	enc	enc22	old75	6	3	885	0	193.515	196.514	13
33	enc	enc23	old02	5	3	712	0	209.513	212.513	1
34	ctl	ctl08	nan	6	3	626	0	213.513	216.513	2.5
35	enc	enc24	old04	8	3	1004	0	219.012	222.012	1.5
36	enc	enc25	old42	5	3	855	0	223.512	226.512	3.5
37	enc	enc26	old53	9	3	1005	0	230.011	233.011	2
38	enc	enc27	old50	8	3	716	0	235.011	238.011	3
39	enc	enc28	old24	9	3	881	0	241.01	244.01	7
40	enc	enc29	old38	8	3	1256	0	251.01	254.009	1
41	enc	enc30	old63	6	3	865	0	255.009	258.009	0.5
42	ctl	ctl09	nan	9	3	789	0	258.509	261.509	1
43	ctl	ctl10	nan	8	3	804	0	262.508	265.508	0.5
44	enc	enc31	old05	9	3	942	0	266.008	269.008	7
45	enc	enc32	old70	6	3	943	0	276.007	279.007	4
46	enc	enc33	old26	9	3	866	0	283.007	286.006	2
47	enc	enc34	old20	6	3	1031	0	288.006	291.006	2.5
48	ctl	ctl11	nan	5	3	700	0	293.506	296.505	4.5
49	enc	enc35	old74	5	3	1211	0	301.005	304.005	0.5
50	enc	enc36	old06	9	3	790	0	304.505	307.504	3
51	ctl	ctl12	nan	9	3	799	0	310.504	313.504	2
52	enc	enc37	old03	8	3	808	0	315.504	318.504	0.5
53	ctl	ctl13	nan	6	3	630	0	319.003	322.003	1
54	ctl	ctl14	nan	6	3	685	0	323.003	326.003	2.5
55	ctl	ctl15	nan	6	3	491	0	328.503	331.502	6.5
56	ctl	ctl16	nan	9	3	661	0	338.002	341.001	9.5
57	enc	enc38	old51	6	3	786	0	350.501	353.5	3
58	enc	enc39	old58	6	3	1259	0	356.5	359.5	3
59	enc	enc40	old60	5	3	1161	0	362.5	365.499	1
60	enc	enc41	old68	6	3	691	0	366.499	369.499	2
61	enc	enc42	old55	9	3	988	0	371.499	374.498	1
62	enc	enc43	old25	8	3	1637	0	375.498	378.498	0.5
63	enc	enc44	old39	9	3	1271	0	378.998	381.998	2.5
64	enc	enc45	old21	8	3	1386	0	384.498	387.497	8.5
65	enc	enc46	old33	9	3	846	0	395.997	398.996	5.5
66	enc	enc47	old35	6	3	723	0	404.496	407.496	2
67	enc	enc48	old08	6	3	838	0	409.495	412.495	6
68	enc	enc49	old44	8	3	952	0	418.495	421.494	6
69	enc	enc50	old46	9	3	856	0	427.494	430.493	1.5
70	enc	enc51	old01	6	3	803	0	431.993	434.993	2
71	ctl	ctl17	nan	8	3	824	0	436.993	439.993	1.5
72	enc	enc52	old52	5	3	883	0	441.492	444.492	4
73	ctl	ctl18	nan	9	3	705	0	448.492	451.492	0.5
74	ctl	ctl19	nan	8	3	661	0	451.992	454.991	6
75	ctl	ctl20	nan	5	3	800	0	460.991	463.99	0.5
76	enc	enc53	old62	9	3	872	0	464.49	467.49	2.5
77	enc	enc54	old48	8	3	1137	0	469.99	472.99	1.5
78	enc	enc55	old54	8	3	858	0	474.49	477.489	2.5
79	enc	enc56	old37	6	3	971	0	479.989	482.989	5.5
80	ctl	ctl21	nan	5	3	771	0	488.488	491.488	4.5
81	enc	enc57	old65	9	3	844	0	495.988	498.987	2.5
82	ctl	ctl22	nan	8	3	544	0	501.487	504.487	6.5
83	enc	enc58	old76	9	3	721	0	510.986	513.986	6.5
84	ctl	ctl23	nan	9	3	575	0	520.485	523.485	1.5
85	ctl	ctl24	nan	8	3	608	0	524.985	527.985	4.5
86	ctl	ctl25	nan	9	3	497	0	532.484	535.484	1.5
87	ctl	ctl26	nan	5	3	508	0	536.984	539.984	0.5
88	enc	enc59	old61	5	3	1038	0	540.484	543.483	10.5
89	ctl	ctl27	nan	6	3	835	0	553.982	556.982	4.5
90	ctl	ctl28	nan	6	3	574	0	561.482	564.481	2
91	enc	enc60	old56	8	3	905	0	566.481	569.481	1.5
92	ctl	ctl29	nan	9	3	784	0	570.981	573.981	12.5
93	enc	enc61	old13	8	3	764	0	586.48	589.479	2
94	enc	enc62	old29	5	3	659	0	591.479	594.479	1
95	enc	enc63	old71	8	3	924	0	595.479	598.478	4
96	ctl	ctl30	nan	8	3	741	0	602.478	605.478	0.5
97	enc	enc64	old69	9	3	771	0	605.978	608.978	4
98	enc	enc65	old78	8	3	995	0	612.977	615.977	3.5
99	enc	enc66	old72	8	3	652	0	619.477	622.476	1
100	ctl	ctl31	nan	8	3	648	0	623.476	626.476	0.5
101	ctl	ctl32	nan	5	3	631	0	626.976	629.976	2.5
102	enc	enc67	old10	5	3	795	0	632.475	635.475	0.5
103	ctl	ctl33	nan	9	3	604	0	635.975	638.975	9
104	ctl	ctl34	nan	9	3	487	0	647.974	650.974	2
105	ctl	ctl35	nan	6	3	702	0	652.974	655.973	0.5
106	enc	enc68	old12	9	3	1086	0	656.473	659.473	2
107	ctl	ctl36	nan	6	3	1049	0	661.473	664.473	4.5
108	ctl	ctl37	nan	5	3	680	0	668.972	671.972	4.5
109	ctl	ctl38	nan	6	3	639	0	676.471	679.471	3.5
110	enc	enc69	old28	5	3	928	0	682.971	685.971	1.5
111	enc	enc70	old49	9	3	1011	0	687.47	690.47	4.5
112	enc	enc71	old36	8	3	887	0	694.97	697.97	0.5
113	enc	enc72	old14	6	3	923	0	698.47	701.469	0.5
114	enc	enc73	old67	9	3	874	0	701.969	704.969	5
115	ctl	ctl39	nan	9	3	1086	0	709.968	712.968	4.5
116	enc	enc74	old40	5	3	1263	0	717.468	720.468	5.5
117	enc	enc75	old45	6	3	798	0	725.967	728.967	1
118	enc	enc76	old16	5	3	974	0	729.967	732.966	0.5
119	enc	enc77	old30	5	3	1021	0	733.466	736.466	13.5
120	enc	enc78	old23	8	3	1285	0			
