,trialnumber,category,trialcode,oldnumber,correctsource,stim_resp,stim_rt,stim_acc,onset,fix_onset,fix_duration
0,1,enc,enc00,,8,3,1640,0,0.076,3.076,4.5
1,2,enc,enc000,,9,3,2143,0,7.575,10.575,0.5
2,3,ctl,ctl0,,8,3,2758,0,11.075,14.075,0.5
3,4,enc,enc01,old54,6,3,1798,0,14.575,17.575,6.5
4,5,enc,enc02,old11,5,3,2526,0,24.074,27.074,2
5,6,enc,enc03,old16,6,3,1981,0,29.073,32.073,1.5
6,7,enc,enc04,old69,9,3,1053,0,33.573,36.573,1
7,8,enc,enc05,old53,8,3,1494,0,37.573,40.572,8.5
8,9,enc,enc06,old44,9,3,2737,0,49.072,52.071,2
9,10,enc,enc07,old36,8,3,1490,0,54.071,57.071,2.5
10,11,ctl,ctl01,,8,3,1879,0,59.571,62.57,1.5
11,12,ctl,ctl02,,5,3,1554,0,64.07,67.07,1.5
12,13,enc,enc08,old50,6,3,1079,0,68.57,71.569,0.5
13,14,ctl,ctl03,,6,3,1224,0,72.069,75.069,0.5
14,15,enc,enc09,old21,5,3,638,0,75.569,78.569,2
15,16,enc,enc10,old34,6,3,1486,0,80.569,83.568,1.5
16,17,ctl,ctl04,,8,3,1225,0,85.068,88.068,2
17,18,enc,enc11,old05,6,3,607,0,90.068,93.067,7.5
18,19,enc,enc12,old19,8,3,958,0,100.567,103.566,5
19,20,enc,enc13,old76,5,3,1431,0,108.566,111.566,1.5
20,21,enc,enc14,old23,9,,0,1,113.066,116.065,3
21,22,enc,enc15,old31,9,3,1209,0,119.065,122.065,1
22,23,enc,enc16,old39,5,3,24,0,123.065,126.064,1.5
23,24,enc,enc17,old22,5,3,778,0,127.564,130.564,8.5
24,25,enc,enc18,old13,5,3,878,0,139.063,142.063,2
25,26,ctl,ctl05,,8,3,1104,0,144.063,147.062,1
26,27,ctl,ctl06,,5,3,1239,0,148.062,151.062,1.5
27,28,enc,enc19,old52,8,3,1277,0,152.562,155.562,6.5
28,29,enc,enc20,old68,6,3,675,0,162.061,165.061,1.5
29,30,enc,enc21,old58,5,3,1328,0,166.561,169.56,6.5
30,31,ctl,ctl07,,5,3,982,0,176.06,179.059,3.5
31,32,enc,enc22,old72,6,3,992,0,182.559,185.559,8
32,33,enc,enc23,old07,5,3,1141,0,193.558,196.558,13
33,34,ctl,ctl08,,6,3,1128,0,209.557,212.556,1
34,35,enc,enc24,old09,8,3,1467,0,213.556,216.556,2.5
35,36,enc,enc25,old40,5,3,1397,0,219.056,222.055,1.5
36,37,enc,enc26,old62,9,3,1190,0,223.555,226.555,3.5
37,38,enc,enc27,old48,8,3,625,0,230.055,233.054,2
38,39,enc,enc28,old18,9,3,2011,0,235.054,238.054,3
39,40,enc,enc29,old29,8,3,659,0,241.054,244.053,7
40,41,enc,enc30,old65,6,3,998,0,251.053,254.052,1
41,42,ctl,ctl09,,9,3,1321,0,255.052,258.052,0.5
42,43,ctl,ctl10,,8,3,1010,0,258.552,261.552,1
43,44,enc,enc31,old01,9,3,912,0,262.552,265.551,0.5
44,45,enc,enc32,old75,6,3,1375,0,266.051,269.051,7
45,46,enc,enc33,old20,9,3,1508,0,276.05,279.05,4
46,47,enc,enc34,old17,6,3,1015,0,283.05,286.049,2
47,48,ctl,ctl11,,5,3,780,0,288.049,291.049,2.5
48,49,enc,enc35,old70,5,3,944,0,293.549,296.548,4.5
49,50,enc,enc36,old06,9,3,963,0,301.048,304.048,0.5
50,51,ctl,ctl12,,9,3,1329,0,304.548,307.547,3
51,52,enc,enc37,old04,8,3,872,0,310.547,313.547,2
52,53,ctl,ctl13,,6,3,660,0,315.547,318.546,0.5
53,54,ctl,ctl14,,6,3,1190,0,319.046,322.046,1
54,55,ctl,ctl15,,6,3,1541,0,323.046,326.046,2.5
55,56,ctl,ctl16,,9,3,1677,0,328.546,331.545,6.5
56,57,enc,enc38,old47,6,3,1354,0,338.045,341.044,9.5
57,58,enc,enc39,old57,6,3,1091,0,350.543,353.543,3
58,59,enc,enc40,old63,5,3,1102,0,356.543,359.543,3
59,60,enc,enc41,old71,6,3,691,0,362.542,365.542,1
60,61,enc,enc42,old59,9,3,1050,0,366.542,369.542,2
61,62,enc,enc43,old25,8,3,673,0,371.541,374.541,1
62,63,enc,enc44,old32,9,3,1076,0,375.541,378.541,0.5
63,64,enc,enc45,old26,8,3,1585,0,379.041,382.041,2.5
64,65,enc,enc46,old37,9,3,741,0,384.54,387.54,8.5
65,66,enc,enc47,old35,6,3,678,0,396.039,399.039,5.5
66,67,enc,enc48,old08,6,3,1060,0,404.538,407.538,2
67,68,enc,enc49,old41,8,3,795,0,409.538,412.538,6
68,69,enc,enc50,old45,9,3,915,0,418.537,421.537,6
69,70,enc,enc51,old02,6,3,1081,0,427.536,430.536,1.5
70,71,ctl,ctl17,,8,3,937,0,432.036,435.036,2
71,72,enc,enc52,old43,5,3,30,0,437.035,440.035,1.5
72,73,ctl,ctl18,,9,3,1351,0,441.535,444.535,4
73,74,ctl,ctl19,,8,3,1181,0,448.534,451.534,0.5
74,75,ctl,ctl20,,5,3,848,0,452.034,455.034,6
75,76,enc,enc53,old55,9,3,785,0,461.033,464.033,0.5
76,77,enc,enc54,old46,8,3,1238,0,464.533,467.533,2.5
77,78,enc,enc55,old64,8,3,2005,0,470.032,473.032,1.5
78,79,enc,enc56,old27,6,3,1183,0,474.532,477.532,2.5
79,80,ctl,ctl21,,5,3,1637,0,480.031,483.031,5.5
80,81,enc,enc57,old56,9,3,2562,0,488.531,491.53,4.5
81,82,ctl,ctl22,,8,3,699,0,496.03,499.03,2.5
82,83,enc,enc58,old67,9,3,946,0,501.529,504.529,6.5
83,84,ctl,ctl23,,9,3,660,0,511.028,514.028,6.5
84,85,ctl,ctl24,,8,3,761,0,520.528,523.527,1.5
85,86,ctl,ctl25,,9,3,921,0,525.027,528.027,4.5
86,87,ctl,ctl26,,5,3,1158,0,532.526,535.526,1.5
87,88,enc,enc59,old60,5,3,2557,0,537.026,540.026,0.5
88,89,ctl,ctl27,,6,3,2486,0,540.526,543.525,10.5
89,90,ctl,ctl28,,6,3,972,0,554.024,557.024,4.5
90,91,enc,enc60,old61,8,3,1175,0,561.524,564.523,2
91,92,ctl,ctl29,,9,3,1262,0,566.523,569.523,1.5
92,93,enc,enc61,old03,8,3,1156,0,571.023,574.023,12.5
93,94,enc,enc62,old33,5,3,1059,0,586.521,589.521,2
94,95,enc,enc63,old78,8,3,982,0,591.521,594.521,1
95,96,ctl,ctl30,,8,3,732,0,595.521,598.52,4
96,97,enc,enc64,old66,9,3,1828,0,602.52,605.52,0.5
97,98,enc,enc65,old74,8,3,1388,0,606.02,609.019,4
98,99,enc,enc66,old77,8,3,1206,0,613.019,616.019,3.5
99,100,ctl,ctl31,,8,3,1166,0,619.518,622.518,1
100,101,ctl,ctl32,,5,3,1060,0,623.518,626.518,0.5
101,102,enc,enc67,old12,5,3,1034,0,627.018,630.017,2.5
102,103,ctl,ctl33,,9,3,1844,0,632.517,635.517,0.5
103,104,ctl,ctl34,,9,3,1310,0,636.017,639.017,9
104,105,ctl,ctl35,,6,3,1952,0,648.016,651.015,2
