trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	onset	fix_onset	fix_duration
1	enc	enc00	nan	5	2	747	0	10.062	13.062	4.5
2	enc	enc000	nan	9	2	616	0	17.561	20.561	4.5
3	ctl	ctl0	nan	9	2	550	0	25.061	28.06	0.5
4	enc	enc01	old57	8	2	605	0	28.56	31.56	0.5
5	ctl	ctl01	nan	6	2	760	0	32.06	35.06	4.5
6	enc	enc02	old06	5	2	714	0	39.56	42.559	2
7	enc	enc03	old61	5	2	636	0	44.559	47.559	3.5
8	ctl	ctl02	nan	5	2	561	0	51.059	54.058	1.5
9	ctl	ctl03	nan	6	2	564	0	55.558	58.558	2.5
10	enc	enc04	old77	6	2	600	0	61.058	64.058	1
11	enc	enc05	old78	5	2	535	0	65.058	68.057	3
12	ctl	ctl04	nan	6	2	692	0	71.057	74.057	4
13	enc	enc06	old47	9	2	666	0	78.057	81.056	0.5
14	ctl	ctl05	nan	9	2	627	0	81.556	84.556	2.5
15	enc	enc07	old56	6	2	1057	0	87.056	90.056	2.5
16	ctl	ctl06	nan	9	2	684	0	92.555	95.555	3.5
17	ctl	ctl07	nan	5	2	552	0	99.055	102.055	1
18	enc	enc08	old05	8	2	740	0	103.055	106.054	2
19	enc	enc09	old67	9	2	788	0	108.054	111.054	0.5
20	enc	enc10	old03	5	2	728	0	111.554	114.554	4.5
21	enc	enc11	old27	9	2	812	0	119.053	122.053	7
22	enc	enc12	old35	5	2	940	0	129.053	132.052	0.5
23	enc	enc13	old45	8	2	652	0	132.552	135.552	2
24	enc	enc14	old46	8	2	959	0	137.552	140.552	1
25	enc	enc15	old50	9	2	783	0	141.552	144.551	1
26	enc	enc16	old44	8	2	954	0	145.551	148.551	3.5
27	enc	enc17	old01	5	2	805	0	152.051	155.051	1
28	ctl	ctl08	nan	8	2	685	0	156.05	159.05	2
29	enc	enc18	old38	8	2	740	0	161.05	164.05	0.5
30	enc	enc19	old14	8	2	752	0	164.55	167.55	3.5
31	enc	enc20	old20	5	2	745	0	171.049	174.049	7
32	ctl	ctl09	nan	8	2	640	0	181.049	184.048	2.5
33	enc	enc21	old51	9	2	587	0	186.548	189.548	5
