trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	stim_onset	fix_onset	duration
100	enc	enc64	old11	9	1	522	0	621.339	624.348	2.5
101	enc	enc65	old65	9	1	449	0	626.839	629.848	9.5
102	enc	enc66	old68	5	1	421	0	639.343	642.352	0.5
103	enc	enc67	old53	8	1	517	0	642.853	645.862	1
104	ctl	ctl34	nan	8	1	479	0	646.848	649.857	3
105	enc	enc68	old38	6	1	459	0	652.85	655.859	1
106	enc	enc69	old10	6	1	377	0	656.862	659.871	2
107	ctl	ctl35	nan	8	1	493	0	661.86	664.869	0.5
108	ctl	ctl36	nan	6	1	439	0	665.37	668.379	2
109	enc	enc70	old63	5	1	553	0	670.368	673.377	8.5
110	ctl	ctl37	nan	5	1	491	0	681.869	684.878	1.5
111	enc	enc71	old47	6	1	485	0	686.366	689.375	1
112	enc	enc72	old07	8	1	540	0	690.361	693.37	1
113	enc	enc73	old51	9	1	489	0	694.357	697.366	4
114	enc	enc74	old23	8	1	485	0	701.361	704.37	9.5
115	enc	enc75	old76	9	1	473	0	713.865	716.874	4.5
116	ctl	ctl38	nan	8	1	448	0	721.371	724.38	0.5
117	ctl	ctl39	nan	9	1	494	0	724.881	727.89	4
118	enc	enc76	old58	6	1	496	0	731.885	734.894	1
119	enc	enc77	old29	5	1	468	0	735.881	738.889	11.5
120	enc	enc78	old24	6	1	480	0			
