trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	onset	fix_onset	fix_duration
1	enc	enc00	nan	8	1	2480	0	7.586	10.595	0.5
2	enc	enc000	nan	9	1	1510	0	11.096	14.105	0.5
3	ctl	ctl0	nan	8	1	1911	0	14.607	17.616	6.5
4	enc	enc01	old53	6	1	1568	0	24.118	27.127	2
5	enc	enc02	old02	5	1	1505	0	29.117	32.126	1.5
6	enc	enc03	old20	6	1	1322	0	33.613	36.622	1
7	enc	enc04	old78	9	1	1114	0	37.609	40.618	8.5
8	enc	enc05	old56	8	1	1518	0	49.11	52.118	2
9	enc	enc06	old51	9	1	1296	0	54.108	57.117	2.5
10	enc	enc07	old30	8	1	1386	0	59.607	62.616	1.5
11	ctl	ctl01	nan	8	1	831	0	64.104	67.113	1.5
12	ctl	ctl02	nan	5	1	678	0	68.601	71.61	0.5
13	enc	enc08	old45	6	1	1116	0	72.111	75.12	0.5
14	ctl	ctl03	nan	6	1	1326	0	75.622	78.631	2
15	enc	enc09	old19	5	1	2679	0	80.62	83.629	1.5
16	enc	enc10	old36	6	1	1409	0	85.117	88.126	2
17	ctl	ctl04	nan	8	1	656	0	90.115	93.124	7.5
18	enc	enc11	old13	6	1	1026	0	100.613	103.622	5
19	enc	enc12	old16	8	1	1215	0	108.62	111.629	1.5
20	enc	enc13	old69	5	1	1360	0	113.117	116.126	3
21	enc	enc14	old21	9	1	1623	0	119.118	122.127	1
22	enc	enc15	old34	9	1	2102	0	123.13	126.139	1.5
23	enc	enc16	old31	5	1	2074	0	127.627	130.636	8.5
24	enc	enc17	old17	5	1	1728	0	139.128	142.137	2
25	enc	enc18	old11	5	1	2587	0	144.126	147.135	1
26	ctl	ctl05	nan	8	1	917	0	148.138	151.147	1.5
27	ctl	ctl06	nan	5	1	617	0	152.635	155.644	6.5
28	enc	enc19	old42	8	nan	0	1	162.146	165.155	1.5
29	enc	enc20	old67	6	1	1352	0	166.643	169.652	6.5
30	enc	enc21	old55	5	1	1599	0	176.155	179.164	3.5
31	ctl	ctl07	nan	5	1	991	0	182.657	185.666	8
32	enc	enc22	old70	6	1	1241	0	193.657	196.666	13
33	enc	enc23	old04	5	1	1384	0	209.654	212.663	1
34	ctl	ctl08	nan	6	1	851	0	213.65	216.659	2.5
35	enc	enc24	old06	8	1	1678	0	219.149	222.158	1.5
36	enc	enc25	old41	5	1	1475	0	223.646	226.655	3.5
37	enc	enc26	old65	9	1	1250	0	230.149	233.158	2
38	enc	enc27	old44	8	1	1763	0	235.147	238.156	3
39	enc	enc28	old14	9	1	1293	0	241.148	244.157	7
40	enc	enc29	old39	8	1	1420	0	251.145	254.154	1
41	enc	enc30	old64	6	1	1662	0	255.157	258.166	0.5
42	ctl	ctl09	nan	9	1	874	0	258.667	261.676	1
43	ctl	ctl10	nan	8	1	852	0	262.662	265.671	0.5
44	enc	enc31	old08	9	1	1481	0	266.173	269.182	7
45	enc	enc32	old74	6	1	1386	0	276.169	279.178	4
46	enc	enc33	old18	9	1	1245	0	283.173	286.182	2
47	enc	enc34	old25	6	1	1769	0	288.172	291.181	2.5
48	ctl	ctl11	nan	5	1	794	0	293.671	296.68	4.5
49	enc	enc35	old72	5	1	1439	0	301.177	304.186	0.5
50	enc	enc36	old10	9	1	1277	0	304.688	307.697	3
51	ctl	ctl12	nan	9	1	973	0	310.689	313.698	2
52	enc	enc37	old09	8	1	1900	0	315.687	318.696	0.5
53	ctl	ctl13	nan	6	1	750	0	319.197	322.206	1
54	ctl	ctl14	nan	6	1	744	0	323.193	326.202	2.5
55	ctl	ctl15	nan	6	1	764	0	328.692	331.701	6.5
56	ctl	ctl16	nan	9	1	785	0	338.187	341.196	9.5
57	enc	enc38	old52	6	1	1049	0	350.691	353.7	3
58	enc	enc39	old59	6	1	1193	0	356.693	359.701	3
59	enc	enc40	old58	5	1	1415	0	362.694	365.703	1
60	enc	enc41	old77	6	1	1357	0	366.706	369.715	2
61	enc	enc42	old61	9	1	1609	0	371.704	374.713	1
62	enc	enc43	old23	8	1	1787	0	375.716	378.725	0.5
