trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	onset	fix_onset	fix_duration
1	ctl	ctl0	nan	5	2	2108	0	4.563	7.562	0.5
2	enc	enc00	nan	8	2	1653	0	8.062	11.062	0.5
3	enc	enc000	nan	9	2	942	0	11.562	14.562	5.5
4	ctl	ctl01	nan	8	2	957	0	20.061	23.061	0.5
5	enc	enc01	old56	6	2	1180	0	23.561	26.561	1
6	enc	enc02	old01	5	2	1042	0	27.56	30.56	1
7	enc	enc03	old22	6	2	1049	0	31.56	34.56	1.5
8	enc	enc04	old67	9	2	986	0	36.06	39.059	2
9	enc	enc05	old61	8	2	981	0	41.059	44.059	3
10	enc	enc06	old46	9	2	830	0	47.059	50.058	0.5
11	ctl	ctl02	nan	5	2	762	0	50.558	53.558	4
12	ctl	ctl03	nan	6	2	699	0	57.558	60.558	2.5
13	enc	enc07	old28	8	2	1001	0	63.057	66.057	1.5
14	ctl	ctl04	nan	8	2	867	0	67.557	70.557	2
15	enc	enc08	old48	6	2	799	0	72.556	75.556	3.5
16	enc	enc09	old15	5	2	826	0	79.056	82.056	0.5
17	ctl	ctl05	nan	8	2	621	0	82.556	85.555	2.5
18	enc	enc10	old39	6	2	1313	0	88.055	91.055	0.5
19	enc	enc11	old07	6	2	889	0	91.555	94.555	1
20	enc	enc12	old21	8	2	1353	0	95.554	98.554	1.5
21	enc	enc13	old68	5	2	946	0	100.054	103.054	2.5
22	enc	enc14	old26	9	2	933	0	105.554	108.553	3
23	enc	enc15	old35	9	2	794	0	111.553	114.553	1
24	enc	enc16	old34	5	2	853	0	115.553	118.552	1.5
25	enc	enc17	old25	5	2	2072	0	120.052	123.052	1.5
26	ctl	ctl06	nan	5	2	899	0	124.552	127.552	1
27	enc	enc18	old03	5	2	745	0	128.551	131.551	2.5
28	enc	enc19	old41	8	2	865	0	134.051	137.051	2.5
29	ctl	ctl07	nan	5	2	734	0	139.55	142.55	0.5
30	enc	enc20	old77	6	2	861	0	143.05	146.05	5.5
31	enc	enc21	old60	5	2	997	0	151.549	154.549	5.5
32	enc	enc22	old73	6	2	832	0	160.049	163.048	2
33	enc	enc23	old08	5	2	874	0	165.048	168.048	1
34	enc	enc24	old06	8	2	607	0	169.048	172.048	3
35	enc	enc25	old51	5	2	985	0	175.047	178.047	3.5
36	enc	enc26	old54	9	2	1090	0	181.547	184.546	0.5
37	ctl	ctl08	nan	6	2	737	0	185.046	188.046	1.5
38	ctl	ctl09	nan	9	2	671	0	189.546	192.546	9.5
39	ctl	ctl10	nan	8	2	555	0	202.045	205.045	2
40	ctl	ctl11	nan	5	2	621	0	207.044	210.044	2
41	enc	enc27	old40	8	2	995	0	212.044	215.044	1
42	ctl	ctl12	nan	9	2	540	0	216.044	219.043	0.5
43	enc	enc28	old17	9	2	1021	0	219.543	222.543	0.5
44	ctl	ctl13	nan	6	2	2183	0	223.043	226.043	2
45	enc	enc29	old33	8	2	1032	0	228.043	231.042	4.5
46	enc	enc30	old58	6	2	866	0	235.542	238.542	3.5
47	enc	enc31	old10	9	2	670	0	242.041	245.041	8
48	enc	enc32	old70	6	2	569	0	253.04	256.04	9
49	enc	enc33	old24	9	2	1122	0	265.039	268.039	0.5
50	enc	enc34	old20	6	2	1153	0	268.539	271.539	2.5
51	ctl	ctl14	nan	6	2	750	0	274.038	277.038	8.5
52	enc	enc35	old66	5	2	1279	0	285.537	288.537	0.5
53	enc	enc36	old13	9	2	824	0	289.037	292.037	5.5
54	enc	enc37	old02	8	2	962	0	297.536	300.536	3
55	enc	enc38	old52	6	2	784	0	303.536	306.536	4
56	ctl	ctl15	nan	6	2	672	0	310.535	313.535	6.5
57	ctl	ctl16	nan	9	2	608	0	320.034	323.034	0.5
58	enc	enc39	old62	6	2	1230	0	323.534	326.534	11.5
59	enc	enc40	old65	5	2	1099	0	338.033	341.032	9.5
60	enc	enc41	old76	6	2	932	0	350.532	353.531	1
61	ctl	ctl17	nan	8	2	967	0	354.531	357.531	5.5
62	enc	enc42	old63	9	2	1102	0	363.03	366.03	1.5
63	enc	enc43	old23	8	2	766	0	367.53	370.53	1
64	enc	enc44	old30	9	2	1063	0	371.53	374.529	2
65	ctl	ctl18	nan	9	2	761	0	376.529	379.529	3.5
66	enc	enc45	old19	8	2	911	0	383.029	386.028	1.5
67	enc	enc46	old27	9	2	797	0	387.528	390.528	0.5
68	ctl	ctl19	nan	8	2	542	0	391.028	394.028	2.5
69	ctl	ctl20	nan	5	2	499	0	396.527	399.527	0.5
70	ctl	ctl21	nan	5	2	433	0	400.027	403.027	2.5
71	ctl	ctl22	nan	8	2	531	0	405.527	408.526	2
72	ctl	ctl23	nan	9	2	692	0	410.526	413.526	11
73	ctl	ctl24	nan	8	2	532	0	424.525	427.525	1
74	enc	enc47	old38	6	2	800	0	428.525	431.524	1.5
75	enc	enc48	old12	6	2	917	0	433.024	436.024	0.5
76	enc	enc49	old50	8	2	1019	0	436.524	439.524	0.5
77	enc	enc50	old47	9	2	989	0	440.024	443.023	2
78	enc	enc51	old11	6	2	870	0	445.023	448.023	1
79	ctl	ctl25	nan	9	2	1233	0	449.023	452.023	2
80	ctl	ctl26	nan	5	2	551	0	454.022	457.022	4
81	enc	enc52	old42	5	2	481	0	461.022	464.021	4.5
82	enc	enc53	old53	9	2	888	0	468.521	471.521	8.5
83	enc	enc54	old45	8	2	864	0	480.02	483.02	1
84	enc	enc55	old55	8	2	846	0	484.02	487.019	6
85	ctl	ctl27	nan	6	2	879	0	493.019	496.019	1.5
86	enc	enc56	old31	6	2	1052	0	497.518	500.518	13
87	ctl	ctl28	nan	6	2	678	0	513.517	516.517	1.5
88	enc	enc57	old57	9	2	939	0	518.017	521.016	1.5
89	enc	enc58	old75	9	2	846	0	522.516	525.516	7.5
90	enc	enc59	old59	5	2	2400	0	533.015	536.015	1.5
91	ctl	ctl29	nan	9	2	943	0	537.515	540.515	3.5
92	enc	enc60	old64	8	2	1129	0	544.014	547.014	1
93	ctl	ctl30	nan	8	2	964	0	548.014	551.014	1.5
94	enc	enc61	old05	8	2	990	0	552.514	555.513	3.5
95	ctl	ctl31	nan	8	2	730	0	559.013	562.013	4.5
96	enc	enc62	old32	5	2	858	0	566.512	569.512	3
97	ctl	ctl32	nan	5	2	718	0	572.512	575.511	0.5
98	enc	enc63	old74	8	2	784	0	576.011	579.011	8
99	enc	enc64	old78	9	2	1290	0	587.011	590.01	5
100	ctl	ctl33	nan	9	2	842	0	595.01	598.009	0.5
101	ctl	ctl34	nan	9	2	631	0	598.509	601.509	1
102	enc	enc65	old72	8	2	1461	0	602.509	605.509	11.5
103	enc	enc66	old69	8	2	1020	0	617.008	620.008	2.5
104	ctl	ctl35	nan	6	2	782	0	622.507	625.507	2
105	enc	enc67	old09	5	2	943	0	627.507	630.507	0.5
106	enc	enc68	old04	9	2	802	0	631.006	634.006	1
107	enc	enc69	old29	5	2	1096	0	635.006	638.006	1
108	enc	enc70	old44	9	2	1510	0	639.006	642.006	0.5
109	enc	enc71	old37	8	2	1080	0	642.505	645.505	7.5
110	ctl	ctl36	nan	6	2	841	0	653.005	656.004	15
111	enc	enc72	old18	6	2	729	0	671.003	674.003	0.5
112	enc	enc73	old71	9	2	983	0	674.503	677.502	1
113	ctl	ctl37	nan	5	2	824	0	678.502	681.502	0.5
114	ctl	ctl38	nan	6	2	604	0	682.002	685.002	9
115	enc	enc74	old49	5	2	961	0	694.001	697.001	6
116	enc	enc75	old43	6	2	976	0	703	706	10.5
117	ctl	ctl39	nan	9	2	785	0	716.499	719.499	5
118	enc	enc76	old14	5	2	697	0	724.498	727.498	1
119	enc	enc77	old36	5	2	862	0	728.498	731.498	18.5
120	enc	enc78	old16	8	2	725	0			
