,trialnumber,category,trialcode,oldnumber,correctsource,stim_resp,stim_rt,stim_acc,onset,fix_onset,fix_duration
0,1,enc,enc00,,5,,0,1,0.075,3.075,7
1,2,enc,enc000,,9,,0,1,10.074,13.074,4.5
2,3,ctl,ctl0,,9,,0,1,17.574,20.574,4.5
3,4,enc,enc01,old58,8,,0,1,25.073,28.073,0.5
4,5,ctl,ctl01,,6,,0,1,28.573,31.573,0.5
5,6,enc,enc02,old02,5,,0,1,32.073,35.072,4.5
6,7,enc,enc03,old54,5,,0,1,39.572,42.572,2
7,8,ctl,ctl02,,5,,0,1,44.572,47.572,3.5
8,9,ctl,ctl03,,6,,0,1,51.071,54.071,1.5
9,10,enc,enc04,old69,6,,0,1,55.571,58.571,2.5
10,11,enc,enc05,old71,5,,0,1,61.07,64.07,1
11,12,ctl,ctl04,,6,,0,1,65.07,68.07,3
12,13,enc,enc06,old48,9,,0,1,71.07,74.069,4
13,14,ctl,ctl05,,9,,0,1,78.069,81.069,0.5
14,15,enc,enc07,old64,6,,0,1,81.569,84.569,2.5
15,16,ctl,ctl06,,9,,0,1,87.068,90.068,2.5
16,17,ctl,ctl07,,5,,0,1,92.568,95.568,3.5
17,18,enc,enc08,old06,8,,0,1,99.067,102.067,1
18,19,enc,enc09,old75,9,,0,1,103.067,106.067,2
19,20,enc,enc10,old08,5,,0,1,108.067,111.067,0.5
20,21,enc,enc11,old33,9,,0,1,111.567,114.566,4.5
21,22,enc,enc12,old37,5,,0,1,119.066,122.066,7
22,23,enc,enc13,old49,8,,0,1,129.065,132.065,0.5
23,24,enc,enc14,old51,8,,0,1,132.565,135.565,2
24,25,enc,enc15,old42,9,,0,1,137.564,140.564,1
25,26,enc,enc16,old41,8,,0,1,141.564,144.564,1
26,27,enc,enc17,old13,5,,0,1,145.564,148.564,3.5
27,28,ctl,ctl08,,8,,0,1,152.063,155.063,1
28,29,enc,enc18,old31,8,,0,1,156.063,159.063,2
29,30,enc,enc19,old25,8,,0,1,161.063,164.062,0.5
30,31,enc,enc20,old22,5,,0,1,164.562,167.562,3.5
31,32,ctl,ctl09,,8,,0,1,171.062,174.062,7
32,33,enc,enc21,old44,9,,0,1,181.061,184.061,2.5
33,34,enc,enc22,old15,9,,0,1,186.561,189.56,5
34,35,enc,enc23,old03,6,,0,1,194.56,197.56,1
35,36,enc,enc24,old16,8,,0,1,198.56,201.559,10
36,37,enc,enc25,old78,8,,0,1,211.559,214.558,1.5
37,38,enc,enc26,old24,9,,0,1,216.058,219.058,0.5
38,39,enc,enc27,old72,5,,0,1,219.558,222.558,2.5
39,40,enc,enc28,old28,6,,0,1,225.058,228.057,3.5
40,41,ctl,ctl10,,9,,0,1,231.557,234.557,1
41,42,ctl,ctl11,,6,,0,1,235.557,238.557,0.5
42,43,ctl,ctl12,,6,,0,1,239.057,242.056,1.5
43,44,ctl,ctl13,,5,,0,1,243.556,246.556,7
44,45,enc,enc29,old68,9,,0,1,253.555,256.555,7
45,46,enc,enc30,old76,8,,0,1,263.555,266.554,2
