trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	stim_onset	fix_onset	duration
1	ctl	ctl0	nan	9	1	1631	0	5.04	8.04	3
2	enc	enc00	nan	5	3	2467	0	11.04	14.04	2
3	enc	enc000	nan	9	3	1461	0	16.04	19.039	1
4	ctl	ctl01	nan	6	1	919	0	20.039	23.039	8
5	enc	enc01	old55	8	1	1039	0	31.038	34.038	7.5
6	enc	enc02	old12	5	1	880	0	41.537	44.537	0.5
7	enc	enc03	old65	5	1	799	0	45.037	48.037	6
8	enc	enc04	old50	6	3	2463	0	54.036	57.036	2
9	enc	enc05	old48	5	3	964	0	59.036	62.036	2
10	enc	enc06	old72	9	3	964	0	64.035	67.035	4
11	ctl	ctl02	nan	5	3	964	0	71.035	74.034	2.5
12	ctl	ctl03	nan	6	1	892	0	76.534	79.534	1.5
13	ctl	ctl04	nan	6	3	965	0	81.034	84.034	5
14	ctl	ctl05	nan	9	1	978	0	89.033	92.033	1
15	enc	enc07	old57	6	3	965	0	93.033	96.033	3
16	enc	enc08	old11	8	1	1903	0	99.032	102.032	3
17	ctl	ctl06	nan	9	1	884	0	105.032	108.032	2.5
18	enc	enc09	old42	9	1	899	0	110.531	113.531	6.5
19	enc	enc10	old07	5	1	1087	0	120.031	123.03	2.5
20	enc	enc11	old32	9	1	1035	0	125.53	128.53	2
21	enc	enc12	old35	5	1	865	0	130.53	133.529	4.5
22	enc	enc13	old73	8	1	1325	0	138.029	141.029	4.5
23	enc	enc14	old77	8	1	1699	0	145.528	148.528	2.5
24	enc	enc15	old78	9	3	1968	0	151.028	154.028	1
25	enc	enc16	old76	8	3	1468	0	155.027	158.027	1.5
26	enc	enc17	old08	5	1	1049	0	159.527	162.527	4
27	ctl	ctl07	nan	5	3	469	0	166.526	169.526	3
28	ctl	ctl08	nan	8	3	970	0	172.526	175.526	1
29	enc	enc18	old27	8	1	1389	0	176.526	179.525	1
30	enc	enc19	old24	8	1	970	0	180.525	183.525	0.5
31	enc	enc20	old19	5	1	981	0	184.025	187.025	3.5
32	enc	enc21	old69	9	3	970	0	190.524	193.524	4.5
33	enc	enc22	old20	9	3	1971	0	198.024	201.023	9.5
34	ctl	ctl09	nan	8	1	1458	0	210.523	213.522	3.5
35	enc	enc23	old05	6	1	1417	0	217.022	220.022	4
36	ctl	ctl10	nan	9	3	471	0	224.021	227.021	4
37	enc	enc24	old25	8	3	972	0	231.021	234.021	1
38	enc	enc25	old40	8	3	1472	0	235.02	238.02	6
39	enc	enc26	old21	9	1	2032	0	244.02	247.019	6.5
40	enc	enc27	old51	5	3	973	0	253.519	256.519	2
41	enc	enc28	old38	6	1	1254	0	258.518	261.518	1.5
42	enc	enc29	old46	9	3	1474	0	263.018	266.018	2.5
43	enc	enc30	old47	8	1	1724	0	268.518	271.517	4.5
44	enc	enc31	old31	6	1	1394	0	276.017	279.017	0.5
