trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	stim_onset	fix_onset	fix_duration
1	ctl	ctl0	nan	5	1	1189	0	4.595	7.595	0.5
2	enc	enc00	nan	8	1	1208	0	8.095	11.095	0.5
3	enc	enc000	nan	9	1	1261	0	11.595	14.595	5.5
4	ctl	ctl01	nan	8	1	2781	0	20.094	23.094	0.5
5	enc	enc01	old63	6	1	1368	0	23.594	26.594	1
6	enc	enc02	old02	5	1	1687	0	27.594	30.593	1
7	enc	enc03	old17	6	1	1482	0	31.593	34.593	1.5
8	enc	enc04	old70	9	1	1541	0	36.093	39.093	2
9	enc	enc05	old57	8	1	1647	0	41.093	44.092	3
10	enc	enc06	old45	9	1	1193	0	47.092	50.092	0.5
11	ctl	ctl02	nan	5	1	1359	0	50.592	53.592	4
12	ctl	ctl03	nan	6	1	1129	0	57.591	60.591	2.5
13	enc	enc07	old38	8	1	1297	0	63.091	66.091	1.5
14	ctl	ctl04	nan	8	1	1181	0	67.59	70.59	2
15	enc	enc08	old48	6	1	2148	0	72.59	75.59	3.5
16	enc	enc09	old18	5	1	1709	0	79.09	82.089	0.5
17	ctl	ctl05	nan	8	1	1214	0	82.589	85.589	2.5
18	enc	enc10	old33	6	1	1177	0	88.089	91.089	0.5
19	enc	enc11	old03	6	1	1681	0	91.589	94.588	1
20	enc	enc12	old22	8	1	1330	0	95.588	98.588	1.5
21	enc	enc13	old75	5	1	1482	0	100.088	103.088	2.5
22	enc	enc14	old14	9	1	1194	0	105.587	108.587	3
23	enc	enc15	old29	9	1	1134	0	111.587	114.587	1
24	enc	enc16	old35	5	1	1640	0	115.587	118.586	1.5
25	enc	enc17	old20	5	1	1340	0	120.086	123.086	1.5
26	ctl	ctl06	nan	5	1	1077	0	124.586	127.586	1
27	enc	enc18	old09	5	1	1179	0	128.586	131.585	2.5
28	enc	enc19	old40	8	1	1346	0	134.085	137.085	2.5
29	ctl	ctl07	nan	5	1	1271	0	139.585	142.585	0.5
30	enc	enc20	old77	6	1	1422	0	143.085	146.084	5.5
31	enc	enc21	old62	5	1	1463	0	151.584	154.584	5.5
32	enc	enc22	old66	6	1	2284	0	160.083	163.083	2
33	enc	enc23	old10	5	1	994	0	165.083	168.083	1
34	enc	enc24	old13	8	1	959	0	169.082	172.082	3
35	enc	enc25	old52	5	1	1033	0	175.082	178.082	3.5
36	enc	enc26	old59	9	1	1099	0	181.582	184.581	0.5
37	ctl	ctl08	nan	6	1	936	0	185.081	188.081	1.5
38	ctl	ctl09	nan	9	1	852	0	189.581	192.581	9.5
39	ctl	ctl10	nan	8	1	715	0	202.08	205.08	2
40	ctl	ctl11	nan	5	1	841	0	207.08	210.079	2
41	enc	enc27	old49	8	1	1041	0	212.079	215.079	1
42	ctl	ctl12	nan	9	1	919	0	216.079	219.079	0.5
43	enc	enc28	old24	9	1	1009	0	219.579	222.578	0.5
44	ctl	ctl13	nan	6	1	1124	0	223.078	226.078	2
45	enc	enc29	old32	8	1	939	0	228.078	231.078	4.5
46	enc	enc30	old53	6	1	1034	0	235.577	238.577	3.5
47	enc	enc31	old07	9	1	1545	0	242.077	245.077	8
48	enc	enc32	old73	6	1	1268	0	253.076	256.076	9
49	enc	enc33	old25	9	1	1430	0	265.075	268.075	0.5
50	enc	enc34	old19	6	1	1347	0	268.575	271.574	2.5
51	ctl	ctl14	nan	6	1	835	0	274.074	277.074	8.5
52	enc	enc35	old68	5	1	913	0	285.573	288.573	0.5
53	enc	enc36	old06	9	1	1169	0	289.073	292.073	5.5
54	enc	enc37	old11	8	1	1193	0	297.572	300.572	3
55	enc	enc38	old44	6	1	1063	0	303.572	306.572	4
56	ctl	ctl15	nan	6	1	1017	0	310.571	313.571	6.5
57	ctl	ctl16	nan	9	1	953	0	320.071	323.07	0.5
58	enc	enc39	old65	6	1	1090	0	323.57	326.57	11.5
59	enc	enc40	old64	5	1	2200	0	338.069	341.069	9.5
60	enc	enc41	old78	6	1	1150	0	350.568	353.568	1
61	ctl	ctl17	nan	8	1	1114	0	354.568	357.568	5.5
62	enc	enc42	old61	9	1	1047	0	363.067	366.067	1.5
63	enc	enc43	old21	8	1	1638	0	367.567	370.567	1
64	enc	enc44	old31	9	1	1662	0	371.567	374.566	2
65	ctl	ctl18	nan	9	1	1155	0	376.566	379.566	3.5
66	enc	enc45	old16	8	1	924	0	383.066	386.066	1.5
67	enc	enc46	old27	9	1	961	0	387.565	390.565	0.5
68	ctl	ctl19	nan	8	1	954	0	391.065	394.065	2.5
69	ctl	ctl20	nan	5	1	1028	0	396.565	399.564	0.5
70	ctl	ctl21	nan	5	1	790	0	400.064	403.064	2.5
71	ctl	ctl22	nan	8	1	1116	0	405.564	408.564	2
72	ctl	ctl23	nan	9	1	972	0	410.564	413.563	11
73	ctl	ctl24	nan	8	1	941	0	424.562	427.562	1
74	enc	enc47	old36	6	1	1187	0	428.562	431.562	1.5
75	enc	enc48	old12	6	1	999	0	433.062	436.062	0.5
76	enc	enc49	old41	8	1	1131	0	436.562	439.561	0.5
77	enc	enc50	old50	9	1	1285	0	440.061	443.061	2
78	enc	enc51	old08	6	1	1168	0	445.061	448.061	1
79	ctl	ctl25	nan	9	1	1176	0	449.061	452.06	2
80	ctl	ctl26	nan	5	1	1000	0	454.06	457.06	4
81	enc	enc52	old43	5	1	1064	0	461.06	464.059	4.5
82	enc	enc53	old55	9	1	1001	0	468.559	471.559	8.5
83	enc	enc54	old42	8	1	1475	0	480.058	483.058	1
84	enc	enc55	old58	8	1	1211	0	484.058	487.058	6
85	ctl	ctl27	nan	6	1	1332	0	493.057	496.057	1.5
86	enc	enc56	old34	6	1	1091	0	497.557	500.557	13
87	ctl	ctl28	nan	6	1	1264	0	513.556	516.555	1.5
88	enc	enc57	old54	9	1	1056	0	518.055	521.055	1.5
89	enc	enc58	old72	9	1	1127	0	522.555	525.555	7.5
90	enc	enc59	old60	5	1	1540	0	533.054	536.054	1.5
91	ctl	ctl29	nan	9	1	1151	0	537.554	540.553	3.5
92	enc	enc60	old56	8	1	1652	0	544.053	547.053	1
93	ctl	ctl30	nan	8	1	1175	0	548.053	551.053	1.5
94	enc	enc61	old05	8	1	1217	0	552.552	555.552	3.5
95	ctl	ctl31	nan	8	1	1013	0	559.052	562.052	4.5
96	enc	enc62	old37	5	1	1162	0	566.551	569.551	3
97	ctl	ctl32	nan	5	1	1175	0	572.551	575.551	0.5
98	enc	enc63	old74	8	1	1465	0	576.051	579.05	8
99	enc	enc64	old67	9	1	1205	0	587.05	590.05	5
100	ctl	ctl33	nan	9	1	923	0	595.049	598.049	0.5
101	ctl	ctl34	nan	9	1	856	0	598.549	601.549	1
102	enc	enc65	old71	8	1	1121	0	602.549	605.548	11.5
103	enc	enc66	old69	8	1	1169	0	617.047	620.047	2.5
104	ctl	ctl35	nan	6	1	1064	0	622.547	625.547	2
105	enc	enc67	old01	5	1	1028	0	627.547	630.546	0.5
106	enc	enc68	old04	9	1	1308	0	631.046	634.046	1
107	enc	enc69	old30	5	1	1473	0	635.046	638.046	1
108	enc	enc70	old46	9	1	1612	0	639.046	642.045	0.5
109	enc	enc71	old39	8	1	1649	0	642.545	645.545	7.5
110	ctl	ctl36	nan	6	nan	0	1	653.045	656.044	15
111	enc	enc72	old26	6	1	1280	0	671.043	674.043	0.5
112	enc	enc73	old76	9	1	1123	0	674.543	677.543	1
113	ctl	ctl37	nan	5	1	1731	0	678.543	681.542	0.5
114	ctl	ctl38	nan	6	1	1088	0	682.042	685.042	9
115	enc	enc74	old51	5	1	1044	0	694.041	697.041	6
116	enc	enc75	old47	6	1	1207	0	703.041	706.04	10.5
117	ctl	ctl39	nan	9	1	1258	0	716.54	719.539	5
118	enc	enc76	old23	5	1	2119	0	724.539	727.539	1
119	enc	enc77	old28	5	1	1454	0	728.539	731.538	18.5
120	enc	enc78	old15	8	1	1133	0			
