trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	stim_onset	fix_onset	fix_duration
1	ctl	ctl0	nan	5	nan	0	1	4.538	7.538	0.5
2	enc	enc00	nan	8	nan	0	1	8.037	11.037	0.5
3	enc	enc000	nan	9	nan	0	1	11.537	14.537	5.5
4	ctl	ctl01	nan	8	nan	0	1	20.036	23.036	0.5
5	enc	enc01	old64	6	nan	0	1	23.536	26.536	1
6	enc	enc02	old02	5	nan	0	1	27.536	30.536	1
7	enc	enc03	old17	6	nan	0	1	31.535	34.535	1.5
8	enc	enc04	old74	9	nan	0	1	36.035	39.035	2
9	enc	enc05	old55	8	nan	0	1	41.035	44.034	3
10	enc	enc06	old47	9	nan	0	1	47.034	50.034	0.5
11	ctl	ctl02	nan	5	nan	0	1	50.534	53.534	4
12	ctl	ctl03	nan	6	nan	0	1	57.533	60.533	2.5
13	enc	enc07	old38	8	nan	0	1	63.033	66.032	1.5
14	ctl	ctl04	nan	8	nan	0	1	67.532	70.532	2
15	enc	enc08	old50	6	nan	0	1	72.532	75.532	3.5
16	enc	enc09	old15	5	nan	0	1	79.031	82.031	0.5
17	ctl	ctl05	nan	8	nan	0	1	82.531	85.531	2.5
18	enc	enc10	old31	6	nan	0	1	88.031	91.03	0.5
19	enc	enc11	old06	6	nan	0	1	91.53	94.53	1
20	enc	enc12	old14	8	nan	0	1	95.53	98.53	1.5
21	enc	enc13	old68	5	nan	0	1	100.03	103.029	2.5
22	enc	enc14	old25	9	nan	0	1	105.529	108.529	3
23	enc	enc15	old30	9	nan	0	1	111.529	114.528	1
24	enc	enc16	old27	5	nan	0	1	115.528	118.528	1.5
25	enc	enc17	old18	5	nan	0	1	120.028	123.028	1.5
26	ctl	ctl06	nan	5	nan	0	1	124.527	127.527	1
27	enc	enc18	old11	5	nan	0	1	128.527	131.527	2.5
28	enc	enc19	old44	8	nan	0	1	134.027	137.026	2.5
29	ctl	ctl07	nan	5	nan	0	1	139.526	142.526	0.5
30	enc	enc20	old66	6	nan	0	1	143.026	146.026	5.5
31	enc	enc21	old63	5	nan	0	1	151.525	154.525	5.5
32	enc	enc22	old78	6	nan	0	1	160.024	163.024	2
33	enc	enc23	old07	5	nan	0	1	165.024	168.024	1
34	enc	enc24	old13	8	nan	0	1	169.024	172.023	3
35	enc	enc25	old42	5	nan	0	1	175.023	178.023	3.5
36	enc	enc26	old53	9	nan	0	1	181.523	184.522	0.5
37	ctl	ctl08	nan	6	nan	0	1	185.022	188.022	1.5
38	ctl	ctl09	nan	9	nan	0	1	189.522	192.522	9.5
39	ctl	ctl10	nan	8	nan	0	1	202.021	205.021	2
40	ctl	ctl11	nan	5	nan	0	1	207.02	210.02	2
41	enc	enc27	old40	8	nan	0	1	212.02	215.02	1
42	ctl	ctl12	nan	9	nan	0	1	216.02	219.019	0.5
43	enc	enc28	old23	9	nan	0	1	219.519	222.519	0.5
44	ctl	ctl13	nan	6	nan	0	1	223.019	226.019	2
45	enc	enc29	old28	8	nan	0	1	228.019	231.018	4.5
46	enc	enc30	old54	6	nan	0	1	235.518	238.518	3.5
47	enc	enc31	old03	9	nan	0	1	242.017	245.017	8
48	enc	enc32	old69	6	nan	0	1	253.016	256.016	9
49	enc	enc33	old26	9	nan	0	1	265.015	268.015	0.5
50	enc	enc34	old20	6	nan	0	1	268.515	271.515	2.5
51	ctl	ctl14	nan	6	nan	0	1	274.015	277.014	8.5
52	enc	enc35	old71	5	nan	0	1	285.514	288.513	0.5
53	enc	enc36	old10	9	nan	0	1	289.013	292.013	5.5
54	enc	enc37	old08	8	nan	0	1	297.513	300.512	3
55	enc	enc38	old49	6	nan	0	1	303.512	306.512	4
56	ctl	ctl15	nan	6	nan	0	1	310.512	313.511	6.5
57	ctl	ctl16	nan	9	nan	0	1	320.011	323.011	0.5
58	enc	enc39	old61	6	nan	0	1	323.51	326.51	11.5
59	enc	enc40	old65	5	nan	0	1	338.009	341.009	9.5
60	enc	enc41	old73	6	nan	0	1	350.508	353.508	1
61	ctl	ctl17	nan	8	nan	0	1	354.508	357.508	5.5
62	enc	enc42	old56	9	nan	0	1	363.007	366.007	1.5
63	enc	enc43	old21	8	nan	0	1	367.507	370.506	1
64	enc	enc44	old36	9	nan	0	1	371.506	374.506	2
65	ctl	ctl18	nan	9	nan	0	1	376.506	379.506	3.5
