trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	stim_onset	fix_onset	fix_duration
1	enc	enc00	nan	8	1	2261	0	7.581	10.59	0.5
2	enc	enc000	nan	9	1	1147	0	11.091	14.1	0.5
3	ctl	ctl0	nan	8	1	2869	0	14.602	17.61	6.5
4	enc	enc01	old54	6	1	1510	0	24.113	27.122	2
5	enc	enc02	old06	5	1	1694	0	29.111	32.12	1.5
6	enc	enc03	old23	6	nan	0	1	33.608	36.617	1
7	enc	enc04	old68	9	1	1279	0	37.62	40.629	8.5
8	enc	enc05	old58	8	1	1331	0	49.121	52.13	2
9	enc	enc06	old50	9	1	1181	0	54.119	57.128	2.5
10	enc	enc07	old33	8	1	1887	0	59.619	62.628	1.5
11	ctl	ctl01	nan	8	1	1459	0	64.115	67.124	1.5
12	ctl	ctl02	nan	5	1	947	0	68.612	71.621	0.5
13	enc	enc08	old47	6	1	1337	0	72.123	75.132	0.5
14	ctl	ctl03	nan	6	nan	0	1	75.633	78.642	2
15	enc	enc09	old21	5	1	1100	0	80.631	83.64	1.5
16	enc	enc10	old36	6	1	886	0	85.128	88.137	2
17	ctl	ctl04	nan	8	nan	0	1	90.126	93.135	7.5
18	enc	enc11	old01	6	1	711	0	100.624	103.633	5
19	enc	enc12	old19	8	1	644	0	108.631	111.64	1.5
20	enc	enc13	old74	5	1	1149	0	113.128	116.137	3
21	enc	enc14	old25	9	1	692	0	119.129	122.138	1
22	enc	enc15	old38	9	1	970	0	123.141	126.15	1.5
23	enc	enc16	old31	5	1	1286	0	127.638	130.647	8.5
24	enc	enc17	old15	5	1	949	0	139.138	142.147	2
25	enc	enc18	old08	5	1	665	0	144.137	147.146	1
26	ctl	ctl05	nan	8	1	929	0	148.149	151.158	1.5
27	ctl	ctl06	nan	5	1	685	0	152.645	155.654	6.5
28	enc	enc19	old51	8	1	573	0	162.157	165.166	1.5
29	enc	enc20	old69	6	1	725	0	166.654	169.663	6.5
30	enc	enc21	old61	5	1	804	0	176.165	179.174	3.5
31	ctl	ctl07	nan	5	1	572	0	182.668	185.677	8
32	enc	enc22	old78	6	1	629	0	193.667	196.676	13
33	enc	enc23	old13	5	1	629	0	209.665	212.674	1
34	ctl	ctl08	nan	6	1	823	0	213.677	216.686	2.5
35	enc	enc24	old02	8	1	723	0	219.176	222.185	1.5
36	enc	enc25	old42	5	1	712	0	223.673	226.682	3.5
37	enc	enc26	old63	9	1	1446	0	230.176	233.185	2
38	enc	enc27	old52	8	1	1087	0	235.174	238.183	3
39	enc	enc28	old16	9	1	1025	0	241.175	244.184	7
40	enc	enc29	old30	8	1	992	0	251.172	254.181	1
41	enc	enc30	old65	6	1	650	0	255.184	258.192	0.5
42	ctl	ctl09	nan	9	1	806	0	258.694	261.703	1
43	ctl	ctl10	nan	8	1	944	0	262.706	265.715	0.5
44	enc	enc31	old10	9	1	1052	0	266.216	269.225	7
45	enc	enc32	old76	6	1	854	0	276.213	279.222	4
46	enc	enc33	old24	9	1	944	0	283.217	286.226	2
47	enc	enc34	old22	6	1	1108	0	288.215	291.224	2.5
48	ctl	ctl11	nan	5	1	502	0	293.715	296.724	4.5
49	enc	enc35	old71	5	1	537	0	301.22	304.229	0.5
50	enc	enc36	old12	9	1	896	0	304.731	307.74	3
51	ctl	ctl12	nan	9	1	929	0	310.732	313.741	2
52	enc	enc37	old07	8	1	568	0	315.73	318.739	0.5
53	ctl	ctl13	nan	6	1	610	0	319.241	322.25	1
54	ctl	ctl14	nan	6	1	906	0	323.253	326.262	2.5
55	ctl	ctl15	nan	6	1	518	0	328.752	331.761	6.5
56	ctl	ctl16	nan	9	1	523	0	338.264	341.273	9.5
57	enc	enc38	old46	6	1	643	0	350.768	353.777	3
58	enc	enc39	old59	6	1	1178	0	356.769	359.778	3
59	enc	enc40	old60	5	1	953	0	362.77	365.779	1
60	enc	enc41	old75	6	1	1080	0	366.782	369.791	2
61	enc	enc42	old53	9	1	684	0	371.78	374.789	1
62	enc	enc43	old14	8	1	725	0	375.775	378.784	0.5
63	enc	enc44	old39	9	1	1042	0	379.286	382.295	2.5
64	enc	enc45	old20	8	1	795	0	384.786	387.794	8.5
65	enc	enc46	old34	9	1	783	0	396.286	399.295	5.5
66	enc	enc47	old35	6	1	1218	0	404.795	407.804	2
67	enc	enc48	old09	6	1	1253	0	409.793	412.802	6
68	enc	enc49	old40	8	1	1375	0	418.803	421.812	6
69	enc	enc50	old48	9	1	628	0	427.813	430.822	1.5
70	enc	enc51	old04	6	1	1050	0	432.31	435.319	2
71	ctl	ctl17	nan	8	1	641	0	437.308	440.317	1.5
72	enc	enc52	old44	5	1	595	0	441.805	444.814	4
73	ctl	ctl18	nan	9	1	666	0	448.809	451.818	0.5
74	ctl	ctl19	nan	8	1	661	0	452.32	455.329	6
75	ctl	ctl20	nan	5	1	694	0	461.33	464.339	0.5
76	enc	enc53	old56	9	1	1308	0	464.84	467.849	2.5
77	enc	enc54	old41	8	1	1134	0	470.34	473.349	1.5
78	enc	enc55	old62	8	1	785	0	474.837	477.846	2.5
79	enc	enc56	old27	6	1	648	0	480.336	483.345	5.5
80	ctl	ctl21	nan	5	1	637	0	488.845	491.854	4.5
81	enc	enc57	old64	9	1	1008	0	496.351	499.36	2.5
82	ctl	ctl22	nan	8	1	829	0	501.85	504.859	6.5
83	enc	enc58	old77	9	1	538	0	511.362	514.371	6.5
84	ctl	ctl23	nan	9	1	666	0	520.873	523.882	1.5
85	ctl	ctl24	nan	8	1	586	0	525.37	528.379	4.5
86	ctl	ctl25	nan	9	1	665	0	532.876	535.885	1.5
87	ctl	ctl26	nan	5	1	759	0	537.373	540.381	0.5
88	enc	enc59	old57	5	1	1278	0	540.883	543.892	10.5
89	ctl	ctl27	nan	6	1	760	0	554.39	557.399	4.5
90	ctl	ctl28	nan	6	1	764	0	561.895	564.904	2
91	enc	enc60	old55	8	1	867	0	566.894	569.903	1.5
92	ctl	ctl29	nan	9	1	628	0	571.39	574.399	12.5
93	enc	enc61	old03	8	1	667	0	586.886	589.895	2
94	enc	enc62	old28	5	1	1051	0	591.885	594.894	1
95	enc	enc63	old73	8	1	988	0	595.897	598.905	4
96	ctl	ctl30	nan	8	1	687	0	602.901	605.91	0.5
97	enc	enc64	old66	9	1	619	0	606.411	609.42	4
98	enc	enc65	old72	8	1	869	0	613.415	616.424	3.5
99	enc	enc66	old67	8	1	969	0	619.918	622.927	1
100	ctl	ctl31	nan	8	1	1057	0	623.93	626.939	0.5
101	ctl	ctl32	nan	5	1	525	0	627.44	630.449	2.5
102	enc	enc67	old05	5	1	1023	0	632.94	635.949	0.5
103	ctl	ctl33	nan	9	1	691	0	636.45	639.459	9
104	ctl	ctl34	nan	9	1	853	0	648.453	651.462	2
105	ctl	ctl35	nan	6	1	593	0	653.451	656.46	0.5
106	enc	enc68	old11	9	1	971	0	656.961	659.97	2
107	ctl	ctl36	nan	6	1	2669	0	661.96	664.969	4.5
108	ctl	ctl37	nan	5	1	598	0	669.465	672.474	4.5
109	ctl	ctl38	nan	6	1	556	0	676.971	679.98	3.5
110	enc	enc69	old32	5	1	842	0	683.474	686.483	1.5
111	enc	enc70	old49	9	1	1371	0	687.97	690.979	4.5
112	enc	enc71	old29	8	1	715	0	695.476	698.485	0.5
113	enc	enc72	old17	6	1	920	0	698.986	701.995	0.5
114	enc	enc73	old70	9	1	1210	0	702.497	705.506	5
115	ctl	ctl39	nan	9	1	1035	0	710.504	713.513	4.5
116	enc	enc74	old45	5	1	684	0	718.01	721.019	5.5
117	enc	enc75	old43	6	1	1201	0	726.518	729.527	1
118	enc	enc76	old26	5	1	1269	0	730.513	733.522	0.5
119	enc	enc77	old37	5	1	634	0	734.024	737.033	13.5
120	enc	enc78	old18	8	1	755	0			
