trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	onset	fix_onset	fix_duration
98	enc	enc65	old64	9	1	761	0	588.542	591.551	0.5
99	enc	enc66	old52	5	1	899	0	592.052	595.061	0.5
100	ctl	ctl31	nan	6	1	757	0	595.563	598.572	1.5
101	ctl	ctl32	nan	5	1	669	0	600.06	603.069	3
102	enc	enc67	old59	8	1	884	0	606.061	609.07	1.5
103	enc	enc68	old27	6	1	803	0	610.557	613.566	4.5
104	ctl	ctl33	nan	5	1	707	0	618.063	621.072	0.5
105	ctl	ctl34	nan	8	1	625	0	621.574	624.582	8
106	enc	enc69	old12	6	1	1049	0	632.573	635.582	1
107	enc	enc70	old60	5	1	986	0	636.585	639.594	4.5
108	ctl	ctl35	nan	8	1	910	0	644.09	647.099	2
109	ctl	ctl36	nan	6	1	597	0	649.089	652.098	1
110	enc	enc71	old77	6	1	917	0	653.101	656.11	2
111	enc	enc72	old08	8	1	929	0	658.099	661.108	2
112	ctl	ctl37	nan	5	1	667	0	663.097	666.106	10
113	ctl	ctl38	nan	8	1	773	0	676.102	679.111	3.5
114	enc	enc73	old71	9	1	783	0	682.605	685.614	9
115	enc	enc74	old14	8	1	960	0	694.607	697.616	0.5
116	ctl	ctl39	nan	9	1	654	0	698.118	701.127	7
117	enc	enc75	old48	9	1	1030	0	708.114	711.123	12.5
118	enc	enc76	old65	6	1	1034	0	723.61	726.619	2.5
119	enc	enc77	old36	5	1	905	0	729.11	732.119	18.5
120	enc	enc78	old21	6	1	1021	0			
