,trialnumber,category,trialcode,oldnumber,correctsource,stim_resp,stim_rt,stim_acc,onset,fix_onset,fix_duration
0,1,enc,enc00,,5,1,763,0,0.013,3.022,7
1,2,enc,enc000,,9,,0,1,10.01,13.019,4.5
2,3,ctl,ctl0,,9,1,1436,0,17.516,20.525,4.5
3,4,enc,enc01,old55,8,1,1106,0,25.021,28.03,0.5
4,5,ctl,ctl01,,6,1,1211,0,28.532,31.541,0.5
5,6,enc,enc02,old09,5,1,1165,0,32.042,35.051,4.5
6,7,enc,enc03,old65,5,1,867,0,39.548,42.557,2
7,8,ctl,ctl02,,5,1,1052,0,44.547,47.556,3.5
8,9,ctl,ctl03,,6,1,990,0,51.049,54.058,1.5
9,10,enc,enc04,old71,6,1,1277,0,55.546,58.555,2.5
10,11,enc,enc05,old68,5,1,945,0,61.046,64.055,1
11,12,ctl,ctl04,,6,1,901,0,65.058,68.067,3
12,13,enc,enc06,old43,9,1,1019,0,71.059,74.068,4
13,14,ctl,ctl05,,9,1,1327,0,78.063,81.072,0.5
14,15,enc,enc07,old53,6,1,1096,0,81.574,84.583,2.5
15,16,ctl,ctl06,,9,1,812,0,87.074,90.083,2.5
16,17,ctl,ctl07,,5,1,640,0,92.574,95.583,3.5
17,18,enc,enc08,old12,8,1,474,0,99.076,102.085,1
18,19,enc,enc09,old74,9,1,1046,0,103.072,106.081,2
19,20,enc,enc10,old05,5,1,1064,0,108.07,111.079,0.5
20,21,enc,enc11,old27,9,1,1162,0,111.58,114.589,4.5
21,22,enc,enc12,old32,5,1,1015,0,119.086,122.095,7
22,23,enc,enc13,old49,8,1,1354,0,129.083,132.092,0.5
23,24,enc,enc14,old44,8,1,1588,0,132.593,135.602,2
24,25,enc,enc15,old50,9,1,1781,0,137.592,140.601,1
25,26,enc,enc16,old46,8,1,1625,0,141.604,144.613,1
26,27,enc,enc17,old10,5,1,1405,0,145.616,148.625,3.5
27,28,ctl,ctl08,,8,1,1783,0,152.118,155.127,1
28,29,enc,enc18,old35,8,1,1779,0,156.114,159.123,2
29,30,enc,enc19,old15,8,1,2076,0,161.112,164.121,0.5
30,31,enc,enc20,old24,5,1,1134,0,164.622,167.631,3.5
31,32,ctl,ctl09,,8,1,991,0,171.125,174.134,7
32,33,enc,enc21,old42,9,,0,1,181.122,184.131,2.5
33,34,enc,enc22,old20,9,,0,1,186.622,189.631,5
34,35,enc,enc23,old02,6,1,775,0,194.629,197.638,1
35,36,enc,enc24,old23,8,,0,1,198.641,201.65,10
36,37,enc,enc25,old76,8,1,773,0,211.646,214.655,1.5
37,38,enc,enc26,old16,9,1,876,0,216.143,219.152,0.5
38,39,enc,enc27,old69,5,1,837,0,219.654,222.663,2.5
39,40,enc,enc28,old30,6,1,898,0,225.153,228.162,3.5
40,41,ctl,ctl10,,9,1,915,0,231.656,234.665,1
41,42,ctl,ctl11,,6,1,959,0,235.652,238.66,0.5
42,43,ctl,ctl12,,6,1,921,0,239.162,242.171,1.5
43,44,ctl,ctl13,,5,1,1024,0,243.659,246.668,7
44,45,enc,enc29,old75,9,1,723,0,253.655,256.664,7
45,46,enc,enc30,old67,8,,0,1,263.652,266.661,2
46,47,ctl,ctl14,,9,1,576,0,268.65,271.659,6.5
47,48,enc,enc31,old36,6,1,600,0,278.162,281.171,3.5
48,49,enc,enc32,old06,6,1,817,0,284.665,287.674,2.5
49,50,enc,enc33,old01,9,1,1005,0,290.165,293.174,4
50,51,enc,enc34,old64,8,1,1305,0,297.169,300.178,3.5
51,52,ctl,ctl15,,8,,0,1,303.672,306.681,1
52,53,enc,enc35,old07,9,,0,1,307.684,310.693,6.5
53,54,ctl,ctl16,,9,1,2238,0,317.195,320.204,7.5
54,55,ctl,ctl17,,8,1,644,0,327.693,330.702,2.5
55,56,enc,enc36,old62,8,1,1120,0,333.193,336.202,1.5
56,57,enc,enc37,old25,9,1,631,0,337.69,340.699,1
57,58,enc,enc38,old51,6,1,763,0,341.702,344.711,3
58,59,ctl,ctl18,,5,1,745,0,347.703,350.712,2.5
59,60,enc,enc39,old19,5,1,973,0,353.203,356.212,1
60,61,enc,enc40,old26,6,1,818,0,357.198,360.207,9
61,62,enc,enc41,old66,6,1,759,0,369.201,372.21,1.5
62,63,enc,enc42,old29,8,1,686,0,373.698,376.707,8.5
63,64,enc,enc43,old37,9,1,1193,0,385.199,388.208,8
64,65,ctl,ctl19,,5,1,1265,0,396.198,399.207,1.5
65,66,enc,enc44,old52,5,1,1504,0,400.695,403.704,5
66,67,ctl,ctl20,,8,1,1841,0,408.702,411.711,1
67,68,ctl,ctl21,,9,1,909,0,412.698,415.707,3
68,69,enc,enc45,old59,6,,0,1,418.699,421.708,5
69,70,ctl,ctl22,,8,1,1389,0,426.706,429.715,0.5
70,71,enc,enc46,old54,9,1,590,0,430.217,433.226,1.5
71,72,enc,enc47,old41,6,1,669,0,434.714,437.723,0.5
72,73,enc,enc48,old28,9,1,694,0,438.224,441.233,2
73,74,enc,enc49,old21,6,1,1176,0,443.222,446.231,1.5
74,75,enc,enc50,old04,8,1,2023,0,447.719,450.728,1
75,76,enc,enc51,old63,9,1,1172,0,451.714,454.723,2.5
76,77,enc,enc52,old72,8,,0,1,457.214,460.223,5.5
77,78,ctl,ctl23,,9,,0,1,465.723,468.732,2.5
78,79,enc,enc53,old22,9,,0,1,471.223,474.232,1.5
79,80,ctl,ctl24,,6,,0,1,475.72,478.729,0.5
80,81,enc,enc54,old77,5,,0,1,479.23,482.239,3
81,82,enc,enc55,old31,8,1,518,0,485.231,488.24,3.5
82,83,enc,enc56,old39,5,1,799,0,491.734,494.743,7.5
83,84,enc,enc57,old48,6,1,677,0,502.232,505.241,2.5
84,85,ctl,ctl25,,6,1,769,0,507.732,510.741,0.5
85,86,enc,enc58,old18,5,1,1114,0,511.243,514.252,1
86,87,enc,enc59,old47,6,1,1326,0,515.255,518.264,4
87,88,enc,enc60,old70,8,,0,1,522.259,525.268,11.5
88,89,ctl,ctl26,,6,1,627,0,536.769,539.778,0.5
89,90,ctl,ctl27,,9,1,637,0,540.279,543.288,4
90,91,ctl,ctl28,,5,1,632,0,547.284,550.293,0.5
91,92,enc,enc61,old38,5,1,1458,0,550.794,553.803,2.5
92,93,enc,enc62,old57,5,1,1438,0,556.294,559.303,3
93,94,ctl,ctl29,,8,,0,1,562.295,565.304,1
94,95,enc,enc63,old08,5,,0,1,566.291,569.3,2
95,96,enc,enc64,old03,9,,0,1,571.289,574.298,0.5
96,97,ctl,ctl30,,9,1,1852,0,574.799,577.808,7
97,98,enc,enc65,old56,9,1,511,0,584.796,587.805,0.5
98,99,enc,enc66,old45,5,1,713,0,588.306,591.315,0.5
99,100,ctl,ctl31,,6,1,562,0,591.817,594.826,0.5
100,101,ctl,ctl32,,5,1,508,0,595.327,598.336,1.5
101,102,enc,enc67,old58,8,1,491,0,599.824,602.833,3
102,103,enc,enc68,old34,6,1,578,0,605.825,608.834,1.5
103,104,ctl,ctl33,,5,1,1833,0,610.322,613.331,4.5
104,105,ctl,ctl34,,8,,0,1,617.828,620.837,0.5
105,106,enc,enc69,old11,6,,0,1,621.338,624.347,8
106,107,enc,enc70,old60,5,,0,1,632.338,635.347,1
107,108,ctl,ctl35,,8,1,1501,0,636.333,639.342,4.5
108,109,ctl,ctl36,,6,1,587,0,643.839,646.848,2
109,110,enc,enc71,old78,6,1,565,0,648.837,651.846,1
110,111,enc,enc72,old13,8,1,737,0,652.833,655.842,2
111,112,ctl,ctl37,,5,1,795,0,657.831,660.84,2
112,113,ctl,ctl38,,8,1,684,0,662.829,665.838,10
113,114,enc,enc73,old73,9,1,542,0,675.835,678.844,3.5
114,115,enc,enc74,old14,8,1,895,0,682.338,685.347,9
115,116,ctl,ctl39,,9,,0,1,694.34,697.349,0.5
116,117,enc,enc75,old40,9,,0,1,697.851,700.86,7
117,118,enc,enc76,old61,6,1,489,0,707.847,710.856,12.5
118,119,enc,enc77,old33,5,1,1168,0,723.344,726.353,2.5
119,120,enc,enc78,old17,6,,0,1,728.843,731.852,18.5
