trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	stim_onset	fix_onset	duration
1	ctl	ctl0	nan	5	2	1659	0	4.61	7.61	0.5
2	enc	enc00	nan	8	3	392	0	8.109	11.109	0.5
3	enc	enc000	nan	9	2	1300	0	11.609	14.609	5.5
4	ctl	ctl01	nan	8	3	892	0	20.109	23.108	0.5
5	enc	enc01	old56	6	2	1259	0	23.608	26.608	1
6	enc	enc02	old03	5	2	732	0	27.608	30.608	1
7	enc	enc03	old24	6	2	931	0	31.608	34.607	1.5
8	enc	enc04	old74	9	3	893	0	36.107	39.107	2
9	enc	enc05	old59	8	2	921	0	41.107	44.107	3
10	enc	enc06	old46	9	2	970	0	47.106	50.106	0.5
11	ctl	ctl02	nan	5	3	395	0	50.606	53.606	4
12	ctl	ctl03	nan	6	2	1438	0	57.606	60.605	2.5
13	enc	enc07	old35	8	2	1738	0	63.105	66.105	1.5
14	ctl	ctl04	nan	8	2	990	0	67.605	70.605	2
15	enc	enc08	old48	6	2	1545	0	72.604	75.604	3.5
16	enc	enc09	old15	5	2	1163	0	79.104	82.104	0.5
17	ctl	ctl05	nan	8	3	895	0	82.604	85.603	2.5
18	enc	enc10	old37	6	2	1012	0	88.103	91.103	0.5
19	enc	enc11	old01	6	2	950	0	91.603	94.603	1
20	enc	enc12	old17	8	3	896	0	95.603	98.602	1.5
21	enc	enc13	old77	5	2	1412	0	100.102	103.102	2.5
22	enc	enc14	old20	9	2	1171	0	105.602	108.602	3
23	enc	enc15	old33	9	2	1264	0	111.601	114.601	1
24	enc	enc16	old27	5	3	898	0	115.601	118.601	1.5
25	enc	enc17	old22	5	2	1154	0	120.101	123.1	1.5
26	ctl	ctl06	nan	5	2	833	0	124.6	127.6	1
27	enc	enc18	old11	5	3	399	0	128.6	131.6	2.5
28	enc	enc19	old42	8	2	984	0	134.099	137.099	2.5
29	ctl	ctl07	nan	5	3	900	0	139.599	142.599	0.5
30	enc	enc20	old73	6	3	399	0	143.099	146.099	5.5
31	enc	enc21	old65	5	2	1089	0	151.598	154.598	5.5
32	enc	enc22	old68	6	3	899	0	160.097	163.097	2
33	enc	enc23	old13	5	2	993	0	165.097	168.097	1
34	enc	enc24	old10	8	3	2400	0	169.097	172.096	3
35	enc	enc25	old43	5	3	900	0	175.096	178.096	3.5
36	enc	enc26	old64	9	2	758	0	181.596	184.596	0.5
37	ctl	ctl08	nan	6	2	826	0	185.095	188.095	1.5
38	ctl	ctl09	nan	9	2	697	0	189.595	192.595	9.5
39	ctl	ctl10	nan	8	3	402	0	202.094	205.094	2
40	ctl	ctl11	nan	5	3	402	0	207.094	210.094	2
41	enc	enc27	old44	8	3	402	0	212.093	215.093	1
42	ctl	ctl12	nan	9	3	403	0	216.093	219.093	0.5
43	enc	enc28	old21	9	2	1005	0	219.593	222.592	0.5
44	ctl	ctl13	nan	6	3	402	0	223.092	226.092	2
45	enc	enc29	old39	8	2	1647	0	228.092	231.092	4.5
46	enc	enc30	old63	6	2	1156	0	235.591	238.591	3.5
47	enc	enc31	old05	9	2	1011	0	242.091	245.091	8
48	enc	enc32	old75	6	3	404	0	253.09	256.09	9
49	enc	enc33	old25	9	3	1905	0	265.089	268.089	0.5
50	enc	enc34	old14	6	2	786	0	268.589	271.589	2.5
51	ctl	ctl14	nan	6	4	1406	0	274.088	277.088	8.5
52	enc	enc35	old69	5	2	692	0	285.588	288.587	0.5
53	enc	enc36	old09	9	2	875	0	289.087	292.087	5.5
54	enc	enc37	old12	8	4	907	0	297.587	300.586	3
55	enc	enc38	old52	6	2	1230	0	303.586	306.586	4
56	ctl	ctl15	nan	6	2	937	0	310.586	313.585	6.5
57	ctl	ctl16	nan	9	4	1907	0	320.085	323.085	0.5
58	enc	enc39	old57	6	2	742	0	323.585	326.584	11.5
59	enc	enc40	old61	5	2	868	0	338.083	341.083	9.5
60	enc	enc41	old66	6	2	868	0	350.582	353.582	1
61	ctl	ctl17	nan	8	2	745	0	354.582	357.582	5.5
62	enc	enc42	old53	9	4	410	0	363.081	366.081	1.5
63	enc	enc43	old16	8	2	1160	0	367.581	370.581	1
64	enc	enc44	old36	9	2	986	0	371.581	374.581	2
65	ctl	ctl18	nan	9	4	917	0	376.58	379.58	3.5
66	enc	enc45	old18	8	4	911	0	383.08	386.08	1.5
67	enc	enc46	old29	9	2	1054	0	387.58	390.579	0.5
68	ctl	ctl19	nan	8	2	749	0	391.079	394.079	2.5
69	ctl	ctl20	nan	5	2	942	0	396.579	399.579	0.5
70	ctl	ctl21	nan	5	4	912	0	400.079	403.078	2.5
71	ctl	ctl22	nan	8	2	1521	0	405.578	408.578	2
72	ctl	ctl23	nan	9	a	624	0	410.578	413.577	11
73	ctl	ctl24	nan	8	2	586	0	424.577	427.576	1
74	enc	enc47	old38	6	4	413	0	428.576	431.576	1.5
75	enc	enc48	old07	6	2	976	0	433.076	436.076	0.5
76	enc	enc49	old49	8	2	1118	0	436.576	439.575	0.5
77	enc	enc50	old45	9	2	799	0	440.075	443.075	2
78	enc	enc51	old04	6	2	789	0	445.075	448.075	1
79	ctl	ctl25	nan	9	2	1091	0	449.075	452.074	2
80	ctl	ctl26	nan	5	2	771	0	454.074	457.074	4
81	enc	enc52	old47	5	4	916	0	461.074	464.073	4.5
82	enc	enc53	old58	9	4	1415	0	468.573	471.573	8.5
83	enc	enc54	old51	8	4	1415	0	480.072	483.072	1
84	enc	enc55	old60	8	2	951	0	484.072	487.072	6
85	ctl	ctl27	nan	6	2	743	0	493.071	496.071	1.5
86	enc	enc56	old34	6	2	1288	0	497.571	500.571	13
87	ctl	ctl28	nan	6	2	670	0	513.57	516.569	1.5
88	enc	enc57	old62	9	4	1418	0	518.069	521.069	1.5
89	enc	enc58	old78	9	4	1919	0	522.569	525.569	7.5
90	enc	enc59	old54	5	2	577	0	533.068	536.068	1.5
91	ctl	ctl29	nan	9	2	703	0	537.568	540.567	3.5
92	enc	enc60	old55	8	2	855	0	544.067	547.067	1
93	ctl	ctl30	nan	8	2	742	0	548.067	551.067	1.5
94	enc	enc61	old06	8	2	1246	0	552.566	555.566	3.5
