,trialnumber,category,trialcode,oldnumber,correctsource,stim_resp,stim_rt,stim_acc,onset,fix_onset,fix_duration
0,1,enc,enc00,,8,1,337,0,0.084,3.084,4.5
1,2,enc,enc000,,9,1,2147,0,7.583,10.583,0.5
2,3,ctl,ctl0,,8,4,1761,0,11.083,14.083,0.5
3,4,enc,enc01,old57,6,4,761,0,14.583,17.582,6.5
4,5,enc,enc02,old02,5,4,1262,0,24.082,27.082,2
5,6,enc,enc03,old24,6,4,1262,0,29.081,32.081,1.5
6,7,enc,enc04,old67,9,4,1762,0,33.581,36.581,1
7,8,enc,enc05,old59,8,4,262,0,37.581,40.58,8.5
8,9,enc,enc06,old49,9,4,1262,0,49.08,52.079,2
9,10,enc,enc07,old38,8,4,1263,0,54.079,57.079,2.5
10,11,ctl,ctl01,,8,4,763,0,59.579,62.578,1.5
11,12,ctl,ctl02,,5,4,1264,0,64.078,67.078,1.5
12,13,enc,enc08,old43,6,1,1325,0,68.578,71.578,0.5
13,14,ctl,ctl03,,6,4,764,0,72.078,75.077,0.5
14,15,enc,enc09,old19,5,1,1662,0,75.577,78.577,2
15,16,enc,enc10,old28,6,1,1286,0,80.577,83.576,1.5
16,17,ctl,ctl04,,8,4,265,0,85.076,88.076,2
17,18,enc,enc11,old05,6,4,265,0,90.076,93.076,7.5
18,19,enc,enc12,old25,8,1,1143,0,100.575,103.575,5
19,20,enc,enc13,old78,5,a,1481,0,108.574,111.574,1.5
20,21,enc,enc14,old21,9,1,1780,0,113.074,116.074,3
21,22,enc,enc15,old36,9,4,1266,0,119.073,122.073,1
22,23,enc,enc16,old35,5,1,1815,0,123.073,126.073,1.5
23,24,enc,enc17,old16,5,4,267,0,127.572,130.572,8.5
24,25,enc,enc18,old11,5,4,1268,0,139.071,142.071,2
25,26,ctl,ctl05,,8,1,977,0,144.071,147.071,1
26,27,ctl,ctl06,,5,1,1024,0,148.071,151.07,1.5
27,28,enc,enc19,old52,8,4,269,0,152.57,155.57,6.5
28,29,enc,enc20,old77,6,4,769,0,162.069,165.069,1.5
29,30,enc,enc21,old60,5,4,1269,0,166.569,169.569,6.5
30,31,ctl,ctl07,,5,1,1114,0,176.068,179.068,3.5
31,32,enc,enc22,old66,6,4,270,0,182.567,185.567,8
32,33,enc,enc23,old10,5,1,1116,0,193.566,196.566,13
33,34,ctl,ctl08,,6,4,771,0,209.565,212.565,1
34,35,enc,enc24,old03,8,1,1443,0,213.565,216.564,2.5
35,36,enc,enc25,old42,5,4,1272,0,219.064,222.064,1.5
36,37,enc,enc26,old54,9,4,1771,0,223.564,226.563,3.5
37,38,enc,enc27,old45,8,4,272,0,230.063,233.063,2
38,39,enc,enc28,old20,9,4,272,0,235.063,238.062,3
39,40,enc,enc29,old31,8,1,1483,0,241.062,244.062,7
40,41,enc,enc30,old61,6,1,1591,0,251.061,254.061,1
41,42,ctl,ctl09,,9,4,277,0,255.061,258.061,0.5
42,43,ctl,ctl10,,8,1,925,0,258.561,261.56,1
43,44,enc,enc31,old09,9,4,273,0,262.56,265.56,0.5
44,45,enc,enc32,old72,6,1,1639,0,266.06,269.06,7
45,46,enc,enc33,old18,9,1,1241,0,276.059,279.059,4
46,47,enc,enc34,old15,6,1,1571,0,283.058,286.058,2
47,48,ctl,ctl11,,5,1,943,0,288.058,291.058,2.5
48,49,enc,enc35,old71,5,1,1607,0,293.557,296.557,4.5
49,50,enc,enc36,old08,9,1,1145,0,301.057,304.056,0.5
50,51,ctl,ctl12,,9,4,776,0,304.556,307.556,3
51,52,enc,enc37,old01,8,1,1547,0,310.556,313.556,2
52,53,ctl,ctl13,,6,1,829,0,315.555,318.555,0.5
53,54,ctl,ctl14,,6,1,1083,0,319.055,322.055,1
54,55,ctl,ctl15,,6,1,1318,0,323.055,326.054,2.5
55,56,ctl,ctl16,,9,1,1271,0,328.554,331.554,6.5
56,57,enc,enc38,old40,6,1,1965,0,338.053,341.053,9.5
