trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	onset	fix_onset	fix_duration
1	enc	enc00	nan	5	2	1202	0	10.018	13.027	4.5
2	enc	enc000	nan	9	2	1062	0	17.524	20.533	4.5
3	ctl	ctl0	nan	9	2	1012	0	25.03	28.039	0.5
4	enc	enc01	old63	8	2	1290	0	28.54	31.549	0.5
5	ctl	ctl01	nan	6	2	1723	0	32.051	35.06	4.5
6	enc	enc02	old12	5	2	1156	0	39.557	42.566	2
7	enc	enc03	old58	5	2	1298	0	44.555	47.564	3.5
8	ctl	ctl02	nan	5	2	900	0	51.058	54.067	1.5
9	ctl	ctl03	nan	6	2	869	0	55.554	58.563	2.5
10	enc	enc04	old78	6	2	1061	0	61.054	64.063	1
11	enc	enc05	old71	5	2	1009	0	65.05	68.059	3
12	ctl	ctl04	nan	6	2	1077	0	71.051	74.06	4
13	enc	enc06	old45	9	2	1315	0	78.055	81.064	0.5
14	ctl	ctl05	nan	9	2	839	0	81.566	84.575	2.5
15	enc	enc07	old64	6	2	1128	0	87.065	90.074	2.5
16	ctl	ctl06	nan	9	2	869	0	92.565	95.574	3.5
17	ctl	ctl07	nan	5	2	633	0	99.068	102.077	1
18	enc	enc08	old03	8	2	1210	0	103.08	106.089	2
19	enc	enc09	old69	9	2	910	0	108.078	111.087	0.5
20	enc	enc10	old11	5	2	1184	0	111.589	114.598	4.5
21	enc	enc11	old38	9	2	1296	0	119.094	122.103	7
22	enc	enc12	old27	5	2	1223	0	129.091	132.1	0.5
23	enc	enc13	old43	8	2	1250	0	132.601	135.61	2
24	enc	enc14	old40	8	2	1132	0	137.6	140.609	1
25	enc	enc15	old46	9	2	1245	0	141.612	144.621	1
26	enc	enc16	old48	8	2	1353	0	145.624	148.633	3.5
27	enc	enc17	old04	5	2	1117	0	152.126	155.135	1
28	ctl	ctl08	nan	8	2	902	0	156.122	159.131	2
29	enc	enc18	old36	8	2	1370	0	161.12	164.129	0.5
30	enc	enc19	old20	8	2	1292	0	164.63	167.639	3.5
31	enc	enc20	old15	5	2	1182	0	171.133	174.142	7
32	ctl	ctl09	nan	8	2	911	0	181.13	184.139	2.5
33	enc	enc21	old51	9	2	1018	0	186.629	189.638	5
34	enc	enc22	old26	9	2	1351	0	194.637	197.646	1
35	enc	enc23	old08	6	2	1398	0	198.649	201.658	10
36	enc	enc24	old24	8	2	1322	0	211.654	214.663	1.5
37	enc	enc25	old73	8	2	1365	0	216.151	219.16	0.5
38	enc	enc26	old18	9	2	1620	0	219.662	222.671	2.5
39	enc	enc27	old70	5	2	1149	0	225.161	228.17	3.5
40	enc	enc28	old35	6	2	1506	0	231.664	234.673	1
41	ctl	ctl10	nan	9	2	1098	0	235.676	238.685	0.5
42	ctl	ctl11	nan	6	2	686	0	239.187	242.196	1.5
43	ctl	ctl12	nan	6	2	647	0	243.683	246.692	7
44	ctl	ctl13	nan	5	2	863	0	253.68	256.689	7
45	enc	enc29	old66	9	nan	0	1	263.676	266.685	2
46	enc	enc30	old74	8	2	1382	0	268.675	271.684	6.5
47	ctl	ctl14	nan	9	2	774	0	278.186	281.195	3.5
48	enc	enc31	old31	6	2	1479	0	284.689	287.698	2.5
49	enc	enc32	old13	6	2	1080	0	290.189	293.198	4
50	enc	enc33	old01	9	2	1196	0	297.193	300.202	3.5
51	enc	enc34	old61	8	2	1272	0	303.696	306.705	1
52	ctl	ctl15	nan	8	2	849	0	307.708	310.717	6.5
53	enc	enc35	old02	9	2	1260	0	317.22	320.229	7.5
54	ctl	ctl16	nan	9	2	772	0	327.718	330.727	2.5
55	ctl	ctl17	nan	8	2	778	0	333.218	336.227	1.5
56	enc	enc36	old59	8	2	1222	0	337.714	340.723	1
57	enc	enc37	old22	9	2	1030	0	341.71	344.719	3
58	enc	enc38	old44	6	2	1154	0	347.711	350.72	2.5
59	ctl	ctl18	nan	5	2	809	0	353.211	356.22	1
60	enc	enc39	old16	5	2	924	0	357.223	360.232	9
61	enc	enc40	old19	6	2	1096	0	369.225	372.234	1.5
62	enc	enc41	old77	6	2	1206	0	373.722	376.731	8.5
63	enc	enc42	old34	8	2	1221	0	385.223	388.232	8
64	enc	enc43	old28	9	2	1328	0	396.222	399.231	1.5
65	ctl	ctl19	nan	5	2	728	0	400.719	403.728	5
66	enc	enc44	old52	5	2	1215	0	408.726	411.735	1
67	ctl	ctl20	nan	8	2	800	0	412.722	415.731	3
68	ctl	ctl21	nan	9	2	708	0	418.723	421.732	5
69	enc	enc45	old55	6	2	1083	0	426.73	429.739	0.5
70	ctl	ctl22	nan	8	2	732	0	430.241	433.25	1.5
71	enc	enc46	old54	9	2	964	0	434.738	437.747	0.5
72	enc	enc47	old42	6	2	715	0	438.248	441.257	2
73	enc	enc48	old29	9	2	1597	0	443.246	446.255	1.5
74	enc	enc49	old17	6	2	1375	0	447.743	450.752	1
75	enc	enc50	old10	8	2	1206	0	451.755	454.764	2.5
76	enc	enc51	old65	9	2	1130	0	457.255	460.264	5.5
77	enc	enc52	old75	8	2	1646	0	465.764	468.773	2.5
78	ctl	ctl23	nan	9	2	801	0	471.263	474.272	1.5
79	enc	enc53	old25	9	2	1277	0	475.76	478.769	0.5
80	ctl	ctl24	nan	6	2	836	0	479.271	482.28	3
81	enc	enc54	old72	5	2	1093	0	485.272	488.281	3.5
82	enc	enc55	old32	8	2	1092	0	491.775	494.784	7.5
83	enc	enc56	old30	5	2	1133	0	502.273	505.282	2.5
84	enc	enc57	old50	6	2	859	0	507.772	510.781	0.5
85	ctl	ctl25	nan	6	2	751	0	511.283	514.292	1
86	enc	enc58	old14	5	2	1032	0	515.295	518.304	4
87	enc	enc59	old47	6	2	1164	0	522.299	525.308	11.5
88	enc	enc60	old67	8	2	1160	0	536.809	539.818	0.5
89	ctl	ctl26	nan	6	2	826	0	540.32	543.329	4
90	ctl	ctl27	nan	9	2	747	0	547.324	550.333	0.5
91	ctl	ctl28	nan	5	2	486	0	550.834	553.843	2.5
92	enc	enc61	old37	5	2	1168	0	556.334	559.343	3
93	enc	enc62	old53	5	2	988	0	562.335	565.344	1
94	ctl	ctl29	nan	8	2	771	0	566.331	569.34	2
95	enc	enc63	old06	5	2	943	0	571.329	574.338	0.5
96	enc	enc64	old09	9	2	1313	0	574.84	577.848	7
97	ctl	ctl30	nan	9	2	690	0	584.836	587.845	0.5
98	enc	enc65	old56	9	2	1478	0	588.347	591.356	0.5
99	enc	enc66	old41	5	2	1286	0	591.857	594.866	0.5
100	ctl	ctl31	nan	6	2	904	0	595.368	598.376	1.5
101	ctl	ctl32	nan	5	2	665	0	599.864	602.873	3
102	enc	enc67	old60	8	2	1169	0	605.866	608.875	1.5
103	enc	enc68	old33	6	2	1215	0	610.362	613.371	4.5
104	ctl	ctl33	nan	5	2	903	0	617.868	620.877	0.5
105	ctl	ctl34	nan	8	2	781	0	621.379	624.388	8
106	enc	enc69	old07	6	2	966	0	632.378	635.387	1
107	enc	enc70	old62	5	2	1414	0	636.373	639.382	4.5
108	ctl	ctl35	nan	8	2	931	0	643.879	646.888	2
109	ctl	ctl36	nan	6	2	753	0	648.877	651.886	1
110	enc	enc71	old68	6	2	947	0	652.873	655.882	2
111	enc	enc72	old05	8	2	1087	0	657.871	660.88	2
112	ctl	ctl37	nan	5	2	729	0	662.869	665.878	10
113	ctl	ctl38	nan	8	2	739	0	675.875	678.884	3.5
114	enc	enc73	old76	9	2	1172	0	682.377	685.386	9
115	enc	enc74	old23	8	2	1662	0	694.38	697.389	0.5
116	ctl	ctl39	nan	9	2	763	0	697.891	700.9	7
117	enc	enc75	old49	9	2	1092	0	707.887	710.896	12.5
118	enc	enc76	old57	6	2	1183	0	723.383	726.392	2.5
119	enc	enc77	old39	5	2	1423	0	728.883	731.892	18.5
120	enc	enc78	old21	6	2	1579	0			
