trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	stim_onset	fix_onset	fix_duration
1	ctl	ctl0	nan	5	nan	0	1	4.513	7.522	0.5
2	enc	enc00	nan	8	1	2495	0	8.023	11.032	0.5
3	enc	enc000	nan	9	1	1968	0	11.534	14.543	5.5
4	ctl	ctl01	nan	8	1	1881	0	20.042	23.051	0.5
5	enc	enc01	old56	6	1	1941	0	23.553	26.562	1
6	enc	enc02	old09	5	1	2126	0	27.565	30.574	1
7	enc	enc03	old20	6	1	1874	0	31.577	34.586	1.5
8	enc	enc04	old78	9	1	1118	0	36.074	39.083	2
9	enc	enc05	old53	8	1	1037	0	41.072	44.081	3
10	enc	enc06	old43	9	1	1510	0	47.073	50.082	0.5
11	ctl	ctl02	nan	5	1	957	0	50.584	53.593	4
12	ctl	ctl03	nan	6	1	1526	0	57.588	60.597	2.5
13	enc	enc07	old29	8	1	1018	0	63.088	66.097	1.5
14	ctl	ctl04	nan	8	1	1190	0	67.584	70.593	2
15	enc	enc08	old46	6	1	1486	0	72.583	75.591	3.5
16	enc	enc09	old23	5	1	1463	0	79.085	82.094	0.5
17	ctl	ctl05	nan	8	1	840	0	82.596	85.605	2.5
18	enc	enc10	old38	6	1	1809	0	88.095	91.104	0.5
19	enc	enc11	old03	6	1	1262	0	91.606	94.615	1
20	enc	enc12	old26	8	1	1711	0	95.618	98.627	1.5
21	enc	enc13	old70	5	1	2563	0	100.115	103.124	2.5
22	enc	enc14	old17	9	1	1498	0	105.614	108.623	3
23	enc	enc15	old30	9	1	1462	0	111.616	114.625	1
24	enc	enc16	old32	5	1	1836	0	115.628	118.637	1.5
25	enc	enc17	old18	5	1	1640	0	120.124	123.133	1.5
26	ctl	ctl06	nan	5	1	1920	0	124.621	127.63	1
27	enc	enc18	old07	5	1	927	0	128.633	131.642	2.5
28	enc	enc19	old40	8	1	859	0	134.133	137.142	2.5
29	ctl	ctl07	nan	5	1	935	0	139.632	142.641	0.5
30	enc	enc20	old77	6	1	795	0	143.143	146.152	5.5
