trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	stim_onset	fix_onset	fix_duration
99	enc	enc63	old04	5	2	1752	0	616.49	619.49	1.5
100	enc	enc64	old03	9	2	897	0	620.99	623.99	2.5
101	enc	enc65	old58	9	2	1214	0	626.49	629.489	9.5
102	enc	enc66	old68	5	2	1390	0	638.989	641.988	0.5
103	enc	enc67	old53	8	2	1007	0	642.488	645.488	1
104	ctl	ctl34	nan	8	nan	0	1	646.488	649.488	3
105	enc	enc68	old28	6	2	693	0	652.487	655.487	1
106	enc	enc69	old10	6	2	1241	0	656.487	659.487	2
107	ctl	ctl35	nan	8	2	805	0	661.487	664.486	0.5
108	ctl	ctl36	nan	6	nan	0	1	664.986	667.986	2
109	enc	enc70	old64	5	2	850	0	669.986	672.986	8.5
110	ctl	ctl37	nan	5	2	772	0	681.485	684.485	1.5
111	enc	enc71	old43	6	2	681	0	685.985	688.984	1
112	enc	enc72	old12	8	2	885	0	689.984	692.984	1
113	enc	enc73	old41	9	2	1432	0	693.984	696.984	4
114	enc	enc74	old15	8	2	1070	0	700.983	703.983	9.5
115	enc	enc75	old76	9	2	917	0	713.482	716.482	4.5
116	ctl	ctl38	nan	8	2	763	0	720.982	723.982	0.5
117	ctl	ctl39	nan	9	2	658	0	724.482	727.481	4
118	enc	enc76	old55	6	2	984	0	731.481	734.481	1
119	enc	enc77	old27	5	nan	0	1	735.481	738.48	11.5
120	enc	enc78	old21	6	2	1715	0			
