trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	stim_onset	fix_onset	duration
1	ctl	ctl0	nan	9	1	250	0	5.053	8.052	3
2	enc	enc00	nan	5	1	2522	0	11.052	14.052	2
3	enc	enc000	nan	9	1	1840	0	16.052	19.051	1
4	ctl	ctl01	nan	6	1	841	0	20.051	23.051	8
5	enc	enc01	old56	8	1	891	0	31.05	34.05	7.5
6	enc	enc02	old07	5	1	1783	0	41.549	44.549	0.5
7	enc	enc03	old55	5	1	1893	0	45.049	48.049	6
8	enc	enc04	old52	6	1	892	0	54.048	57.048	2
9	enc	enc05	old51	5	1	1459	0	59.048	62.047	2
10	enc	enc06	old77	9	1	1821	0	64.047	67.047	4
11	ctl	ctl02	nan	5	1	1834	0	71.047	74.046	2.5
12	ctl	ctl03	nan	6	1	831	0	76.546	79.546	1.5
13	ctl	ctl04	nan	6	1	796	0	81.046	84.045	5
14	ctl	ctl05	nan	9	1	1740	0	89.045	92.045	1
15	enc	enc07	old63	6	1	1725	0	93.045	96.044	3
16	enc	enc08	old04	8	1	394	0	99.044	102.044	3
17	ctl	ctl06	nan	9	1	980	0	105.044	108.043	2.5
18	enc	enc09	old45	9	1	895	0	110.543	113.543	6.5
19	enc	enc10	old13	5	1	396	0	120.042	123.042	2.5
20	enc	enc11	old33	9	1	896	0	125.542	128.541	2
21	enc	enc12	old32	5	1	396	0	130.541	133.541	4.5
22	enc	enc13	old72	8	1	396	0	138.041	141.04	4.5
23	enc	enc14	old78	8	1	396	0	145.54	148.54	2.5
24	enc	enc15	old76	9	1	397	0	151.039	154.039	1
25	enc	enc16	old75	8	1	1882	0	155.039	158.039	1.5
26	enc	enc17	old11	5	1	897	0	159.539	162.538	4
27	ctl	ctl07	nan	5	1	864	0	166.538	169.538	3
28	ctl	ctl08	nan	8	1	586	0	172.537	175.537	1
29	enc	enc18	old28	8	1	899	0	176.537	179.537	1
30	enc	enc19	old16	8	1	1828	0	180.537	183.536	0.5
31	enc	enc20	old20	5	1	399	0	184.036	187.036	3.5
32	enc	enc21	old69	9	1	98	0	190.536	193.536	4.5
33	enc	enc22	old15	9	1	400	0	198.035	201.035	9.5
34	ctl	ctl09	nan	8	1	400	0	210.534	213.534	3.5
35	enc	enc23	old09	6	1	400	0	217.033	220.033	4
36	ctl	ctl10	nan	9	1	702	0	224.033	227.033	4
37	enc	enc24	old21	8	1	1232	0	231.032	234.032	1
38	enc	enc25	old47	8	1	2002	0	235.032	238.032	6
39	enc	enc26	old24	9	1	901	0	244.031	247.031	6.5
40	enc	enc27	old41	5	1	1834	0	253.53	256.53	2
41	enc	enc28	old34	6	1	2025	0	258.53	261.529	1.5
42	enc	enc29	old46	9	1	2403	0	263.029	266.029	2.5
43	enc	enc30	old44	8	1	404	0	268.529	271.528	4.5
44	enc	enc31	old39	6	1	2404	0	276.028	279.028	0.5
45	enc	enc32	old06	6	1	1482	0	279.528	282.527	1
46	ctl	ctl11	nan	6	1	1089	0	283.527	286.527	1.5
47	enc	enc33	old01	9	1	2091	0	288.027	291.027	2
48	enc	enc34	old53	8	1	404	0	293.026	296.026	4
49	ctl	ctl12	nan	6	1	405	0	300.026	303.026	2
50	enc	enc35	old08	9	1	904	0	305.025	308.025	2.5
51	enc	enc36	old61	8	1	905	0	310.525	313.525	2
52	enc	enc37	old22	9	1	405	0	315.524	318.524	14.5
53	enc	enc38	old70	6	1	406	0	333.023	336.023	4
54	enc	enc39	old18	5	1	407	0	340.022	343.022	1.5
55	ctl	ctl13	nan	5	1	692	0	344.522	347.522	1
56	enc	enc40	old19	6	1	1407	0	348.521	351.521	3
57	ctl	ctl14	nan	9	1	2408	0	354.521	357.521	5.5
58	ctl	ctl15	nan	8	1	1407	0	363.02	366.02	2
59	ctl	ctl16	nan	9	1	408	0	368.02	371.019	2.5
60	enc	enc41	old40	6	1	408	0	373.519	376.519	3
61	enc	enc42	old29	8	1	1854	0	379.519	382.518	3
62	enc	enc43	old36	9	1	1408	0	385.518	388.518	2
63	enc	enc44	old71	5	1	409	0	390.518	393.517	5
64	enc	enc45	old60	6	1	409	0	398.517	401.517	4.5
65	enc	enc46	old65	9	1	1701	0	406.016	409.016	10.5
66	ctl	ctl17	nan	8	1	697	0	419.515	422.515	2.5
67	enc	enc47	old68	6	1	1183	0	425.015	428.014	2.5
68	enc	enc48	old37	9	1	911	0	430.514	433.514	6
69	ctl	ctl18	nan	5	1	411	0	439.513	442.513	3.5
70	ctl	ctl19	nan	5	1	623	0	446.013	449.012	1.5
71	enc	enc49	old25	6	1	2028	0	450.512	453.512	2.5
72	ctl	ctl20	nan	8	1	412	0	456.012	459.011	4
73	ctl	ctl21	nan	9	1	832	0	463.011	466.011	2
74	enc	enc50	old12	8	1	413	0	468.011	471.01	3
75	enc	enc51	old64	9	1	413	0	474.01	477.01	3
76	ctl	ctl22	nan	8	1	598	0	480.01	483.009	4
77	enc	enc52	old50	8	1	914	0	487.009	490.009	0.5
78	enc	enc53	old14	9	1	1147	0	490.509	493.508	8
79	ctl	ctl23	nan	9	1	414	0	501.508	504.507	3
80	ctl	ctl24	nan	6	1	665	0	507.507	510.507	0.5
81	enc	enc54	old48	5	1	915	0	511.007	514.006	1.5
82	enc	enc55	old38	8	1	2307	0	515.506	518.506	4
