trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	stim_onset	fix_onset	fix_duration
1	ctl	ctl0	nan	5	1	1183	0	4.521	7.53	0.5
2	enc	enc00	nan	8	1	2759	0	8.032	11.041	0.5
3	enc	enc000	nan	9	1	1656	0	11.542	14.551	5.5
4	ctl	ctl01	nan	8	1	1402	0	20.051	23.06	0.5
5	enc	enc01	old60	6	nan	0	1	23.561	26.57	1
6	enc	enc02	old01	5	1	1822	0	27.557	30.566	1
7	enc	enc03	old24	6	1	1930	0	31.569	34.578	1.5
8	enc	enc04	old68	9	1	1814	0	36.065	39.074	2
9	enc	enc05	old55	8	1	1094	0	41.064	44.073	3
10	enc	enc06	old46	9	1	2895	0	47.065	50.074	0.5
11	ctl	ctl02	nan	5	1	838	0	50.575	53.584	4
12	ctl	ctl03	nan	6	1	807	0	57.579	60.588	2.5
13	enc	enc07	old38	8	1	2139	0	63.079	66.088	1.5
14	ctl	ctl04	nan	8	1	791	0	67.576	70.585	2
15	enc	enc08	old47	6	1	1678	0	72.574	75.583	3.5
16	enc	enc09	old20	5	1	2383	0	79.077	82.086	0.5
17	ctl	ctl05	nan	8	1	840	0	82.587	85.596	2.5
18	enc	enc10	old30	6	1	2578	0	88.087	91.096	0.5
19	enc	enc11	old05	6	1	1558	0	91.597	94.606	1
20	enc	enc12	old25	8	1	2848	0	95.593	98.602	1.5
21	enc	enc13	old77	5	1	2340	0	100.089	103.098	2.5
22	enc	enc14	old17	9	1	2740	0	105.589	108.598	3
23	enc	enc15	old35	9	1	2095	0	111.59	114.599	1
24	enc	enc16	old32	5	1	1966	0	115.586	118.595	1.5
25	enc	enc17	old26	5	1	2258	0	120.082	123.091	1.5
26	ctl	ctl06	nan	5	1	1026	0	124.579	127.588	1
27	enc	enc18	old03	5	1	1641	0	128.591	131.6	2.5
28	enc	enc19	old41	8	1	1949	0	134.091	137.1	2.5
29	ctl	ctl07	nan	5	1	825	0	139.59	142.599	0.5
30	enc	enc20	old66	6	1	2005	0	143.101	146.11	5.5
31	enc	enc21	old56	5	nan	0	1	151.61	154.618	5.5
32	enc	enc22	old74	6	1	2673	0	160.118	163.127	2
33	enc	enc23	old10	5	1	1805	0	165.116	168.125	1
34	enc	enc24	old07	8	1	1166	0	169.112	172.121	3
35	enc	enc25	old52	5	1	2410	0	175.113	178.122	3.5
36	enc	enc26	old64	9	1	2113	0	181.616	184.625	0.5
