trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	stim_onset	fix_onset	fix_duration
1	ctl	ctl0	nan	9	nan	0	1	5.077	8.077	3
2	enc	enc00	nan	5	nan	0	1	11.077	14.076	2
3	enc	enc000	nan	9	nan	0	1	16.076	19.076	1
4	ctl	ctl01	nan	6	nan	0	1	20.076	23.076	8
5	enc	enc01	old64	8	nan	0	1	31.075	34.075	7.5
6	enc	enc02	old10	5	nan	0	1	41.574	44.574	0.5
7	enc	enc03	old61	5	nan	0	1	45.074	48.074	6
8	enc	enc04	old43	6	nan	0	1	54.073	57.073	2
9	enc	enc05	old50	5	nan	0	1	59.073	62.073	2
10	enc	enc06	old71	9	nan	0	1	64.073	67.072	4
11	ctl	ctl02	nan	5	nan	0	1	71.072	74.072	2.5
12	ctl	ctl03	nan	6	nan	0	1	76.572	79.571	1.5
13	ctl	ctl04	nan	6	nan	0	1	81.071	84.071	5
14	ctl	ctl05	nan	9	nan	0	1	89.071	92.07	1
15	enc	enc07	old56	6	nan	0	1	93.07	96.07	3
16	enc	enc08	old09	8	nan	0	1	99.07	102.07	3
17	ctl	ctl06	nan	9	nan	0	1	105.069	108.069	2.5
18	enc	enc09	old47	9	nan	0	1	110.569	113.569	6.5
19	enc	enc10	old08	5	nan	0	1	120.068	123.068	2.5
20	enc	enc11	old31	9	nan	0	1	125.568	128.567	2
21	enc	enc12	old32	5	nan	0	1	130.567	133.567	4.5
22	enc	enc13	old66	8	nan	0	1	138.067	141.066	4.5
23	enc	enc14	old75	8	nan	0	1	145.566	148.566	2.5
24	enc	enc15	old78	9	nan	0	1	151.066	154.065	1
25	enc	enc16	old77	8	nan	0	1	155.065	158.065	1.5
26	enc	enc17	old11	5	nan	0	1	159.565	162.565	4
27	ctl	ctl07	nan	5	nan	0	1	166.564	169.564	3
28	ctl	ctl08	nan	8	nan	0	1	172.564	175.564	1
29	enc	enc18	old36	8	nan	0	1	176.564	179.563	1
30	enc	enc19	old22	8	nan	0	1	180.563	183.563	0.5
31	enc	enc20	old17	5	nan	0	1	184.063	187.063	3.5
32	enc	enc21	old72	9	nan	0	1	190.563	193.562	4.5
33	enc	enc22	old18	9	nan	0	1	198.062	201.062	9.5
34	ctl	ctl09	nan	8	nan	0	1	210.561	213.561	3.5
35	enc	enc23	old03	6	nan	0	1	217.061	220.06	4
36	ctl	ctl10	nan	9	nan	0	1	224.06	227.06	4
37	enc	enc24	old15	8	nan	0	1	231.059	234.059	1
38	enc	enc25	old49	8	nan	0	1	235.059	238.059	6
39	enc	enc26	old23	9	nan	0	1	244.058	247.058	6.5
40	enc	enc27	old52	5	nan	0	1	253.558	256.557	2
41	enc	enc28	old35	6	nan	0	1	258.557	261.557	1.5
42	enc	enc29	old46	9	nan	0	1	263.057	266.057	2.5
43	enc	enc30	old51	8	nan	0	1	268.557	271.556	4.5
44	enc	enc31	old38	6	nan	0	1	276.056	279.056	0.5
45	enc	enc32	old05	6	nan	0	1	279.556	282.555	1
46	ctl	ctl11	nan	6	nan	0	1	283.555	286.555	1.5
47	enc	enc33	old07	9	nan	0	1	288.055	291.055	2
48	enc	enc34	old57	8	nan	0	1	293.055	296.054	4
49	ctl	ctl12	nan	6	nan	0	1	300.054	303.054	2
50	enc	enc35	old02	9	nan	0	1	305.054	308.053	2.5
51	enc	enc36	old55	8	nan	0	1	310.553	313.553	2
52	enc	enc37	old20	9	nan	0	1	315.553	318.553	14.5
53	enc	enc38	old67	6	nan	0	1	333.051	336.051	4
54	enc	enc39	old21	5	nan	0	1	340.051	343.051	1.5
55	ctl	ctl13	nan	5	nan	0	1	344.551	347.55	1
56	enc	enc40	old16	6	nan	0	1	348.55	351.55	3
57	ctl	ctl14	nan	9	nan	0	1	354.55	357.55	5.5
58	ctl	ctl15	nan	8	nan	0	1	363.049	366.049	2
59	ctl	ctl16	nan	9	nan	0	1	368.049	371.048	2.5
60	enc	enc41	old41	6	nan	0	1	373.548	376.548	3
61	enc	enc42	old39	8	nan	0	1	379.548	382.548	3
62	enc	enc43	old37	9	nan	0	1	385.547	388.547	2
63	enc	enc44	old68	5	nan	0	1	390.547	393.547	5
64	enc	enc45	old60	6	nan	0	1	398.546	401.546	4.5
65	enc	enc46	old62	9	nan	0	1	406.046	409.046	10.5
