trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	onset	fix_onset	fix_duration
1	enc	enc00	nan	8	2	775	0	7.559	10.559	0.5
2	enc	enc000	nan	9	2	1172	0	11.059	14.059	0.5
3	ctl	ctl0	nan	8	2	1077	0	14.559	17.559	6.5
4	enc	enc01	old53	6	2	759	0	24.058	27.058	2
5	enc	enc02	old10	5	2	766	0	29.058	32.057	1.5
6	enc	enc03	old25	6	2	1592	0	33.557	36.557	1
7	enc	enc04	old66	9	2	2377	0	37.557	40.557	8.5
8	enc	enc05	old57	8	2	892	0	49.056	52.056	2
9	enc	enc06	old47	9	2	724	0	54.056	57.055	2.5
10	enc	enc07	old28	8	2	804	0	59.555	62.555	1.5
11	ctl	ctl01	nan	8	2	674	0	64.055	67.054	1.5
12	ctl	ctl02	nan	5	2	832	0	68.554	71.554	0.5
13	enc	enc08	old50	6	2	875	0	72.054	75.054	0.5
14	ctl	ctl03	nan	6	2	871	0	75.554	78.554	2
15	enc	enc09	old19	5	2	1006	0	80.553	83.553	1.5
16	enc	enc10	old31	6	2	971	0	85.053	88.053	2
17	ctl	ctl04	nan	8	2	993	0	90.053	93.052	7.5
18	enc	enc11	old05	6	2	631	0	100.552	103.551	5
19	enc	enc12	old15	8	2	648	0	108.551	111.551	1.5
20	enc	enc13	old74	5	2	894	0	113.051	116.05	3
21	enc	enc14	old17	9	2	1113	0	119.05	122.05	1
22	enc	enc15	old35	9	2	841	0	123.05	126.05	1.5
23	enc	enc16	old37	5	2	818	0	127.549	130.549	8.5
24	enc	enc17	old16	5	2	1160	0	139.049	142.048	2
25	enc	enc18	old13	5	2	866	0	144.048	147.048	1
26	ctl	ctl05	nan	8	2	786	0	148.048	151.048	1.5
27	ctl	ctl06	nan	5	2	687	0	152.547	155.547	6.5
28	enc	enc19	old52	8	2	594	0	162.047	165.046	1.5
29	enc	enc20	old78	6	2	660	0	166.546	169.546	6.5
30	enc	enc21	old60	5	2	768	0	176.046	179.045	3.5
31	ctl	ctl07	nan	5	2	555	0	182.545	185.545	8
32	enc	enc22	old68	6	2	999	0	193.544	196.544	13
33	enc	enc23	old01	5	2	918	0	209.543	212.542	1
34	ctl	ctl08	nan	6	2	683	0	213.542	216.542	2.5
35	enc	enc24	old11	8	2	1063	0	219.042	222.042	1.5
36	enc	enc25	old41	5	2	1103	0	223.542	226.541	3.5
37	enc	enc26	old59	9	2	705	0	230.041	233.041	2
38	enc	enc27	old48	8	2	728	0	235.041	238.04	3
39	enc	enc28	old20	9	2	1166	0	241.04	244.04	7
40	enc	enc29	old36	8	2	968	0	251.039	254.039	1
41	enc	enc30	old54	6	2	1602	0	255.039	258.039	0.5
42	ctl	ctl09	nan	9	2	901	0	258.539	261.538	1
43	ctl	ctl10	nan	8	2	940	0	262.538	265.538	0.5
44	enc	enc31	old06	9	2	823	0	266.038	269.038	7
45	enc	enc32	old67	6	2	926	0	276.037	279.037	4
46	enc	enc33	old22	9	2	791	0	283.037	286.036	2
47	enc	enc34	old26	6	2	996	0	288.036	291.036	2.5
48	ctl	ctl11	nan	5	2	684	0	293.536	296.536	4.5
49	enc	enc35	old70	5	2	749	0	301.035	304.035	0.5
50	enc	enc36	old08	9	2	842	0	304.535	307.535	3
51	ctl	ctl12	nan	9	2	1169	0	310.534	313.534	2
52	enc	enc37	old12	8	2	654	0	315.534	318.534	0.5
53	ctl	ctl13	nan	6	2	641	0	319.034	322.033	1
54	ctl	ctl14	nan	6	2	662	0	323.033	326.033	2.5
55	ctl	ctl15	nan	6	2	686	0	328.533	331.533	6.5
56	ctl	ctl16	nan	9	2	690	0	338.032	341.032	9.5
57	enc	enc38	old49	6	2	803	0	350.531	353.531	3
58	enc	enc39	old64	6	2	654	0	356.531	359.53	3
59	enc	enc40	old63	5	2	1404	0	362.53	365.53	1
60	enc	enc41	old77	6	2	1367	0	366.53	369.53	2
61	enc	enc42	old56	9	2	1733	0	371.529	374.529	1
62	enc	enc43	old14	8	2	1588	0	375.529	378.529	0.5
63	enc	enc44	old39	9	2	1847	0	379.029	382.029	2.5
64	enc	enc45	old18	8	2	1059	0	384.528	387.528	8.5
65	enc	enc46	old34	9	2	801	0	396.027	399.027	5.5
66	enc	enc47	old29	6	2	761	0	404.527	407.527	2
67	enc	enc48	old04	6	2	673	0	409.526	412.526	6
68	enc	enc49	old45	8	2	683	0	418.526	421.525	6
69	enc	enc50	old40	9	2	816	0	427.525	430.525	1.5
70	enc	enc51	old07	6	2	763	0	432.024	435.024	2
71	ctl	ctl17	nan	8	2	734	0	437.024	440.024	1.5
72	enc	enc52	old42	5	2	545	0	441.524	444.523	4
73	ctl	ctl18	nan	9	2	872	0	448.523	451.523	0.5
74	ctl	ctl19	nan	8	2	675	0	452.023	455.023	6
75	ctl	ctl20	nan	5	2	595	0	461.022	464.022	0.5
76	enc	enc53	old65	9	2	703	0	464.522	467.522	2.5
77	enc	enc54	old46	8	2	651	0	470.021	473.021	1.5
78	enc	enc55	old62	8	2	1122	0	474.521	477.521	2.5
79	enc	enc56	old38	6	2	1102	0	480.021	483.02	5.5
80	ctl	ctl21	nan	5	2	651	0	488.52	491.52	4.5
81	enc	enc57	old61	9	2	1617	0	496.019	499.019	2.5
82	ctl	ctl22	nan	8	2	677	0	501.519	504.519	6.5
83	enc	enc58	old75	9	2	1684	0	511.018	514.018	6.5
84	ctl	ctl23	nan	9	2	664	0	520.517	523.517	1.5
85	ctl	ctl24	nan	8	2	871	0	525.017	528.017	4.5
86	ctl	ctl25	nan	9	2	781	0	532.516	535.516	1.5
87	ctl	ctl26	nan	5	2	661	0	537.016	540.016	0.5
88	enc	enc59	old58	5	2	1044	0	540.516	543.515	10.5
89	ctl	ctl27	nan	6	2	830	0	554.014	557.014	4.5
90	ctl	ctl28	nan	6	2	1029	0	561.514	564.514	2
91	enc	enc60	old55	8	2	880	0	566.513	569.513	1.5
92	ctl	ctl29	nan	9	2	809	0	571.013	574.013	12.5
93	enc	enc61	old03	8	2	849	0	586.512	589.512	2
94	enc	enc62	old32	5	2	886	0	591.511	594.511	1
95	enc	enc63	old72	8	2	1398	0	595.511	598.511	4
96	ctl	ctl30	nan	8	2	960	0	602.51	605.51	0.5
97	enc	enc64	old69	9	2	745	0	606.01	609.01	4
98	enc	enc65	old76	8	2	898	0	613.01	616.009	3.5
99	enc	enc66	old71	8	2	744	0	619.509	622.509	1
100	ctl	ctl31	nan	8	2	747	0	623.509	626.509	0.5
101	ctl	ctl32	nan	5	2	662	0	627.008	630.008	2.5
102	enc	enc67	old02	5	2	644	0	632.508	635.508	0.5
