,trialnumber,category,trialcode,oldnumber,correctsource,stim_resp,stim_rt,stim_acc,onset,fix_onset,fix_duration
0,1,ctl,ctl0,,5,2,1055,0,0.077,3.077,1.5
1,2,enc,enc00,,8,2,1218,0,4.577,7.576,0.5
2,3,enc,enc000,,9,2,1123,0,8.076,11.076,0.5
3,4,ctl,ctl01,,8,2,877,0,11.576,14.576,5.5
4,5,enc,enc01,old59,6,2,1417,0,20.075,23.075,0.5
5,6,enc,enc02,old13,5,2,857,0,23.575,26.575,1
6,7,enc,enc03,old18,6,2,1002,0,27.575,30.575,1
7,8,enc,enc04,old70,9,2,931,0,31.574,34.574,1.5
8,9,enc,enc05,old57,8,2,1630,0,36.074,39.074,2
9,10,enc,enc06,old46,9,2,1093,0,41.074,44.073,3
10,11,ctl,ctl02,,5,2,744,0,47.073,50.073,0.5
11,12,ctl,ctl03,,6,2,798,0,50.573,53.573,4
12,13,enc,enc07,old30,8,2,1054,0,57.572,60.572,2.5
13,14,ctl,ctl04,,8,2,809,0,63.072,66.072,1.5
14,15,enc,enc08,old40,6,2,1517,0,67.572,70.571,2
15,16,enc,enc09,old23,5,2,1403,0,72.571,75.571,3.5
16,17,ctl,ctl05,,8,2,728,0,79.071,82.07,0.5
17,18,enc,enc10,old29,6,2,1342,0,82.57,85.57,2.5
18,19,enc,enc11,old04,6,2,932,0,88.07,91.07,0.5
19,20,enc,enc12,old25,8,2,1119,0,91.57,94.57,1
20,21,enc,enc13,old68,5,2,1212,0,95.569,98.569,1.5
21,22,enc,enc14,old20,9,2,1034,0,100.069,103.069,2.5
22,23,enc,enc15,old27,9,2,1140,0,105.569,108.568,3
23,24,enc,enc16,old39,5,2,889,0,111.568,114.568,1
24,25,enc,enc17,old22,5,2,1098,0,115.568,118.568,1.5
25,26,ctl,ctl06,,5,2,777,0,120.067,123.067,1.5
26,27,enc,enc18,old09,5,2,1072,0,124.567,127.567,1
27,28,enc,enc19,old48,8,2,1301,0,128.567,131.567,2.5
28,29,ctl,ctl07,,5,2,860,0,134.066,137.066,2.5
29,30,enc,enc20,old69,6,2,956,0,139.566,142.566,0.5
30,31,enc,enc21,old55,5,2,1106,0,143.066,146.065,5.5
31,32,enc,enc22,old77,6,2,1478,0,151.565,154.565,5.5
32,33,enc,enc23,old01,5,2,1123,0,160.064,163.064,2
33,34,enc,enc24,old03,8,2,978,0,165.064,168.064,1
34,35,enc,enc25,old43,5,2,827,0,169.064,172.063,3
35,36,enc,enc26,old62,9,2,1138,0,175.063,178.063,3.5
36,37,ctl,ctl08,,6,2,969,0,181.563,184.562,0.5
37,38,ctl,ctl09,,9,2,668,0,185.062,188.062,1.5
38,39,ctl,ctl10,,8,2,695,0,189.562,192.562,9.5
39,40,ctl,ctl11,,5,2,1025,0,202.061,205.061,2
40,41,enc,enc27,old44,8,2,1455,0,207.061,210.06,2
41,42,ctl,ctl12,,9,2,613,0,212.06,215.06,1
42,43,enc,enc28,old19,9,2,1443,0,216.06,219.06,0.5
43,44,ctl,ctl13,,6,2,1399,0,219.56,222.559,0.5
44,45,enc,enc29,old37,8,2,1457,0,223.059,226.059,2
45,46,enc,enc30,old54,6,2,1073,0,228.059,231.059,4.5
46,47,enc,enc31,old11,9,2,942,0,235.558,238.558,3.5
47,48,enc,enc32,old75,6,2,1459,0,242.058,245.058,8
48,49,enc,enc33,old14,9,2,1333,0,253.057,256.057,9
49,50,enc,enc34,old17,6,2,893,0,265.056,268.056,0.5
50,51,ctl,ctl14,,6,2,841,0,268.556,271.556,2.5
51,52,enc,enc35,old71,5,2,859,0,274.055,277.055,8.5
52,53,enc,enc36,old12,9,2,1440,0,285.555,288.554,0.5
53,54,enc,enc37,old07,8,2,840,0,289.054,292.054,5.5
54,55,enc,enc38,old47,6,2,1262,0,297.554,300.553,3
55,56,ctl,ctl15,,6,2,636,0,303.553,306.553,4
56,57,ctl,ctl16,,9,2,650,0,310.553,313.552,6.5
57,58,enc,enc39,old63,6,2,1249,0,320.052,323.052,0.5
58,59,enc,enc40,old61,5,2,643,0,323.552,326.551,11.5
59,60,enc,enc41,old72,6,2,1542,0,338.05,341.05,9.5
60,61,ctl,ctl17,,8,2,703,0,350.549,353.549,1
61,62,enc,enc42,old60,9,2,1450,0,354.549,357.549,5.5
62,63,enc,enc43,old16,8,2,1004,0,363.048,366.048,1.5
63,64,enc,enc44,old34,9,2,714,0,367.548,370.548,1
64,65,ctl,ctl18,,9,2,592,0,371.548,374.548,2
65,66,enc,enc45,old15,8,2,730,0,376.547,379.547,3.5
66,67,enc,enc46,old31,9,2,1182,0,383.047,386.047,1.5
67,68,ctl,ctl19,,8,2,473,0,387.547,390.546,0.5
68,69,ctl,ctl20,,5,2,498,0,391.046,394.046,2.5
69,70,ctl,ctl21,,5,2,674,0,396.546,399.546,0.5
70,71,ctl,ctl22,,8,2,492,0,400.046,403.045,2.5
71,72,ctl,ctl23,,9,2,464,0,405.545,408.545,2
72,73,ctl,ctl24,,8,2,533,0,410.545,413.545,11
73,74,enc,enc47,old28,6,2,1565,0,424.544,427.543,1
74,75,enc,enc48,old10,6,2,727,0,428.543,431.543,1.5
75,76,enc,enc49,old51,8,2,922,0,433.043,436.043,0.5
76,77,enc,enc50,old50,9,2,596,0,436.543,439.542,0.5
77,78,enc,enc51,old06,6,2,620,0,440.042,443.042,2
78,79,ctl,ctl25,,9,2,800,0,445.042,448.042,1
79,80,ctl,ctl26,,5,2,536,0,449.042,452.042,2
80,81,enc,enc52,old49,5,2,510,0,454.041,457.041,4
81,82,enc,enc53,old64,9,2,1066,0,461.041,464.041,4.5
82,83,enc,enc54,old45,8,2,1001,0,468.54,471.54,8.5
83,84,enc,enc55,old58,8,2,1083,0,480.039,483.039,1
84,85,ctl,ctl27,,6,2,1083,0,484.039,487.039,6
85,86,enc,enc56,old36,6,2,847,0,493.038,496.038,1.5
86,87,ctl,ctl28,,6,2,736,0,497.538,500.538,13
87,88,enc,enc57,old65,9,2,1039,0,513.537,516.536,1.5
88,89,enc,enc58,old78,9,2,741,0,518.036,521.036,1.5
89,90,enc,enc59,old56,5,2,939,0,522.536,525.536,7.5
90,91,ctl,ctl29,,9,2,731,0,533.035,536.035,1.5
91,92,enc,enc60,old53,8,2,1376,0,537.535,540.535,3.5
92,93,ctl,ctl30,,8,2,568,0,544.034,547.034,1
93,94,enc,enc61,old02,8,2,644,0,548.034,551.034,1.5
94,95,ctl,ctl31,,8,2,670,0,552.534,555.533,3.5
95,96,enc,enc62,old38,5,2,1245,0,559.033,562.033,4.5
96,97,ctl,ctl32,,5,2,629,0,566.533,569.532,3
97,98,enc,enc63,old76,8,2,533,0,572.532,575.532,0.5
98,99,enc,enc64,old67,9,2,577,0,576.032,579.032,8
99,100,ctl,ctl33,,9,2,753,0,587.031,590.031,5
100,101,ctl,ctl34,,9,2,1082,0,595.03,598.03,0.5
101,102,enc,enc65,old73,8,2,1170,0,598.53,601.53,1
102,103,enc,enc66,old66,8,2,831,0,602.53,605.529,11.5
103,104,ctl,ctl35,,6,2,690,0,617.029,620.028,2.5
104,105,enc,enc67,old08,5,2,1028,0,622.528,625.528,2
105,106,enc,enc68,old05,9,2,842,0,627.528,630.528,0.5
106,107,enc,enc69,old35,5,2,1627,0,631.028,634.027,1
107,108,enc,enc70,old52,9,2,1004,0,635.027,638.027,1
108,109,enc,enc71,old33,8,2,886,0,639.027,642.027,0.5
109,110,ctl,ctl36,,6,2,764,0,642.527,645.526,7.5
110,111,enc,enc72,old24,6,2,877,0,653.026,656.026,15
111,112,enc,enc73,old74,9,2,1444,0,671.024,674.024,0.5
112,113,ctl,ctl37,,5,2,776,0,674.524,677.524,1
113,114,ctl,ctl38,,6,2,612,0,678.524,681.524,0.5
114,115,enc,enc74,old42,5,2,1461,0,682.024,685.023,9
115,116,enc,enc75,old41,6,2,993,0,694.023,697.022,6
116,117,ctl,ctl39,,9,2,921,0,703.022,706.022,10.5
117,118,enc,enc76,old26,5,2,1173,0,716.521,719.521,5
118,119,enc,enc77,old32,5,2,901,0,724.52,727.52,1
119,120,enc,enc78,old21,8,2,1762,0,728.52,731.52,18.5
