trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	onset	fix_onset	fix_duration
1	enc	enc00	nan	8	1	1684	0	7.59	10.599	0.5
2	enc	enc000	nan	9	1	1514	0	11.1	14.109	0.5
3	ctl	ctl0	nan	8	1	2060	0	14.611	17.62	6.5
4	enc	enc01	old58	6	1	2093	0	24.122	27.131	2
5	enc	enc02	old03	5	1	1757	0	29.121	32.129	1.5
6	enc	enc03	old18	6	1	2566	0	33.617	36.626	1
7	enc	enc04	old75	9	1	2382	0	37.613	40.621	8.5
8	enc	enc05	old54	8	1	1922	0	49.113	52.122	2
9	enc	enc06	old52	9	1	1845	0	54.112	57.121	2.5
10	enc	enc07	old31	8	1	1646	0	59.611	62.62	1.5
11	ctl	ctl01	nan	8	1	1051	0	64.108	67.117	1.5
12	ctl	ctl02	nan	5	1	1106	0	68.605	71.614	0.5
13	enc	enc08	old43	6	1	1937	0	72.115	75.124	0.5
14	ctl	ctl03	nan	6	1	1659	0	75.626	78.635	2
15	enc	enc09	old22	5	1	1771	0	80.624	83.633	1.5
16	enc	enc10	old39	6	1	1253	0	85.121	88.13	2
17	ctl	ctl04	nan	8	1	1060	0	90.119	93.128	7.5
18	enc	enc11	old04	6	1	1758	0	100.617	103.626	5
19	enc	enc12	old14	8	1	1492	0	108.624	111.633	1.5
20	enc	enc13	old66	5	1	1732	0	113.121	116.13	3
21	enc	enc14	old17	9	1	1563	0	119.122	122.131	1
22	enc	enc15	old33	9	1	1266	0	123.134	126.143	1.5
23	enc	enc16	old29	5	1	2030	0	127.631	130.64	8.5
24	enc	enc17	old23	5	nan	0	1	139.132	142.141	2
25	enc	enc18	old13	5	1	839	0	144.13	147.139	1
26	ctl	ctl05	nan	8	1	689	0	148.142	151.151	1.5
27	ctl	ctl06	nan	5	1	821	0	152.639	155.647	6.5
28	enc	enc19	old47	8	1	1572	0	162.15	165.159	1.5
29	enc	enc20	old76	6	1	1005	0	166.647	169.656	6.5
30	enc	enc21	old57	5	1	1371	0	176.159	179.168	3.5
31	ctl	ctl07	nan	5	1	827	0	182.661	185.67	8
32	enc	enc22	old69	6	1	733	0	193.661	196.67	13
33	enc	enc23	old08	5	1	1060	0	209.658	212.667	1
34	ctl	ctl08	nan	6	1	751	0	213.654	216.663	2.5
35	enc	enc24	old10	8	1	1091	0	219.153	222.162	1.5
36	enc	enc25	old40	5	1	1736	0	223.65	226.659	3.5
37	enc	enc26	old53	9	1	1566	0	230.153	233.162	2
38	enc	enc27	old42	8	1	1239	0	235.151	238.16	3
39	enc	enc28	old19	9	1	1713	0	241.152	244.161	7
40	enc	enc29	old36	8	1	1936	0	251.149	254.158	1
41	enc	enc30	old59	6	1	1978	0	255.161	258.17	0.5
42	ctl	ctl09	nan	9	1	942	0	258.671	261.68	1
43	ctl	ctl10	nan	8	1	1296	0	262.683	265.692	0.5
44	enc	enc31	old12	9	1	1188	0	266.193	269.202	7
45	enc	enc32	old74	6	1	1518	0	276.19	279.199	4
46	enc	enc33	old15	9	1	1049	0	283.194	286.203	2
47	enc	enc34	old21	6	1	1412	0	288.192	291.201	2.5
48	ctl	ctl11	nan	5	1	862	0	293.692	296.701	4.5
49	enc	enc35	old71	5	1	1226	0	301.198	304.207	0.5
50	enc	enc36	old06	9	1	1144	0	304.708	307.717	3
51	ctl	ctl12	nan	9	1	770	0	310.709	313.718	2
52	enc	enc37	old07	8	1	1080	0	315.708	318.717	0.5
53	ctl	ctl13	nan	6	1	713	0	319.218	322.227	1
54	ctl	ctl14	nan	6	1	851	0	323.23	326.239	2.5
55	ctl	ctl15	nan	6	1	671	0	328.73	331.739	6.5
56	ctl	ctl16	nan	9	1	755	0	338.241	341.25	9.5
57	enc	enc38	old44	6	1	1635	0	350.745	353.754	3
58	enc	enc39	old63	6	1	2203	0	356.747	359.756	3
59	enc	enc40	old61	5	1	1969	0	362.748	365.757	1
60	enc	enc41	old67	6	1	1496	0	366.76	369.769	2
61	enc	enc42	old60	9	1	2339	0	371.758	374.767	1
62	enc	enc43	old25	8	1	1949	0	375.77	378.779	0.5
63	enc	enc44	old32	9	1	1313	0	379.28	382.289	2.5
64	enc	enc45	old16	8	1	1883	0	384.78	387.789	8.5
65	enc	enc46	old30	9	1	2167	0	396.281	399.29	5.5
66	enc	enc47	old37	6	1	1162	0	404.79	407.799	2
67	enc	enc48	old02	6	1	1732	0	409.788	412.797	6
68	enc	enc49	old46	8	1	1158	0	418.798	421.807	6
69	enc	enc50	old51	9	1	1156	0	427.808	430.817	1.5
70	enc	enc51	old09	6	1	2145	0	432.305	435.314	2
71	ctl	ctl17	nan	8	1	832	0	437.303	440.312	1.5
72	enc	enc52	old48	5	1	1570	0	441.8	444.809	4
73	ctl	ctl18	nan	9	1	961	0	448.804	451.813	0.5
74	ctl	ctl19	nan	8	1	629	0	452.315	455.324	6
75	ctl	ctl20	nan	5	1	774	0	461.325	464.334	0.5
76	enc	enc53	old62	9	1	1179	0	464.835	467.844	2.5
77	enc	enc54	old41	8	1	1461	0	470.335	473.344	1.5
78	enc	enc55	old65	8	1	1057	0	474.832	477.841	2.5
79	enc	enc56	old35	6	1	1584	0	480.331	483.34	5.5
80	ctl	ctl21	nan	5	1	893	0	488.84	491.849	4.5
81	enc	enc57	old55	9	1	1223	0	496.346	499.355	2.5
82	ctl	ctl22	nan	8	1	869	0	501.845	504.854	6.5
83	enc	enc58	old72	9	1	1914	0	511.34	514.349	6.5
84	ctl	ctl23	nan	9	1	907	0	520.835	523.844	1.5
85	ctl	ctl24	nan	8	1	875	0	525.332	528.341	4.5
86	ctl	ctl25	nan	9	1	714	0	532.838	535.847	1.5
87	ctl	ctl26	nan	5	1	704	0	537.335	540.344	0.5
88	enc	enc59	old64	5	1	1919	0	540.845	543.854	10.5
89	ctl	ctl27	nan	6	1	913	0	554.352	557.361	4.5
90	ctl	ctl28	nan	6	1	957	0	561.858	564.867	2
91	enc	enc60	old56	8	1	1691	0	566.856	569.865	1.5
92	ctl	ctl29	nan	9	1	845	0	571.353	574.362	12.5
93	enc	enc61	old11	8	1	2116	0	586.849	589.858	2
94	enc	enc62	old28	5	1	1691	0	591.847	594.856	1
95	enc	enc63	old77	8	1	1917	0	595.859	598.868	4
96	ctl	ctl30	nan	8	1	809	0	602.863	605.872	0.5
97	enc	enc64	old73	9	1	1084	0	606.374	609.383	4
98	enc	enc65	old78	8	1	941	0	613.378	616.387	3.5
99	enc	enc66	old68	8	1	1017	0	619.88	622.889	1
100	ctl	ctl31	nan	8	1	795	0	623.876	626.885	0.5
