trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	stim_onset	fix_onset	fix_duration
1	enc	enc00	nan	8	1	1348	0	7.614	10.623	0.5
2	enc	enc000	nan	9	1	1657	0	11.124	14.133	0.5
3	ctl	ctl0	nan	8	1	1731	0	14.635	17.644	6.5
4	enc	enc01	old57	6	1	2772	0	24.147	27.156	2
5	enc	enc02	old09	5	1	2964	0	29.145	32.154	1.5
6	enc	enc03	old25	6	1	2558	0	33.642	36.651	1
7	enc	enc04	old70	9	nan	0	1	37.654	40.663	8.5
8	enc	enc05	old60	8	nan	0	1	49.155	52.164	2
9	enc	enc06	old40	9	1	1875	0	54.153	57.162	2.5
10	enc	enc07	old27	8	1	1949	0	59.653	62.662	1.5
11	ctl	ctl01	nan	8	1	1369	0	64.15	67.159	1.5
12	ctl	ctl02	nan	5	1	1144	0	68.646	71.655	0.5
13	enc	enc08	old44	6	1	1880	0	72.157	75.166	0.5
14	ctl	ctl03	nan	6	1	1697	0	75.667	78.676	2
15	enc	enc09	old21	5	1	2579	0	80.666	83.675	1.5
16	enc	enc10	old36	6	1	1724	0	85.162	88.171	2
17	ctl	ctl04	nan	8	1	1363	0	90.161	93.17	7.5
18	enc	enc11	old01	6	1	2300	0	100.659	103.668	5
19	enc	enc12	old19	8	1	2026	0	108.666	111.675	1.5
20	enc	enc13	old66	5	1	2011	0	113.163	116.172	3
21	enc	enc14	old20	9	1	2594	0	119.164	122.173	1
22	enc	enc15	old39	9	1	1545	0	123.176	126.185	1.5
23	enc	enc16	old34	5	1	1932	0	127.673	130.682	8.5
24	enc	enc17	old14	5	1	1251	0	139.174	142.183	2
25	enc	enc18	old06	5	1	1358	0	144.172	147.181	1
26	ctl	ctl05	nan	8	1	1512	0	148.184	151.193	1.5
27	ctl	ctl06	nan	5	1	1228	0	152.681	155.69	6.5
28	enc	enc19	old50	8	1	1579	0	162.193	165.202	1.5
29	enc	enc20	old69	6	1	995	0	166.689	169.698	6.5
30	enc	enc21	old55	5	1	1522	0	176.201	179.21	3.5
31	ctl	ctl07	nan	5	1	882	0	182.704	185.713	8
32	enc	enc22	old68	6	1	971	0	193.703	196.712	13
33	enc	enc23	old04	5	1	1396	0	209.701	212.71	1
34	ctl	ctl08	nan	6	1	925	0	213.696	216.705	2.5
35	enc	enc24	old05	8	1	2546	0	219.196	222.205	1.5
36	enc	enc25	old41	5	1	1718	0	223.693	226.702	3.5
37	enc	enc26	old61	9	1	1925	0	230.196	233.205	2
38	enc	enc27	old51	8	1	1190	0	235.194	238.203	3
39	enc	enc28	old24	9	1	1816	0	241.195	244.204	7
40	enc	enc29	old31	8	1	1103	0	251.192	254.201	1
41	enc	enc30	old65	6	nan	0	1	255.204	258.213	0.5
42	ctl	ctl09	nan	9	1	1301	0	258.714	261.723	1
43	ctl	ctl10	nan	8	1	1231	0	262.71	265.719	0.5
44	enc	enc31	old03	9	1	1835	0	266.22	269.229	7
45	enc	enc32	old73	6	1	2013	0	276.217	279.226	4
46	enc	enc33	old23	9	1	1616	0	283.221	286.23	2
47	enc	enc34	old26	6	1	1268	0	288.219	291.228	2.5
48	ctl	ctl11	nan	5	nan	0	1	293.719	296.728	4.5
49	enc	enc35	old71	5	1	2169	0	301.225	304.234	0.5
50	enc	enc36	old10	9	nan	0	1	304.735	307.744	3
51	ctl	ctl12	nan	9	1	1753	0	310.736	313.745	2
52	enc	enc37	old12	8	1	2528	0	315.735	318.744	0.5
53	ctl	ctl13	nan	6	1	1593	0	319.245	322.254	1
54	ctl	ctl14	nan	6	1	1299	0	323.24	326.249	2.5
55	ctl	ctl15	nan	6	1	1135	0	328.74	331.749	6.5
56	ctl	ctl16	nan	9	1	811	0	338.252	341.261	9.5
57	enc	enc38	old45	6	1	2251	0	350.756	353.765	3
58	enc	enc39	old53	6	1	2155	0	356.757	359.766	3
59	enc	enc40	old56	5	1	2834	0	362.758	365.767	1
60	enc	enc41	old77	6	1	2104	0	366.754	369.763	2
61	enc	enc42	old54	9	1	1756	0	371.752	374.761	1
62	enc	enc43	old17	8	1	2542	0	375.764	378.773	0.5
63	enc	enc44	old35	9	nan	0	1	379.275	382.284	2.5
64	enc	enc45	old16	8	nan	0	1	384.774	387.783	8.5
65	enc	enc46	old33	9	1	2392	0	396.275	399.284	5.5
66	enc	enc47	old29	6	1	2043	0	404.784	407.793	2
67	enc	enc48	old07	6	1	2413	0	409.782	412.791	6
68	enc	enc49	old48	8	1	2215	0	418.793	421.802	6
69	enc	enc50	old42	9	1	1468	0	427.803	430.812	1.5
70	enc	enc51	old08	6	1	2018	0	432.3	435.309	2
71	ctl	ctl17	nan	8	1	1905	0	437.298	440.307	1.5
72	enc	enc52	old46	5	1	2531	0	441.795	444.804	4
73	ctl	ctl18	nan	9	nan	0	1	448.799	451.808	0.5
74	ctl	ctl19	nan	8	1	957	0	452.309	455.318	6
75	ctl	ctl20	nan	5	1	991	0	461.32	464.329	0.5
76	enc	enc53	old64	9	1	2460	0	464.83	467.839	2.5
77	enc	enc54	old43	8	nan	0	1	470.33	473.339	1.5
78	enc	enc55	old62	8	1	2122	0	474.827	477.836	2.5
79	enc	enc56	old32	6	1	2465	0	480.326	483.335	5.5
80	ctl	ctl21	nan	5	1	1686	0	488.835	491.844	4.5
81	enc	enc57	old58	9	1	2016	0	496.341	499.35	2.5
82	ctl	ctl22	nan	8	1	814	0	501.841	504.85	6.5
83	enc	enc58	old78	9	1	2322	0	511.353	514.361	6.5
84	ctl	ctl23	nan	9	1	722	0	520.864	523.873	1.5
85	ctl	ctl24	nan	8	1	755	0	525.361	528.37	4.5
86	ctl	ctl25	nan	9	1	721	0	532.867	535.876	1.5
87	ctl	ctl26	nan	5	1	647	0	537.364	540.373	0.5
88	enc	enc59	old59	5	1	2942	0	540.874	543.883	10.5
89	ctl	ctl27	nan	6	1	1520	0	554.381	557.39	4.5
90	ctl	ctl28	nan	6	1	805	0	561.887	564.896	2
91	enc	enc60	old63	8	1	1555	0	566.885	569.894	1.5
92	ctl	ctl29	nan	9	1	2772	0	571.382	574.391	12.5
93	enc	enc61	old11	8	1	2427	0	586.878	589.887	2
94	enc	enc62	old38	5	1	1803	0	591.876	594.885	1
95	enc	enc63	old67	8	1	2013	0	595.872	598.881	4
96	ctl	ctl30	nan	8	1	1225	0	602.876	605.885	0.5
97	enc	enc64	old74	9	1	1844	0	606.386	609.395	4
98	enc	enc65	old72	8	1	2542	0	613.391	616.4	3.5
99	enc	enc66	old76	8	1	1609	0	619.894	622.902	1
100	ctl	ctl31	nan	8	1	1114	0	623.905	626.914	0.5
101	ctl	ctl32	nan	5	1	991	0	627.416	630.425	2.5
102	enc	enc67	old02	5	1	2584	0	632.916	635.925	0.5
103	ctl	ctl33	nan	9	1	1348	0	636.426	639.435	9
104	ctl	ctl34	nan	9	1	1254	0	648.429	651.438	2
105	ctl	ctl35	nan	6	1	842	0	653.427	656.436	0.5
106	enc	enc68	old13	9	1	2772	0	656.938	659.947	2
107	ctl	ctl36	nan	6	1	1677	0	661.936	664.945	4.5
108	ctl	ctl37	nan	5	1	951	0	669.442	672.451	4.5
109	ctl	ctl38	nan	6	1	1237	0	676.947	679.956	3.5
110	enc	enc69	old30	5	1	2068	0	683.45	686.459	1.5
111	enc	enc70	old49	9	nan	0	1	687.947	690.956	4.5
112	enc	enc71	old28	8	nan	0	1	695.453	698.462	0.5
113	enc	enc72	old22	6	nan	0	1	698.963	701.972	0.5
114	enc	enc73	old75	9	nan	0	1	702.474	705.483	5
115	ctl	ctl39	nan	9	1	660	0	710.481	713.49	4.5
116	enc	enc74	old47	5	1	2173	0	717.987	720.996	5.5
117	enc	enc75	old52	6	1	2059	0	726.495	729.504	1
118	enc	enc76	old15	5	1	1966	0	730.491	733.5	0.5
119	enc	enc77	old37	5	1	2426	0	734.001	737.01	13.5
120	enc	enc78	old18	8	nan	0	1			
