trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	stim_onset	fix_onset	duration
1	ctl	ctl0	nan	9	3	2594	0	5.087	8.087	3
2	enc	enc00	nan	5	3	1045	0	11.087	14.087	2
3	enc	enc000	nan	9	3	1082	0	16.087	19.086	1
4	ctl	ctl01	nan	6	3	1787	0	20.086	23.086	8
5	enc	enc01	old61	8	3	1494	0	31.085	34.085	7.5
6	enc	enc02	old09	5	3	852	0	41.585	44.584	0.5
7	enc	enc03	old62	5	3	1708	0	45.084	48.084	6
8	enc	enc04	old45	6	3	1109	0	54.084	57.083	2
9	enc	enc05	old40	5	3	1066	0	59.083	62.083	2
10	enc	enc06	old78	9	3	1894	0	64.083	67.083	4
11	ctl	ctl02	nan	5	3	1052	0	71.082	74.082	2.5
12	ctl	ctl03	nan	6	3	1088	0	76.582	79.582	1.5
13	ctl	ctl04	nan	6	3	983	0	81.081	84.081	5
14	ctl	ctl05	nan	9	3	927	0	89.081	92.081	1
15	enc	enc07	old58	6	3	831	0	93.081	96.08	3
16	enc	enc08	old06	8	3	1144	0	99.08	102.08	3
17	ctl	ctl06	nan	9	3	1046	0	105.08	108.079	2.5
18	enc	enc09	old48	9	3	833	0	110.579	113.579	6.5
19	enc	enc10	old02	5	3	853	0	120.078	123.078	2.5
20	enc	enc11	old31	9	3	713	0	125.578	128.578	2
21	enc	enc12	old37	5	3	1014	0	130.578	133.577	4.5
22	enc	enc13	old67	8	3	895	0	138.077	141.077	4.5
23	enc	enc14	old68	8	nan	0	1	145.576	148.576	2.5
24	enc	enc15	old75	9	3	920	0	151.076	154.076	1
25	enc	enc16	old73	8	3	1085	0	155.076	158.075	1.5
26	enc	enc17	old13	5	3	2063	0	159.575	162.575	4
27	ctl	ctl07	nan	5	3	957	0	166.575	169.575	3
28	ctl	ctl08	nan	8	3	1469	0	172.574	175.574	1
29	enc	enc18	old35	8	3	906	0	176.574	179.574	1
30	enc	enc19	old14	8	3	1079	0	180.574	183.573	0.5
31	enc	enc20	old26	5	nan	0	1	184.073	187.073	3.5
32	enc	enc21	old70	9	3	1859	0	190.573	193.573	4.5
33	enc	enc22	old25	9	3	744	0	198.072	201.072	9.5
34	ctl	ctl09	nan	8	3	898	0	210.571	213.571	3.5
35	enc	enc23	old03	6	3	1003	0	217.071	220.071	4
36	ctl	ctl10	nan	9	3	1461	0	224.07	227.07	4
37	enc	enc24	old17	8	3	1735	0	231.07	234.069	1
38	enc	enc25	old47	8	3	1805	0	235.069	238.069	6
39	enc	enc26	old15	9	3	1026	0	244.069	247.068	6.5
40	enc	enc27	old46	5	3	819	0	253.568	256.568	2
41	enc	enc28	old28	6	nan	0	1	258.568	261.567	1.5
42	enc	enc29	old51	9	3	1101	0	263.067	266.067	2.5
43	enc	enc30	old49	8	3	794	0	268.567	271.567	4.5
44	enc	enc31	old29	6	3	758	0	276.066	279.066	0.5
45	enc	enc32	old01	6	nan	0	1	279.566	282.566	1
46	ctl	ctl11	nan	6	3	1422	0	283.566	286.565	1.5
47	enc	enc33	old08	9	3	811	0	288.065	291.065	2
48	enc	enc34	old54	8	3	785	0	293.065	296.065	4
49	ctl	ctl12	nan	6	3	488	0	300.064	303.064	2
50	enc	enc35	old07	9	3	849	0	305.064	308.064	2.5
51	enc	enc36	old63	8	3	895	0	310.563	313.563	2
52	enc	enc37	old16	9	3	1282	0	315.563	318.563	14.5
53	enc	enc38	old72	6	nan	0	1	333.062	336.061	4
54	enc	enc39	old20	5	3	721	0	340.061	343.061	1.5
55	ctl	ctl13	nan	5	3	652	0	344.561	347.561	1
56	enc	enc40	old21	6	3	720	0	348.561	351.56	3
57	ctl	ctl14	nan	9	3	858	0	354.56	357.56	5.5
58	ctl	ctl15	nan	8	3	981	0	363.059	366.059	2
59	ctl	ctl16	nan	9	3	926	0	368.059	371.059	2.5
60	enc	enc41	old43	6	3	1211	0	373.559	376.558	3
61	enc	enc42	old27	8	nan	0	1	379.558	382.558	3
62	enc	enc43	old39	9	3	2531	0	385.558	388.557	2
63	enc	enc44	old69	5	3	754	0	390.557	393.557	5
64	enc	enc45	old55	6	3	731	0	398.557	401.556	4.5
65	enc	enc46	old59	9	3	794	0	406.056	409.056	10.5
66	ctl	ctl17	nan	8	nan	0	1	419.555	422.555	2.5
67	enc	enc47	old77	6	3	871	0	425.055	428.054	2.5
68	enc	enc48	old38	9	3	1311	0	430.554	433.554	6
69	ctl	ctl18	nan	5	nan	0	1	439.553	442.553	3.5
70	ctl	ctl19	nan	5	3	1166	0	446.053	449.053	1.5
71	enc	enc49	old24	6	3	811	0	450.553	453.552	2.5
72	ctl	ctl20	nan	8	3	965	0	456.052	459.052	4
73	ctl	ctl21	nan	9	3	656	0	463.052	466.051	2
74	enc	enc50	old12	8	3	830	0	468.051	471.051	3
75	enc	enc51	old56	9	3	1341	0	474.051	477.05	3
76	ctl	ctl22	nan	8	3	1125	0	480.05	483.05	4
77	enc	enc52	old42	8	nan	0	1	487.05	490.049	0.5
78	enc	enc53	old19	9	3	2027	0	490.549	493.549	8
79	ctl	ctl23	nan	9	3	1766	0	501.549	504.548	3
80	ctl	ctl24	nan	6	3	663	0	507.548	510.548	0.5
81	enc	enc54	old44	5	3	685	0	511.048	514.048	1.5
82	enc	enc55	old30	8	3	977	0	515.547	518.547	4
83	enc	enc56	old36	5	3	775	0	522.547	525.547	5
84	ctl	ctl25	nan	6	nan	0	1	530.546	533.546	7.5
85	enc	enc57	old74	6	3	922	0	541.045	544.045	1
86	ctl	ctl26	nan	6	nan	0	1	545.045	548.045	1.5
87	ctl	ctl27	nan	9	3	758	0	549.545	552.545	0.5
88	enc	enc58	old18	5	3	834	0	553.045	556.044	1.5
89	enc	enc59	old66	6	3	874	0	557.544	560.544	2
90	enc	enc60	old50	8	nan	0	1	562.544	565.544	1
91	ctl	ctl28	nan	5	3	1301	0	566.543	569.543	5
92	ctl	ctl29	nan	8	3	1125	0	574.543	577.543	2
93	ctl	ctl30	nan	9	3	681	0	579.542	582.542	5.5
94	ctl	ctl31	nan	6	3	851	0	588.042	591.042	0.5
95	enc	enc61	old33	5	3	1471	0	591.541	594.541	8
96	ctl	ctl32	nan	5	3	2189	0	602.541	605.54	1
97	enc	enc62	old64	5	3	2354	0	606.54	609.54	0.5
98	ctl	ctl33	nan	5	3	862	0	610.04	613.04	3.5
99	enc	enc63	old10	5	3	822	0	616.54	619.539	1.5
100	enc	enc64	old04	9	3	614	0	621.039	624.039	2.5
101	enc	enc65	old65	9	3	611	0	626.539	629.539	9.5
102	enc	enc66	old76	5	3	592	0	639.038	642.038	0.5
103	enc	enc67	old57	8	nan	0	1	642.537	645.537	1
104	ctl	ctl34	nan	8	nan	0	1	646.537	649.537	3
105	enc	enc68	old32	6	nan	0	1	652.537	655.536	1
106	enc	enc69	old11	6	3	994	0	656.536	659.536	2
107	ctl	ctl35	nan	8	3	1178	0	661.536	664.536	0.5
108	ctl	ctl36	nan	6	3	1075	0	665.036	668.036	2
109	enc	enc70	old60	5	3	785	0	670.035	673.035	8.5
110	ctl	ctl37	nan	5	3	679	0	681.534	684.534	1.5
111	enc	enc71	old41	6	nan	0	1	686.034	689.034	1
112	enc	enc72	old05	8	3	488	0	690.034	693.034	1
113	enc	enc73	old52	9	3	956	0	694.033	697.033	4
114	enc	enc74	old22	8	3	804	0	701.033	704.033	9.5
115	enc	enc75	old71	9	nan	0	1	713.532	716.532	4.5
116	ctl	ctl38	nan	8	3	904	0	721.031	724.031	0.5
117	ctl	ctl39	nan	9	3	780	0	724.531	727.531	4
118	enc	enc76	old53	6	3	704	0	731.531	734.53	1
119	enc	enc77	old34	5	3	596	0	735.53	738.53	11.5
120	enc	enc78	old23	6	nan	0	1			
