,trialnumber,category,trialcode,oldnumber,correctsource,stim_resp,stim_rt,stim_acc,onset,fix_onset,fix_duration
0,1,ctl,ctl0,,9,3,1675,0,0.088,3.088,2
1,2,enc,enc00,,5,3,868,0,5.088,8.088,3
2,3,enc,enc000,,9,3,900,0,11.087,14.087,2
3,4,ctl,ctl01,,6,3,1137,0,16.087,19.086,1
4,5,enc,enc01,old57,8,3,2149,0,20.086,23.086,8
5,6,enc,enc02,old11,5,3,1121,0,31.085,34.085,7.5
6,7,enc,enc03,old60,5,3,1586,0,41.584,44.584,0.5
7,8,enc,enc04,old42,6,3,1104,0,45.084,48.084,6
8,9,enc,enc05,old51,5,3,1555,0,54.083,57.083,2
9,10,enc,enc06,old70,9,3,1504,0,59.083,62.082,2
10,11,ctl,ctl02,,5,3,1139,0,64.082,67.082,4
11,12,ctl,ctl03,,6,3,1140,0,71.081,74.081,2.5
12,13,ctl,ctl04,,6,3,1216,0,76.581,79.581,1.5
13,14,ctl,ctl05,,9,3,1192,0,81.08,84.08,5
14,15,enc,enc07,old64,6,3,1190,0,89.08,92.079,1
15,16,enc,enc08,old08,8,3,2278,0,93.079,96.079,3
16,17,ctl,ctl06,,9,3,1018,0,99.079,102.078,3
17,18,enc,enc09,old46,9,3,1229,0,105.078,108.078,2.5
18,19,enc,enc10,old03,5,3,1604,0,110.578,113.577,6.5
19,20,enc,enc11,old36,9,3,1237,0,120.077,123.076,2.5
20,21,enc,enc12,old32,5,3,1409,0,125.576,128.576,2
21,22,enc,enc13,old71,8,3,1237,0,130.576,133.575,4.5
22,23,enc,enc14,old67,8,3,998,0,138.075,141.075,4.5
23,24,enc,enc15,old69,9,3,887,0,145.574,148.574,2.5
24,25,enc,enc16,old73,8,3,1548,0,151.074,154.073,1
25,26,enc,enc17,old01,5,3,1476,0,155.073,158.073,1.5
26,27,ctl,ctl07,,5,3,1323,0,159.573,162.573,4
27,28,ctl,ctl08,,8,3,752,0,166.572,169.572,3
28,29,enc,enc18,old33,8,3,1311,0,172.572,175.571,1
29,30,enc,enc19,old24,8,3,1454,0,176.571,179.571,1
30,31,enc,enc20,old14,5,3,1645,0,180.571,183.57,0.5
31,32,enc,enc21,old77,9,3,2073,0,184.07,187.07,3.5
32,33,enc,enc22,old18,9,3,1096,0,190.57,193.57,4.5
33,34,ctl,ctl09,,8,3,717,0,198.069,201.069,9.5
34,35,enc,enc23,old06,6,3,750,0,210.568,213.568,3.5
35,36,ctl,ctl10,,9,3,853,0,217.067,220.067,4
36,37,enc,enc24,old23,8,3,923,0,224.067,227.066,4
37,38,enc,enc25,old41,8,3,872,0,231.066,234.066,1
38,39,enc,enc26,old17,9,3,1098,0,235.065,238.065,6
39,40,enc,enc27,old49,5,3,508,0,244.065,247.064,6.5
40,41,enc,enc28,old39,6,3,786,0,253.564,256.563,2
41,42,enc,enc29,old40,9,3,1328,0,258.563,261.563,1.5
42,43,enc,enc30,old50,8,3,925,0,263.063,266.062,2.5
43,44,enc,enc31,old35,6,3,999,0,268.562,271.562,4.5
44,45,enc,enc32,old09,6,3,843,0,276.061,279.061,0.5
45,46,ctl,ctl11,,6,3,892,0,279.561,282.561,1
46,47,enc,enc33,old12,9,3,679,0,283.561,286.56,1.5
47,48,enc,enc34,old63,8,3,1080,0,288.06,291.06,2
48,49,ctl,ctl12,,6,3,873,0,293.06,296.06,4
49,50,enc,enc35,old10,9,3,755,0,300.059,303.059,2
50,51,enc,enc36,old59,8,3,1332,0,305.059,308.058,2.5
51,52,enc,enc37,old15,9,3,1074,0,310.558,313.558,2
52,53,enc,enc38,old76,6,3,750,0,315.558,318.557,14.5
53,54,enc,enc39,old25,5,3,837,0,333.056,336.056,4
54,55,ctl,ctl13,,5,3,842,0,340.055,343.055,1.5
55,56,enc,enc40,old22,6,3,620,0,344.555,347.555,1
56,57,ctl,ctl14,,9,3,795,0,348.554,351.554,3
57,58,ctl,ctl15,,8,3,540,0,354.554,357.554,5.5
58,59,ctl,ctl16,,9,3,533,0,363.053,366.053,2
59,60,enc,enc41,old45,6,3,897,0,368.053,371.052,2.5
60,61,enc,enc42,old29,8,3,1116,0,373.552,376.552,3
61,62,enc,enc43,old38,9,3,790,0,379.551,382.551,3
62,63,enc,enc44,old68,5,3,1177,0,385.551,388.551,2
63,64,enc,enc45,old56,6,3,839,0,390.55,393.55,5
64,65,enc,enc46,old62,9,3,1321,0,398.55,401.549,4.5
65,66,ctl,ctl17,,8,3,747,0,406.049,409.049,10.5
66,67,enc,enc47,old74,6,3,688,0,419.548,422.547,2.5
67,68,enc,enc48,old30,9,3,1167,0,425.047,428.047,2.5
68,69,ctl,ctl18,,5,3,762,0,430.546,433.546,6
69,70,ctl,ctl19,,5,3,693,0,439.546,442.545,3.5
70,71,enc,enc49,old26,6,3,684,0,446.045,449.045,1.5
71,72,ctl,ctl20,,8,3,722,0,450.545,453.544,2.5
72,73,ctl,ctl21,,9,3,529,0,456.044,459.044,4
73,74,enc,enc50,old02,8,3,616,0,463.043,466.043,2
74,75,enc,enc51,old58,9,3,908,0,468.043,471.043,3
75,76,ctl,ctl22,,8,3,953,0,474.042,477.042,3
76,77,enc,enc52,old48,8,3,937,0,480.042,483.041,4
77,78,enc,enc53,old19,9,3,1073,0,487.041,490.041,0.5
78,79,ctl,ctl23,,9,3,842,0,490.541,493.54,8
79,80,ctl,ctl24,,6,3,808,0,501.54,504.539,3
80,81,enc,enc54,old47,5,3,743,0,507.539,510.539,0.5
81,82,enc,enc55,old34,8,3,1530,0,511.039,514.038,1.5
82,83,enc,enc56,old27,5,3,1295,0,515.538,518.538,4
83,84,ctl,ctl25,,6,3,695,0,522.538,525.537,5
84,85,enc,enc57,old72,6,3,567,0,530.537,533.536,7.5
85,86,ctl,ctl26,,6,3,594,0,541.036,544.035,1
86,87,ctl,ctl27,,9,3,538,0,545.035,548.035,1.5
87,88,enc,enc58,old20,5,3,653,0,549.535,552.535,0.5
88,89,enc,enc59,old66,6,3,1186,0,553.035,556.034,1.5
89,90,enc,enc60,old52,8,3,1492,0,557.534,560.534,2
90,91,ctl,ctl28,,5,3,927,0,562.534,565.533,1
91,92,ctl,ctl29,,8,3,844,0,566.533,569.533,5
92,93,ctl,ctl30,,9,3,506,0,574.532,577.532,2
93,94,ctl,ctl31,,6,3,695,0,579.532,582.532,5.5
94,95,enc,enc61,old37,5,3,1107,0,588.031,591.031,0.5
95,96,ctl,ctl32,,5,3,796,0,591.531,594.531,8
96,97,enc,enc62,old55,5,3,672,0,602.53,605.529,1
97,98,ctl,ctl33,,5,3,1176,0,606.529,609.529,0.5
98,99,enc,enc63,old04,5,3,643,0,610.029,613.029,3.5
99,100,enc,enc64,old07,9,3,1098,0,616.528,619.528,1.5
100,101,enc,enc65,old53,9,3,1236,0,621.028,624.028,2.5
101,102,enc,enc66,old75,5,3,2031,0,626.527,629.527,9.5
102,103,enc,enc67,old61,8,,0,1,639.026,642.026,0.5
103,104,ctl,ctl34,,8,3,957,0,642.526,645.526,1
104,105,enc,enc68,old28,6,3,728,0,646.525,649.525,3
105,106,enc,enc69,old05,6,3,622,0,652.525,655.525,1
106,107,ctl,ctl35,,8,3,724,0,656.525,659.524,2
107,108,ctl,ctl36,,6,3,496,0,661.524,664.524,0.5
108,109,enc,enc70,old65,5,3,1230,0,665.024,668.023,2
109,110,ctl,ctl37,,5,3,672,0,670.023,673.023,8.5
110,111,enc,enc71,old44,6,3,553,0,681.522,684.522,1.5
111,112,enc,enc72,old13,8,3,586,0,686.022,689.021,1
112,113,enc,enc73,old43,9,3,437,0,690.021,693.021,1
113,114,enc,enc74,old21,8,3,864,0,694.021,697.021,4
114,115,enc,enc75,old78,9,3,610,0,701.02,704.02,9.5
115,116,ctl,ctl38,,8,3,527,0,713.519,716.519,4.5
116,117,ctl,ctl39,,9,3,566,0,721.018,724.018,0.5
117,118,enc,enc76,old54,6,3,697,0,724.518,727.518,4
118,119,enc,enc77,old31,5,3,600,0,731.517,734.517,1
119,120,enc,enc78,old16,6,3,793,0,735.517,738.517,11.5
