trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	onset	fix_onset	fix_duration
1	enc	enc00	nan	8	1	1212	0	7.589	10.589	0.5
2	enc	enc000	nan	9	1	572	0	11.089	14.089	0.5
3	ctl	ctl0	nan	8	1	823	0	14.589	17.588	6.5
4	enc	enc01	old64	6	1	413	0	24.088	27.087	2
5	enc	enc02	old06	5	1	638	0	29.088	32.087	1.5
6	enc	enc03	old20	6	1	692	0	33.587	36.587	1
7	enc	enc04	old77	9	1	733	0	37.586	40.586	8.5
8	enc	enc05	old54	8	1	645	0	49.086	52.085	2
9	enc	enc06	old48	9	1	604	0	54.085	57.085	2.5
10	enc	enc07	old31	8	1	915	0	59.584	62.584	1.5
11	ctl	ctl01	nan	8	1	415	0	64.084	67.084	1.5
12	ctl	ctl02	nan	5	1	615	0	68.583	71.583	0.5
13	enc	enc08	old49	6	1	395	0	72.083	75.083	0.5
14	ctl	ctl03	nan	6	1	416	0	75.583	78.583	2
15	enc	enc09	old16	5	1	667	0	80.582	83.582	1.5
16	enc	enc10	old27	6	1	539	0	85.082	88.082	2
17	ctl	ctl04	nan	8	1	688	0	90.081	93.081	7.5
18	enc	enc11	old11	6	1	428	0	100.58	103.58	5
19	enc	enc12	old21	8	1	438	0	108.58	111.579	1.5
20	enc	enc13	old69	5	1	495	0	113.079	116.079	3
21	enc	enc14	old26	9	1	734	0	119.079	122.078	1
22	enc	enc15	old28	9	1	494	0	123.078	126.078	1.5
23	enc	enc16	old32	5	1	621	0	127.578	130.578	8.5
24	enc	enc17	old18	5	1	655	0	139.077	142.077	2
25	enc	enc18	old01	5	1	638	0	144.076	147.076	1
26	ctl	ctl05	nan	8	1	570	0	148.076	151.076	1.5
27	ctl	ctl06	nan	5	1	588	0	152.576	155.575	6.5
28	enc	enc19	old52	8	1	569	0	162.075	165.074	1.5
29	enc	enc20	old72	6	1	420	0	166.574	169.574	6.5
30	enc	enc21	old59	5	1	854	0	176.073	179.073	3.5
31	ctl	ctl07	nan	5	1	685	0	182.573	185.572	8
32	enc	enc22	old70	6	1	530	0	193.572	196.571	13
33	enc	enc23	old10	5	1	692	0	209.57	212.57	1
34	ctl	ctl08	nan	6	1	423	0	213.57	216.569	2.5
35	enc	enc24	old12	8	1	768	0	219.069	222.069	1.5
36	enc	enc25	old46	5	1	898	0	223.569	226.569	3.5
37	enc	enc26	old55	9	1	779	0	230.068	233.068	2
38	enc	enc27	old44	8	1	666	0	235.068	238.067	3
39	enc	enc28	old17	9	1	652	0	241.067	244.067	7
40	enc	enc29	old29	8	1	622	0	251.066	254.066	1
41	enc	enc30	old63	6	1	1264	0	255.066	258.066	0.5
42	ctl	ctl09	nan	9	1	693	0	258.565	261.565	1
43	ctl	ctl10	nan	8	1	518	0	262.565	265.565	0.5
44	enc	enc31	old09	9	1	738	0	266.065	269.064	7
45	enc	enc32	old68	6	1	460	0	276.064	279.064	4
46	enc	enc33	old24	9	1	686	0	283.063	286.063	2
47	enc	enc34	old15	6	1	948	0	288.063	291.062	2.5
48	ctl	ctl11	nan	5	1	599	0	293.562	296.562	4.5
49	enc	enc35	old71	5	1	721	0	301.061	304.061	0.5
50	enc	enc36	old04	9	1	681	0	304.561	307.561	3
51	ctl	ctl12	nan	9	1	428	0	310.561	313.56	2
52	enc	enc37	old03	8	1	487	0	315.56	318.56	0.5
53	ctl	ctl13	nan	6	1	585	0	319.06	322.059	1
54	ctl	ctl14	nan	6	1	752	0	323.059	326.059	2.5
55	ctl	ctl15	nan	6	1	358	0	328.559	331.559	6.5
56	ctl	ctl16	nan	9	1	690	0	338.058	341.058	9.5
57	enc	enc38	old42	6	1	464	0	350.557	353.556	3
58	enc	enc39	old62	6	1	677	0	356.556	359.556	3
59	enc	enc40	old61	5	1	699	0	362.556	365.555	1
60	enc	enc41	old75	6	1	644	0	366.555	369.555	2
61	enc	enc42	old57	9	1	673	0	371.555	374.554	1
62	enc	enc43	old14	8	1	722	0	375.554	378.554	0.5
63	enc	enc44	old35	9	1	805	0	379.054	382.054	2.5
64	enc	enc45	old19	8	1	704	0	384.554	387.553	8.5
65	enc	enc46	old36	9	1	431	0	396.052	399.052	5.5
66	enc	enc47	old39	6	1	787	0	404.552	407.551	2
67	enc	enc48	old13	6	1	432	0	409.551	412.551	6
68	enc	enc49	old40	8	1	433	0	418.55	421.55	6
69	enc	enc50	old50	9	1	582	0	427.549	430.549	1.5
70	enc	enc51	old07	6	1	714	0	432.049	435.049	2
71	ctl	ctl17	nan	8	1	434	0	437.049	440.048	1.5
72	enc	enc52	old41	5	1	433	0	441.548	444.548	4
73	ctl	ctl18	nan	9	1	597	0	448.547	451.547	0.5
74	ctl	ctl19	nan	8	1	490	0	452.047	455.047	6
75	ctl	ctl20	nan	5	1	435	0	461.046	464.046	0.5
76	enc	enc53	old58	9	1	691	0	464.546	467.546	2.5
77	enc	enc54	old45	8	1	436	0	470.045	473.045	1.5
78	enc	enc55	old65	8	1	661	0	474.545	477.545	2.5
79	enc	enc56	old37	6	1	436	0	480.044	483.044	5.5
80	ctl	ctl21	nan	5	1	562	0	488.544	491.543	4.5
81	enc	enc57	old53	9	1	887	0	496.043	499.043	2.5
82	ctl	ctl22	nan	8	1	549	0	501.542	504.542	6.5
83	enc	enc58	old76	9	1	478	0	511.042	514.041	6.5
84	ctl	ctl23	nan	9	1	684	0	520.541	523.54	1.5
85	ctl	ctl24	nan	8	1	478	0	525.04	528.04	4.5
86	ctl	ctl25	nan	9	1	600	0	532.54	535.539	1.5
87	ctl	ctl26	nan	5	1	524	0	537.039	540.039	0.5
88	enc	enc59	old60	5	1	439	0	540.539	543.538	10.5
89	ctl	ctl27	nan	6	1	631	0	554.037	557.037	4.5
90	ctl	ctl28	nan	6	1	592	0	561.537	564.536	2
91	enc	enc60	old56	8	1	940	0	566.536	569.536	1.5
92	ctl	ctl29	nan	9	1	554	0	571.036	574.036	12.5
93	enc	enc61	old05	8	1	411	0	586.534	589.534	2
94	enc	enc62	old33	5	1	670	0	591.534	594.534	1
95	enc	enc63	old73	8	1	803	0	595.534	598.533	4
96	ctl	ctl30	nan	8	1	789	0	602.533	605.533	0.5
97	enc	enc64	old67	9	1	711	0	606.033	609.032	4
98	enc	enc65	old66	8	1	614	0	613.032	616.032	3.5
99	enc	enc66	old74	8	1	585	0	619.531	622.531	1
100	ctl	ctl31	nan	8	1	444	0	623.531	626.531	0.5
101	ctl	ctl32	nan	5	1	480	0	627.031	630.03	2.5
102	enc	enc67	old08	5	1	443	0	632.53	635.53	0.5
103	ctl	ctl33	nan	9	1	499	0	636.03	639.029	9
104	ctl	ctl34	nan	9	1	669	0	648.029	651.028	2
105	ctl	ctl35	nan	6	1	605	0	653.028	656.028	0.5
106	enc	enc68	old02	9	1	615	0	656.528	659.527	2
107	ctl	ctl36	nan	6	1	653	0	661.527	664.527	4.5
108	ctl	ctl37	nan	5	1	425	0	669.027	672.026	4.5
109	ctl	ctl38	nan	6	1	514	0	676.526	679.526	3.5
110	enc	enc69	old38	5	1	605	0	683.025	686.025	1.5
111	enc	enc70	old43	9	1	521	0	687.525	690.525	4.5
112	enc	enc71	old30	8	1	604	0	695.024	698.024	0.5
113	enc	enc72	old23	6	1	463	0	698.524	701.523	0.5
114	enc	enc73	old78	9	1	928	0	702.023	705.023	5
115	ctl	ctl39	nan	9	1	448	0	710.023	713.022	4.5
116	enc	enc74	old47	5	1	716	0	717.522	720.522	5.5
117	enc	enc75	old51	6	1	500	0	726.021	729.021	1
118	enc	enc76	old22	5	1	520	0	730.021	733.02	0.5
119	enc	enc77	old34	5	1	789	0	733.52	736.52	13.5
120	enc	enc78	old25	8	1	1276	0			
