trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	stim_onset	fix_onset	fix_duration
1	ctl	ctl0	nan	9	1	741	0	5.045	8.045	3
2	enc	enc00	nan	5	1	862	0	11.044	14.044	2
3	enc	enc000	nan	9	1	623	0	16.044	19.044	1
4	ctl	ctl01	nan	6	1	956	0	20.044	23.043	8
5	enc	enc01	old53	8	1	852	0	31.043	34.042	7.5
6	enc	enc02	old10	5	1	705	0	41.542	44.541	0.5
7	enc	enc03	old60	5	1	886	0	45.041	48.041	6
8	enc	enc04	old43	6	1	963	0	54.041	57.04	2
9	enc	enc05	old46	5	1	959	0	59.04	62.04	2
10	enc	enc06	old69	9	1	748	0	64.04	67.04	4
11	ctl	ctl02	nan	5	1	734	0	71.039	74.039	2.5
12	ctl	ctl03	nan	6	1	536	0	76.539	79.538	1.5
13	ctl	ctl04	nan	6	1	557	0	81.038	84.038	5
14	ctl	ctl05	nan	9	1	627	0	89.038	92.037	1
15	enc	enc07	old65	6	1	730	0	93.037	96.037	3
16	enc	enc08	old03	8	1	873	0	99.037	102.036	3
17	ctl	ctl06	nan	9	1	616	0	105.036	108.036	2.5
18	enc	enc09	old40	9	1	663	0	110.536	113.535	6.5
19	enc	enc10	old08	5	1	692	0	120.035	123.035	2.5
20	enc	enc11	old29	9	1	686	0	125.534	128.534	2
21	enc	enc12	old33	5	1	538	0	130.534	133.534	4.5
22	enc	enc13	old68	8	1	681	0	138.033	141.033	4.5
23	enc	enc14	old78	8	1	734	0	145.533	148.532	2.5
24	enc	enc15	old67	9	1	525	0	151.032	154.032	1
25	enc	enc16	old74	8	1	785	0	155.032	158.032	1.5
26	enc	enc17	old11	5	1	973	0	159.531	162.531	4
27	ctl	ctl07	nan	5	1	465	0	166.531	169.531	3
28	ctl	ctl08	nan	8	1	965	0	172.53	175.53	1
29	enc	enc18	old34	8	1	443	0	176.53	179.53	1
30	enc	enc19	old17	8	1	641	0	180.53	183.529	0.5
31	enc	enc20	old18	5	1	1133	0	184.029	187.029	3.5
32	enc	enc21	old72	9	1	556	0	190.529	193.528	4.5
33	enc	enc22	old23	9	1	508	0	198.028	201.028	9.5
34	ctl	ctl09	nan	8	1	724	0	210.527	213.527	3.5
35	enc	enc23	old01	6	1	520	0	217.026	220.026	4
36	ctl	ctl10	nan	9	1	468	0	224.026	227.026	4
37	enc	enc24	old19	8	1	509	0	231.025	234.025	1
38	enc	enc25	old47	8	1	469	0	235.025	238.025	6
39	enc	enc26	old15	9	1	439	0	244.024	247.024	6.5
40	enc	enc27	old50	5	1	608	0	253.523	256.523	2
41	enc	enc28	old37	6	1	762	0	258.523	261.523	1.5
42	enc	enc29	old44	9	1	419	0	263.022	266.022	2.5
43	enc	enc30	old51	8	1	704	0	268.522	271.522	4.5
44	enc	enc31	old39	6	1	588	0	276.021	279.021	0.5
45	enc	enc32	old13	6	1	580	0	279.521	282.521	1
46	ctl	ctl11	nan	6	1	470	0	283.521	286.52	1.5
47	enc	enc33	old09	9	1	788	0	288.02	291.02	2
48	enc	enc34	old59	8	1	910	0	293.02	296.02	4
49	ctl	ctl12	nan	6	1	526	0	300.019	303.019	2
50	enc	enc35	old02	9	1	620	0	305.019	308.019	2.5
51	enc	enc36	old63	8	1	770	0	310.518	313.518	2
52	enc	enc37	old22	9	1	668	0	315.518	318.518	14.5
53	enc	enc38	old77	6	1	719	0	333.016	336.016	4
54	enc	enc39	old25	5	1	939	0	340.016	343.015	1.5
55	ctl	ctl13	nan	5	1	522	0	344.515	347.515	1
56	enc	enc40	old24	6	1	474	0	348.515	351.515	3
57	ctl	ctl14	nan	9	1	989	0	354.515	357.514	5.5
58	ctl	ctl15	nan	8	1	475	0	363.014	366.013	2
59	ctl	ctl16	nan	9	1	428	0	368.013	371.013	2.5
60	enc	enc41	old41	6	1	566	0	373.513	376.513	3
61	enc	enc42	old38	8	1	581	0	379.512	382.512	3
62	enc	enc43	old30	9	1	476	0	385.512	388.512	2
63	enc	enc44	old66	5	1	784	0	390.511	393.511	5
64	enc	enc45	old54	6	1	745	0	398.511	401.51	4.5
65	enc	enc46	old64	9	1	606	0	406.01	409.01	10.5
66	ctl	ctl17	nan	8	1	521	0	419.509	422.509	2.5
67	enc	enc47	old73	6	1	477	0	425.008	428.008	2.5
68	enc	enc48	old31	9	1	796	0	430.508	433.508	6
69	ctl	ctl18	nan	5	1	655	0	439.507	442.507	3.5
70	ctl	ctl19	nan	5	1	478	0	446.007	449.006	1.5
71	enc	enc49	old26	6	1	686	0	450.506	453.506	2.5
72	ctl	ctl20	nan	8	1	589	0	456.006	459.005	4
73	ctl	ctl21	nan	9	1	586	0	463.005	466.005	2
74	enc	enc50	old06	8	1	516	0	468.005	471.004	3
75	enc	enc51	old56	9	1	642	0	474.004	477.004	3
76	ctl	ctl22	nan	8	1	660	0	480.004	483.003	4
77	enc	enc52	old45	8	1	721	0	487.003	490.003	0.5
78	enc	enc53	old14	9	1	481	0	490.503	493.502	8
79	ctl	ctl23	nan	9	1	716	0	501.502	504.501	3
80	ctl	ctl24	nan	6	1	457	0	507.501	510.501	0.5
81	enc	enc54	old48	5	1	414	0	511.001	514.001	1.5
82	enc	enc55	old32	8	1	678	0	515.5	518.5	4
83	enc	enc56	old36	5	1	550	0	522.5	525.5	5
84	ctl	ctl25	nan	6	1	467	0	530.499	533.499	7.5
85	enc	enc57	old70	6	1	812	0	540.998	543.998	1
86	ctl	ctl26	nan	6	1	581	0	544.998	547.998	1.5
87	ctl	ctl27	nan	9	1	473	0	549.498	552.497	0.5
88	enc	enc58	old20	5	1	484	0	552.997	555.997	1.5
89	enc	enc59	old75	6	1	476	0	557.497	560.497	2
90	enc	enc60	old52	8	1	495	0	562.496	565.496	1
91	ctl	ctl28	nan	5	1	530	0	566.496	569.496	5
92	ctl	ctl29	nan	8	1	468	0	574.495	577.495	2
93	ctl	ctl30	nan	9	1	464	0	579.495	582.495	5.5
94	ctl	ctl31	nan	6	1	447	0	587.994	590.994	0.5
95	enc	enc61	old27	5	1	595	0	591.494	594.494	8
96	ctl	ctl32	nan	5	1	559	0	602.493	605.493	1
97	enc	enc62	old61	5	1	2	0	606.493	609.492	0.5
98	ctl	ctl33	nan	5	1	571	0	609.992	612.992	3.5
99	enc	enc63	old04	5	1	2	0	616.492	619.491	1.5
100	enc	enc64	old07	9	1	595	0	620.991	623.991	2.5
101	enc	enc65	old58	9	1	507	0	626.491	629.491	9.5
102	enc	enc66	old76	5	1	563	0	638.99	641.989	0.5
103	enc	enc67	old55	8	1	621	0	642.489	645.489	1
104	ctl	ctl34	nan	8	3	13	0	646.489	649.489	3
105	enc	enc68	old28	6	1	472	0	652.489	655.488	1
106	enc	enc69	old05	6	1	521	0	656.488	659.488	2
107	ctl	ctl35	nan	8	1	684	0	661.488	664.487	0.5
108	ctl	ctl36	nan	6	1	630	0	664.987	667.987	2
109	enc	enc70	old62	5	1	3	0	669.987	672.987	8.5
110	ctl	ctl37	nan	5	1	2	0	681.486	684.486	1.5
111	enc	enc71	old49	6	1	393	0	685.986	688.985	1
112	enc	enc72	old12	8	1	655	0	689.985	692.985	1
113	enc	enc73	old42	9	3	2	0	693.985	696.985	4
114	enc	enc74	old21	8	1	824	0	700.984	703.984	9.5
115	enc	enc75	old71	9	1	666	0	713.483	716.483	4.5
116	ctl	ctl38	nan	8	1	537	0	720.983	723.982	0.5
117	ctl	ctl39	nan	9	1	561	0	724.482	727.482	4
118	enc	enc76	old57	6	1	611	0	731.482	734.481	1
119	enc	enc77	old35	5	1	492	0	735.481	738.481	11.5
120	enc	enc78	old16	6	1	566	0			
