,trialnumber,category,trialcode,oldnumber,correctsource,stim_resp,stim_rt,stim_acc,onset,fix_onset,fix_duration
0,1,enc,enc00,,8,2,2255,0,0.11,3.109,4.5
1,2,enc,enc000,,9,2,2048,0,7.609,10.609,0.5
2,3,ctl,ctl0,,8,2,2936,0,11.109,14.108,0.5
3,4,enc,enc01,old64,6,2,2629,0,14.608,17.608,6.5
4,5,enc,enc02,old01,5,2,1305,0,24.108,27.107,2
5,6,enc,enc03,old16,6,2,1092,0,29.107,32.107,1.5
6,7,enc,enc04,old68,9,2,1161,0,33.607,36.606,1
7,8,enc,enc05,old62,8,2,1622,0,37.606,40.606,8.5
8,9,enc,enc06,old46,9,2,1726,0,49.105,52.105,2
9,10,enc,enc07,old31,8,2,1403,0,54.105,57.105,2.5
10,11,ctl,ctl01,,8,2,800,0,59.604,62.604,1.5
11,12,ctl,ctl02,,5,2,1484,0,64.104,67.104,1.5
12,13,enc,enc08,old48,6,2,1391,0,68.604,71.603,0.5
13,14,ctl,ctl03,,6,2,1373,0,72.103,75.103,0.5
14,15,enc,enc09,old25,5,2,1621,0,75.603,78.603,2
15,16,enc,enc10,old35,6,2,1223,0,80.603,83.602,1.5
16,17,ctl,ctl04,,8,2,1479,0,85.102,88.102,2
17,18,enc,enc11,old02,6,2,1364,0,90.102,93.102,7.5
18,19,enc,enc12,old20,8,2,1887,0,100.601,103.601,5
19,20,enc,enc13,old77,5,2,2069,0,108.6,111.6,1.5
20,21,enc,enc14,old18,9,2,2553,0,113.1,116.1,3
21,22,enc,enc15,old27,9,2,2378,0,119.099,122.099,1
22,23,enc,enc16,old28,5,2,1384,0,123.099,126.099,1.5
23,24,enc,enc17,old24,5,2,1113,0,127.599,130.598,8.5
24,25,enc,enc18,old04,5,2,1037,0,139.098,142.097,2
25,26,ctl,ctl05,,8,2,789,0,144.097,147.097,1
26,27,ctl,ctl06,,5,2,2972,0,148.097,151.097,1.5
27,28,enc,enc19,old52,8,2,1722,0,152.597,155.596,6.5
28,29,enc,enc20,old70,6,2,1082,0,162.096,165.095,1.5
29,30,enc,enc21,old65,5,2,868,0,166.595,169.595,6.5
30,31,ctl,ctl07,,5,2,743,0,176.095,179.094,3.5
31,32,enc,enc22,old66,6,2,2042,0,182.594,185.594,8
32,33,enc,enc23,old09,5,2,635,0,193.593,196.593,13
33,34,ctl,ctl08,,6,2,564,0,209.592,212.591,1
34,35,enc,enc24,old05,8,2,1125,0,213.591,216.591,2.5
35,36,enc,enc25,old47,5,2,1113,0,219.091,222.091,1.5
36,37,enc,enc26,old60,9,2,1304,0,223.59,226.59,3.5
37,38,enc,enc27,old44,8,2,1573,0,230.09,233.09,2
38,39,enc,enc28,old22,9,2,1229,0,235.089,238.089,3
39,40,enc,enc29,old36,8,2,1434,0,241.089,244.089,7
40,41,enc,enc30,old55,6,2,1011,0,251.088,254.088,1
41,42,ctl,ctl09,,9,2,654,0,255.088,258.087,0.5
42,43,ctl,ctl10,,8,2,635,0,258.587,261.587,1
43,44,enc,enc31,old12,9,2,1810,0,262.587,265.587,0.5
44,45,enc,enc32,old67,6,2,1500,0,266.087,269.087,7
45,46,enc,enc33,old19,9,2,1131,0,276.086,279.086,4
46,47,enc,enc34,old26,6,2,1872,0,283.085,286.085,2
47,48,ctl,ctl11,,5,2,702,0,288.085,291.085,2.5
48,49,enc,enc35,old71,5,2,1226,0,293.584,296.584,4.5
49,50,enc,enc36,old08,9,2,942,0,301.084,304.084,0.5
50,51,ctl,ctl12,,9,2,1333,0,304.583,307.583,3
51,52,enc,enc37,old07,8,2,1783,0,310.583,313.583,2
52,53,ctl,ctl13,,6,2,953,0,315.583,318.582,0.5
53,54,ctl,ctl14,,6,2,974,0,319.082,322.082,1
54,55,ctl,ctl15,,6,2,733,0,323.082,326.082,2.5
55,56,ctl,ctl16,,9,2,633,0,328.581,331.581,6.5
56,57,enc,enc38,old45,6,2,1306,0,338.081,341.08,9.5
57,58,enc,enc39,old54,6,2,765,0,350.58,353.579,3
58,59,enc,enc40,old61,5,2,1040,0,356.579,359.579,3
59,60,enc,enc41,old74,6,2,1588,0,362.579,365.578,1
