trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	stim_onset	fix_onset	fix_duration
1	enc	enc00	nan	5	2	1083	0	10.134	13.134	4.5
2	enc	enc000	nan	9	2	800	0	17.634	20.633	4.5
3	ctl	ctl0	nan	9	2	1346	0	25.133	28.133	0.5
4	enc	enc01	old61	8	2	709	0	28.632	31.632	0.5
5	ctl	ctl01	nan	6	2	1248	0	32.132	35.132	4.5
6	enc	enc02	old10	5	2	772	0	39.631	42.631	2
7	enc	enc03	old62	5	2	685	0	44.631	47.631	3.5
8	ctl	ctl02	nan	5	2	1928	0	51.13	54.13	1.5
9	ctl	ctl03	nan	6	2	865	0	55.63	58.63	2.5
10	enc	enc04	old75	6	2	742	0	61.129	64.129	1
11	enc	enc05	old68	5	2	783	0	65.129	68.129	3
12	ctl	ctl04	nan	6	2	907	0	71.129	74.128	4
13	enc	enc06	old46	9	2	977	0	78.128	81.128	0.5
14	ctl	ctl05	nan	9	2	726	0	81.628	84.627	2.5
15	enc	enc07	old55	6	2	1369	0	87.127	90.127	2.5
16	ctl	ctl06	nan	9	2	1261	0	92.627	95.626	3.5
17	ctl	ctl07	nan	5	2	935	0	99.126	102.126	1
18	enc	enc08	old05	8	2	989	0	103.126	106.125	2
19	enc	enc09	old70	9	2	853	0	108.125	111.125	0.5
20	enc	enc10	old04	5	2	1369	0	111.625	114.624	4.5
21	enc	enc11	old39	9	2	963	0	119.124	122.124	7
22	enc	enc12	old29	5	2	622	0	129.123	132.123	0.5
23	enc	enc13	old43	8	2	752	0	132.623	135.622	2
24	enc	enc14	old48	8	2	1093	0	137.622	140.622	1
25	enc	enc15	old49	9	2	798	0	141.622	144.622	1
26	enc	enc16	old52	8	2	819	0	145.622	148.621	3.5
27	enc	enc17	old06	5	2	1230	0	152.121	155.121	1
28	ctl	ctl08	nan	8	2	1078	0	156.121	159.12	2
29	enc	enc18	old37	8	2	845	0	161.12	164.12	0.5
30	enc	enc19	old17	8	2	774	0	164.62	167.62	3.5
31	enc	enc20	old22	5	2	1130	0	171.119	174.119	7
32	ctl	ctl09	nan	8	2	756	0	181.118	184.118	2.5
33	enc	enc21	old40	9	2	791	0	186.618	189.617	5
34	enc	enc22	old24	9	2	2221	0	194.617	197.617	1
35	enc	enc23	old07	6	2	530	0	198.617	201.616	10
36	enc	enc24	old25	8	2	744	0	211.615	214.615	1.5
37	enc	enc25	old77	8	2	770	0	216.115	219.115	0.5
38	enc	enc26	old20	9	2	734	0	219.615	222.614	2.5
39	enc	enc27	old67	5	2	706	0	225.114	228.114	3.5
40	enc	enc28	old35	6	2	628	0	231.614	234.613	1
41	ctl	ctl10	nan	9	2	1096	0	235.613	238.613	0.5
