	Condition	CorrectSource	Stim_RT
0	Enc	6	1.763
1	Enc	5	1.265
2	Enc	6	1.613
3	Enc	9	1.049
4	Enc	8	1.283
5	Enc	9	1.142
6	Enc	8	1.531
7	CTL	8	0.735
8	CTL	5	0.625
9	Enc	6	2.064
10	CTL	6	0.955
11	Enc	5	1.233
12	Enc	6	1.558
13	CTL	8	0.531
14	Enc	6	1.197
15	Enc	8	0.899
16	Enc	5	0.971
17	Enc	9	2.01
18	Enc	9	1.163
19	Enc	5	0.621
20	Enc	5	1.624
21	Enc	5	1.304
22	CTL	8	0.752
23	CTL	5	0.619
24	Enc	8	1.161
25	Enc	6	1.151
26	Enc	5	1.217
27	CTL	5	0.56
28	Enc	6	1.244
29	Enc	5	1.141
30	CTL	6	0.619
31	Enc	8	1.629
32	Enc	5	1.031
33	Enc	9	1.372
34	Enc	8	1.725
35	Enc	9	1.714
36	Enc	8	1.632
37	Enc	6	1.4
38	CTL	9	0.695
39	CTL	8	0.63
40	Enc	9	1.407
41	Enc	6	1.324
42	Enc	9	1.31
43	Enc	6	1.24
44	CTL	5	0.726
45	Enc	5	1.598
46	Enc	9	1.301
47	CTL	9	0.771
48	Enc	8	1.338
49	CTL	6	0.691
50	CTL	6	0.593
51	CTL	6	0.481
52	CTL	9	0.582
53	Enc	6	1.768
54	Enc	6	1.324
55	Enc	5	2.002
56	Enc	6	1.213
57	Enc	9	1.632
58	Enc	8	1.107
59	Enc	9	1.381
60	Enc	8	1.934
61	Enc	9	1.13
62	Enc	6	1.564
63	Enc	6	1.066
64	Enc	8	1.761
65	Enc	9	1.227
66	Enc	6	1.69
67	CTL	8	0.707
68	Enc	5	1.803
69	CTL	9	0.906
70	CTL	8	0.631
71	CTL	5	0.482
72	Enc	9	1.471
73	Enc	8	1.893
74	Enc	8	2.109
75	Enc	6	1.877
76	CTL	5	0.708
77	Enc	9	1.258
78	CTL	8	0.674
79	Enc	9	1.605
80	CTL	9	0.63
81	CTL	8	0.674
82	CTL	9	0.503
83	CTL	5	0.435
84	Enc	5	1.856
85	CTL	6	0.834
86	CTL	6	0.584
87	Enc	8	1.11
88	CTL	9	0.502
89	Enc	8	1.419
90	Enc	5	1.515
91	Enc	8	1.688
92	CTL	8	0.747
93	Enc	9	1.644
94	Enc	8	1.712
95	Enc	8	1.191
96	CTL	8	0.581
97	CTL	5	0.627
98	Enc	5	1.832
99	CTL	9	0.68
100	CTL	9	0.522
101	CTL	6	0.362
102	Enc	9	1.601
103	CTL	6	1.129
104	CTL	5	0.536
105	CTL	6	0.612
106	Enc	5	0.499
107	Enc	9	1.832
108	Enc	8	1.51
109	Enc	6	0.894
110	Enc	9	1.518
111	CTL	9	0.682
112	Enc	5	1.74
113	Enc	6	1.832
114	Enc	5	1.57
115	Enc	5	1.134
116	Enc	8	2.365
