	Condition	CorrectSource	Stim_RT
0	CTL	6	0.829
1	Enc	8	0.81
2	Enc	5	0.722
3	Enc	5	0.703
4	Enc	6	0.961
5	Enc	5	0.719
6	Enc	9	0.839
7	CTL	5	0.673
8	CTL	6	0.621
9	CTL	6	0.641
10	CTL	9	0.625
11	Enc	6	0.857
12	Enc	8	0.709
13	CTL	9	0.82
14	Enc	9	0.771
15	Enc	5	0.711
16	Enc	9	0.647
17	Enc	5	0.555
18	Enc	8	0.725
19	Enc	8	0.931
20	Enc	9	1.104
21	Enc	8	0.837
22	Enc	5	0.873
23	CTL	5	1.033
24	CTL	8	0.749
25	Enc	8	1.002
26	Enc	8	0.718
27	Enc	5	0.666
28	Enc	9	0.788
29	Enc	9	0.829
30	CTL	8	0.667
31	Enc	6	1.107
32	CTL	9	0.972
33	Enc	8	1.095
34	Enc	8	0.875
35	Enc	9	1.031
36	Enc	5	0.701
37	Enc	6	0.733
38	Enc	9	1.014
39	Enc	8	0.95
40	Enc	6	0.666
41	Enc	6	0.751
42	CTL	6	0.817
43	Enc	9	0.677
44	Enc	8	0.716
45	CTL	6	0.574
46	Enc	9	0.658
47	Enc	8	0.675
48	Enc	9	0.727
49	Enc	6	0.673
50	Enc	5	0.594
51	CTL	5	0.83
52	Enc	6	0.685
53	CTL	9	0.618
54	CTL	8	0.759
55	CTL	9	0.707
56	Enc	6	0.693
57	Enc	8	0.641
58	Enc	9	0.712
59	Enc	5	0.725
60	Enc	6	0.639
61	Enc	9	0.904
62	CTL	8	0.606
63	Enc	6	0.587
64	Enc	9	0.711
65	CTL	5	0.483
66	CTL	5	0.656
67	Enc	6	0.713
68	CTL	8	0.633
69	CTL	9	0.621
70	Enc	8	0.704
71	Enc	9	0.65
72	CTL	8	0.576
73	Enc	8	0.919
74	Enc	9	0.627
75	CTL	9	1.356
76	CTL	6	0.74
77	Enc	5	0.499
78	Enc	8	0.612
79	Enc	5	0.5
80	CTL	6	0.583
81	Enc	6	0.879
82	CTL	6	0.813
83	CTL	9	0.577
84	Enc	5	0.64
85	Enc	6	0.833
86	Enc	8	0.537
87	CTL	5	0.666
88	CTL	8	0.663
89	CTL	9	0.63
90	CTL	6	0.616
91	Enc	5	0.548
92	CTL	5	0.621
93	Enc	5	0.453
94	CTL	5	0.513
95	Enc	5	0.363
96	Enc	9	0.916
97	Enc	9	0.572
98	Enc	5	0.615
99	Enc	8	1.415
100	CTL	8	0.545
101	Enc	6	0.533
102	Enc	6	0.347
103	CTL	8	0.503
104	CTL	6	0.409
105	Enc	5	0.531
106	CTL	5	0.668
107	Enc	6	0.59
108	Enc	8	0.486
109	Enc	9	0.499
110	Enc	8	0.559
111	Enc	9	0.843
112	CTL	8	0.514
113	CTL	9	0.585
114	Enc	6	0.666
115	Enc	5	1.133
116	Enc	6	0.921
