	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT	Condition	CorrectSource	Stim_RT
0	OLD	kitchen_tea cup and saucer.bmp	Old37	1	1	6.041	9	4118	0	6	1.0270000000000001
1	New	kitchen_ramekin.bmp	New13	1	2	3.536	9	4118	1	8	1.23
2	New	kitchen_fork_old.bmp	New18	1	2	1.8730000000000002	9	4118	1	5	1.3330000000000002
3	OLD	musical_acoustic guitar_new.bmp	Old42	1	1	2.3169999999999997	6	3536	1	5	1.084
4	OLD	musical_triangle.bmp	Old49	1	1	2.354	6	1443	1	6	1.319
5	New	food_bread.bmp	New28	0	1	6.207999999999999	5	3239	1	5	1.3330000000000002
6	New	musical_tambourine_new.bmp	New06	0	1	2.26	6	3825	1	9	1.525
7	New	sporting_golf ball.bmp	New19	1	2	3.832	6	3825	0	5	1.188
8	New	musical_bongo drum.bmp	New23	1	2	1.781	6	3825	0	6	1.0070000000000001
9	New	animal_dolphin_old.bmp	New09	1	2	3.3089999999999997	6	3825	0	6	0.917
10	OLD	food_cracker02.bmp	Old18	1	1	1.6880000000000002	8	2332	0	9	0.986
11	New	animal_horse.bmp	New20	1	2	2.477	8	2332	1	6	0.927
12	OLD	sporting_footballhelmet.bmp	Old57	1	1	1.857	9	2302	1	8	0.987
13	OLD	food_toast.bmp	Old26	1	1	1.7369999999999999	8	626	0	9	1.16
14	New	sporting_baseball bat_new.bmp	New08	1	2	3.201	8	626	1	9	1.22
15	New	sporting_windsurf.bmp	New31	1	2	4.184	8	626	1	5	1.1
16	OLD	hard_musical_recorder.bmp	Old40	1	1	1.9269999999999998	6	1137	1	9	0.9259999999999999
17	OLD	food_croissant01.bmp	Old19	1	1	1.5859999999999999	5	787	1	5	0.9890000000000001
18	OLD	food_candy.bmp	Old16	1	1	1.3130000000000002	9	532	1	8	1.102
19	OLD	vegie_garlic01a.bmp	Old74	1	1	1.213	9	452	1	8	1.072
20	OLD	fruit_pineapple_old.bmp	Old70	0	2	5.048	9	452	1	9	1.5630000000000002
21	OLD	food_frenchfries.bmp	Old20	1	1	1.534	6	2471	1	8	1.0290000000000001
22	New	animal_ostrich.bmp	New26	1	2	1.54	6	2471	1	5	1.028
23	OLD	sporting_soccer ball_new.bmp	Old65	1	1	1.5019999999999998	6	809	0	5	1.024
24	OLD	sporting_boxing_gloves.bmp	Old56	1	1	2.767	5	872	0	8	0.76
25	OLD	food_pecan02.bmp	Old21	1	1	1.516	9	479	1	8	1.195
26	OLD	animal_siamese cat.bmp	Old12	1	1	1.466	5	479	1	8	1.068
27	OLD	kitchen_big cooking pot.bmp	Old28	1	1	1.57	5	1483	1	5	1.172
28	OLD	musical_harp_new.bmp	Old43	1	1	1.1420000000000001	8	576	1	9	1.4509999999999998
29	OLD	sporting_Badminton Racquet.bmp	Old54	1	1	1.176	6	568	1	9	0.946
30	New	kitchen_garlic press.bmp	New07	1	2	2.1519999999999997	6	568	0	8	0.965
31	New	kitchen_spatula_old.bmp	New37	0	1	2.696	5	1700	1	6	1.042
32	OLD	animal_dalmation_old.bmp	Old04	1	1	1.391	6	1102	0	9	0.992
33	New	sporting_weighlifting.bmp	New25	1	2	1.641	6	1102	1	8	1.328
