	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond
0	OLD	kitchen_scrubbing brush.bmp	Old36	0	2	5.556	False	0	14.542	3.0	17.551	6.5	Old62	Enc01
1	OLD	food_chocolatemilk.bmp	Old17	1	1	2.508	8.0	799	24.054000000000002	3.0	27.063000000000002	2.0	Old08	Enc02
2	New	animal_pigeon.bmp	New32	1	2	3.8110000000000004	8.0	799	29.052	3.0	32.061	1.5	Old22	Enc03
3	OLD	animal_siamese cat.bmp	Old12	0	2	2.089	8.0	799	33.549	3.0	36.558	1.0	Old70	Enc04
4	OLD	sporting_mini-trampoline.bmp	Old61	1	1	2.356	6.0	877	37.561	3.0	40.57	8.5	Old65	Enc05
5	OLD	musical_triangle.bmp	Old49	1	1	1.416	9.0	542	49.062	3.0	52.07100000000001	2.0	Old40	Enc06
6	New	animal_gorilla.bmp	New15	0	1	1.87	8.0	506	54.06	3.0	57.068999999999996	2.5	Old36	Enc07
7	OLD	food_baguette01.bmp	Old14	1	1	1.2109999999999999	8.0	657	59.56	3.0	62.568000000000005	1.5	False	CTL01
8	OLD	sporting_fishing rod.bmp	Old59	1	1	2.1719999999999997	9.0	1900	64.056	3.0	67.065	1.5	False	CTL02
9	OLD	kitchen_martini glass.bmp	Old32	1	1	1.071	9.0	490	68.553	3.0	71.562	0.5	Old46	Enc08
10	New	food_pizza.bmp	New22	1	2	1.867	9.0	490	72.063	3.0	75.072	0.5	False	CTL03
11	OLD	musical_clarinet_new.bmp	Old44	1	1	1.3019999999999998	6.0	1441	75.574	3.0	78.583	2.0	Old21	Enc09
12	OLD	food_shellpasta.bmp	Old25	1	1	1.197	8.0	948	80.572	3.0	83.581	1.5	Old35	Enc10
13	OLD	sporting_bicycle_old.bmp	Old55	1	1	1.22	5.0	1666	85.069	3.0	88.07799999999997	2.0	False	CTL04
14	OLD	fruit_pineapple_old.bmp	Old70	1	1	0.8540000000000001	9.0	546	90.06700000000002	3.0	93.076	7.5	Old10	Enc11
15	New	musical_bongo drum.bmp	New23	1	2	2.113	9.0	546	100.565	3.0	103.574	5.0	Old20	Enc12
16	New	food_walnut01c.bmp	New34	1	2	4.0680000000000005	9.0	546	108.572	3.0	111.581	1.5	Old75	Enc13
17	New	food_drink.bmp	New05	1	2	2.008	9.0	546	113.069	3.0	116.07799999999999	3.0	Old25	Enc14
18	New	animal_ostrich.bmp	New26	0	1	2.287	5.0	3194	119.07	3.0	122.079	1.0	Old32	Enc15
19	OLD	sporting_skipping rope.bmp	Old63	1	1	1.176	9.0	561	123.066	3.0	126.075	1.5	Old37	Enc16
20	OLD	sporting_soccer ball_new.bmp	Old65	1	1	0.863	8.0	532	127.56200000000001	3.0	130.571	8.5	Old19	Enc17
21	New	kitchen_toaster_old.bmp	New30	0	1	3.237	6.0	2123	139.063	3.0	142.072	2.0	Old06	Enc18
22	New	sporting_basketball_new.bmp	New14	0	1	0.8759999999999999	8.0	520	144.062	3.0	147.07	1.0	False	CTL05
23	OLD	vegie_carrot.bmp	Old78	1	1	0.816	8.0	438	148.07299999999998	3.0	151.082	1.5	False	CTL06
24	OLD	food_croissant01.bmp	Old19	1	1	1.01	5.0	368	152.57	3.0	155.579	6.5	Old44	Enc19
25	OLD	kitchen_coffee pot.bmp	Old29	1	1	1.167	6.0	1112	162.082	3.0	165.09099999999998	1.5	Old76	Enc20
26	New	kitchen_ramekin.bmp	New13	1	2	2.681	6.0	1112	166.579	3.0	169.588	6.5	Old59	Enc21
27	New	sporting_golf ball.bmp	New19	1	2	1.5319999999999998	6.0	1112	176.09	3.0	179.09900000000002	3.5	False	CTL07
28	OLD	animal_monarch_old.bmp	Old08	1	1	3.988	5.0	468	182.593	3.0	185.602	8.0	Old69	Enc22
29	New	musical_french horn_old.bmp	New12	0	1	2.935	9.0	666	193.593	3.0	196.602	13.0	Old12	Enc23
30	OLD	food_frenchfries.bmp	Old20	1	1	1.1340000000000001	8.0	520	209.59	3.0	212.59900000000002	1.0	False	CTL08
31	OLD	fruit_green grapes.bmp	Old68	1	1	2.897	8.0	597	213.58599999999998	3.0	216.59400000000002	2.5	Old01	Enc24
32	OLD	animal_farm pig.bmp	Old05	1	1	1.275	8.0	391	219.085	3.0	222.09400000000002	1.5	Old42	Enc25
33	New	vegie_pumpkin.bmp	New21	0	1	2.989	6.0	525	223.582	3.0	226.59099999999998	3.5	Old63	Enc26
34	OLD	sporting_americanfootball.bmp	Old53	0	2	2.125	6.0	525	230.085	3.0	233.09400000000002	2.0	Old45	Enc27
35	OLD	musical_harmonica_new.bmp	Old47	1	1	1.4380000000000002	6.0	612	235.083	3.0	238.092	3.0	Old24	Enc28
36	OLD	kitchen_big cooking pot.bmp	Old28	0	2	3.9930000000000003	6.0	612	241.084	3.0	244.093	7.0	Old33	Enc29
37	OLD	animal_zebra_old.bmp	Old13	1	1	1.807	8.0	694	251.081	3.0	254.09	1.0	Old54	Enc30
38	OLD	musical_piano_old.bmp	Old48	1	1	1.912	8.0	634	255.093	3.0	258.10200000000003	0.5	False	CTL09
39	New	animal_giraffe.bmp	New03	0	1	2.199	5.0	439	258.603	3.0	261.612	1.0	False	CTL10
40	New	animal_horse.bmp	New20	1	2	1.364	5.0	439	262.598	3.0	265.607	0.5	Old03	Enc31
41	OLD	kitchen_peppermill.bmp	Old33	1	1	2.283	5.0	623	266.10900000000004	3.0	269.118	7.0	Old74	Enc32
42	OLD	kitchen_tea cup and saucer.bmp	Old37	1	1	1.589	5.0	371	276.105	3.0	279.11400000000003	4.0	Old23	Enc33
43	OLD	food_cracker02.bmp	Old18	1	1	1.186	6.0	1153	283.11	3.0	286.118	2.0	Old26	Enc34
44	New	kitchen_spatula_old.bmp	New37	1	2	1.7380000000000002	6.0	1153	288.108	3.0	291.117	2.5	False	CTL11
45	OLD	vegie_mushroom.bmp	Old76	1	1	1.17	6.0	650	293.607	3.0	296.616	4.5	Old72	Enc35
46	OLD	kitchen_cookie cutter.bmp	Old30	1	1	0.863	9.0	539	301.113	3.0	304.122	0.5	Old09	Enc36
47	OLD	kitchen_ladle.bmp	Old31	1	1	1.4909999999999999	5.0	2799	304.624	3.0	307.633	3.0	False	CTL12
48	OLD	vegie_cauliflower.bmp	Old72	1	1	1.285	5.0	353	310.625	3.0	313.634	2.0	Old13	Enc37
49	OLD	sporting_rollerblade.bmp	Old62	1	1	2.7760000000000002	6.0	1185	315.623	3.0	318.632	0.5	False	CTL13
50	New	vegie_cucumber.bmp	New33	1	2	3.487	6.0	1185	319.134	3.0	322.143	1.0	False	CTL14
51	OLD	animal_lion_new.bmp	Old07	1	1	1.61	6.0	2433	323.14599999999996	3.0	326.155	2.5	False	CTL15
52	OLD	kitchen_wooden spoon_old.bmp	Old39	1	1	1.854	5.0	243	328.645	3.0	331.654	6.5	False	CTL16
53	OLD	vegie_corn02.bmp	Old73	1	1	1.679	8.0	1682	338.157	3.0	341.166	9.5	Old47	Enc38
54	OLD	sporting_hockey stick_old.bmp	Old58	1	1	1.422	9.0	652	350.661	3.0	353.67	3.0	Old61	Enc39
55	New	vegie_broccoli.bmp	New36	1	2	1.464	9.0	652	356.662	3.0	359.671	3.0	Old53	Enc40
56	New	musical_uculele_new.bmp	New39	0	1	2.667	6.0	2480	362.663	3.0	365.67199999999997	1.0	Old66	Enc41
57	New	animal_dolphin_old.bmp	New09	1	2	1.3630000000000002	6.0	2480	366.659	3.0	369.668	2.0	Old58	Enc42
58	OLD	fruit_watermelon_old.bmp	Old71	1	1	1.6019999999999999	5.0	2457	371.657	3.0	374.666	1.0	Old17	Enc43
59	New	kitchen_baking spatula.bmp	New01	1	2	1.67	5.0	2457	375.66900000000004	3.0	378.67800000000017	0.5	Old30	Enc44
60	New	sporting_weighlifting.bmp	New25	1	2	0.9359999999999999	5.0	2457	379.17900000000003	3.0	382.18800000000005	2.5	Old14	Enc45
61	OLD	sporting_boxing_gloves.bmp	Old56	1	1	1.8	6.0	3519	384.67900000000003	3.0	387.68800000000005	8.5	Old31	Enc46
62	OLD	animal_parrot.bmp	Old09	0	2	1.801	6.0	3519	396.18	3.0	399.189	5.5	Old28	Enc47
63	New	fruit_rasberry.bmp	New10	1	2	1.015	6.0	3519	404.689	3.0	407.69800000000004	2.0	Old07	Enc48
64	OLD	food_rawchicken.bmp	Old23	1	1	1.205	9.0	443	409.68699999999995	3.0	412.69599999999997	6.0	Old48	Enc49
65	New	kitchen_garlic press.bmp	New07	1	2	1.415	9.0	443	418.69699999999983	3.0	421.70599999999996	6.0	Old51	Enc50
66	New	animal_seal.bmp	New38	1	2	1.629	9.0	443	427.707	3.0	430.716	1.5	Old04	Enc51
67	OLD	musical_xylophone_old.bmp	Old52	0	2	1.011	9.0	443	432.204	3.0	435.213	2.0	False	CTL17
68	OLD	vegie_radish.bmp	Old77	0	2	1.112	9.0	443	437.202	3.0	440.211	1.5	Old52	Enc52
69	New	food_bread.bmp	New28	1	2	2.185	9.0	443	441.699	3.0	444.708	4.0	False	CTL18
70	OLD	animal_penguin.bmp	Old10	1	1	1.584	5.0	2840	448.70300000000003	3.0	451.712	0.5	False	CTL19
71	New	fruit_granny smith apple.bmp	New16	1	2	1.821	5.0	2840	452.214	3.0	455.223	6.0	False	CTL20
72	OLD	kitchen_plate.bmp	Old35	1	1	2.049	8.0	2415	461.224	3.0	464.233	0.5	Old57	Enc53
73	New	sporting_baseball bat_new.bmp	New08	0	1	1.7730000000000001	9.0	445	464.735	3.0	467.74300000000017	2.5	Old50	Enc54
74	OLD	sporting_footballhelmet.bmp	Old57	1	1	2.17	9.0	666	470.23400000000004	3.0	473.24300000000017	1.5	Old60	Enc55
75	OLD	animal_cheetah.bmp	Old02	1	1	1.228	8.0	491	474.731	3.0	477.74	2.5	Old34	Enc56
76	New	kitchen_kettle_new.bmp	New24	0	1	1.469	8.0	11729	480.231	3.0	483.24	5.5	False	CTL21
77	OLD	musical_harp_new.bmp	Old43	1	1	9.941	9.0	602	488.73900000000003	3.0	491.74800000000005	4.5	Old56	Enc57
78	New	food_cookie01.bmp	New11	1	2	1.6469999999999998	9.0	602	496.245	3.0	499.254	2.5	False	CTL22
79	OLD	food_pecan02.bmp	Old21	1	1	1.443	5.0	377	501.745	3.0	504.754	6.5	Old68	Enc58
80	OLD	fruit_blackberry_new.bmp	Old66	1	1	3.927	8.0	3265	511.25699999999983	3.0	514.266	6.5	False	CTL23
81	OLD	animal_camel_new.bmp	Old01	1	1	1.173	8.0	373	520.768	3.0	523.7769999999998	1.5	False	CTL24
82	New	musical_bagpipes.bmp	New35	1	2	3.9389999999999996	8.0	373	525.265	3.0	528.274	4.5	False	CTL25
83	OLD	sporting_karate clothing.bmp	Old60	1	1	2.908	6.0	919	532.771	3.0	535.78	1.5	False	CTL26
84	New	food_bagel01.bmp	New17	1	2	2.247	6.0	919	537.2669999999998	3.0	540.276	0.5	Old64	Enc59
85	New	kitchen_fork_old.bmp	New18	1	2	1.203	6.0	919	540.778	3.0	543.7869999999998	10.0	False	CTL27
86	OLD	musical_acoustic guitar_new.bmp	Old42	1	1	1.2009999999999998	9.0	1808	554.285	3.0	557.294	4.5	False	CTL28
87	OLD	vegie_green capsicum.bmp	Old75	1	1	1.702	5.0	1314	561.7909999999998	3.0	564.8	2.0	Old55	Enc60
88	OLD	musical_tuba.bmp	Old50	1	1	2.8510000000000004	9.0	600	566.789	3.0	569.798	1.5	False	CTL29
89	OLD	musical_accordion_old.bmp	Old41	0	2	3.222	9.0	600	571.286	3.0	574.295	12.0	Old11	Enc61
90	OLD	sporting_Badminton Racquet.bmp	Old54	1	1	1.395	9.0	579	586.7819999999998	3.0	589.7909999999998	2.0	Old39	Enc62
91	OLD	food_softcheese.bmp	Old24	1	1	1.6019999999999999	6.0	2601	591.78	3.0	594.789	1.0	Old78	Enc63
92	New	musical_zamponia windflute.bmp	New29	1	2	1.598	6.0	2601	595.7919999999998	3.0	598.8009999999998	4.0	False	CTL30
93	New	sporting_flippers.bmp	New02	1	2	1.597	6.0	2601	602.7959999999998	3.0	605.805	0.5	Old71	Enc64
94	OLD	food_toast.bmp	Old26	1	1	1.421	6.0	810	606.307	3.0	609.316	4.0	Old67	Enc65
95	OLD	kitchen_pitcher.bmp	Old34	1	1	1.6230000000000002	6.0	637	613.311	3.0	616.32	3.5	Old73	Enc66
96	OLD	food_pickle01a.bmp	Old22	1	1	1.5859999999999999	6.0	3721	619.814	3.0	622.823	1.0	False	CTL31
97	OLD	hard_musical_recorder.bmp	Old40	1	1	1.339	5.0	444	623.826	3.0	626.835	0.5	False	CTL32
98	OLD	food_candy.bmp	Old16	0	2	1.48	5.0	444	627.336	3.0	630.345	2.5	Old02	Enc67
99	OLD	kitchen_white strainer.bmp	Old38	1	1	2.339	9.0	3916	632.836	3.0	635.845	0.5	False	CTL33
100	OLD	food_bottleofredwine01.bmp	Old15	1	1	3.352	5.0	1034	636.346	3.0	639.355	9.0	False	CTL34
101	OLD	animal_sheep.bmp	Old11	1	1	1.6540000000000001	8.0	667	648.349	3.0	651.3580000000002	2.0	False	CTL35
102	New	fruit_cherry.bmp	Old67	0	2	1.4869999999999999	8.0	667	653.347	3.0	656.3560000000001	0.5	Old05	Enc68
103	OLD	animal_dalmation_old.bmp	Old04	0	2	2.081	8.0	667	656.857	3.0	659.8660000000001	2.0	False	CTL36
104	OLD	fruit_lemon_new.bmp	Old69	0	2	1.2930000000000001	8.0	667	661.8560000000001	3.0	664.865	4.5	False	CTL37
105	New	vegie_snowpea01.bmp	New27	1	2	0.904	8.0	667	669.3610000000001	3.0	672.37	4.5	False	CTL38
106	OLD	musical_violin_old.bmp	Old51	1	1	1.145	9.0	1459	676.867	3.0	679.8760000000002	3.5	Old29	Enc69
107	New	musical_tambourine_new.bmp	New06	1	2	2.702	9.0	1459	683.37	3.0	686.3789999999998	1.5	Old49	Enc70
108	OLD	Kitchen_apron.bmp	Old27	1	1	1.712	5.0	1618	687.867	3.0	690.8760000000002	4.5	Old38	Enc71
109	OLD	animal_chimpanzee.bmp	Old03	1	1	1.32	8.0	490	695.372	3.0	698.3810000000002	0.5	Old18	Enc72
110	OLD	sporting_snow shoes_old.bmp	Old64	1	1	2.412	6.0	2779	698.883	3.0	701.8919999999998	0.5	Old77	Enc73
111	OLD	musical_double bass.bmp	Old45	1	1	1.3769999999999998	9.0	578	702.393	3.0	705.4019999999998	5.0	False	CTL39
112	OLD	musical_drums_old.bmp	Old46	1	1	1.6480000000000001	9.0	413	710.4	3.0	713.409	4.5	Old41	Enc74
113	OLD	vegie_garlic01a.bmp	Old74	1	1	1.306	6.0	428	717.9060000000002	3.0	720.915	5.5	Old43	Enc75
114	OLD	animal_frog.bmp	Old06	1	1	1.3130000000000002	5.0	339	726.415	3.0	729.424	1.0	Old15	Enc76
115	New	sporting_windsurf.bmp	New31	1	2	3.883	5.0	339	730.427	3.0	733.436	0.5	Old27	Enc77
116	New	fruit_apricot_new.bmp	New04	1	2	3.3360000000000003	5.0	339	733.937	3.0	736.946	13.0	Old16	Enc78
