	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT	Condition	CorrectSource	Stim_RT
107	OLD	musical_acoustic guitar_new.bmp	Old42	1	1	3.128	9.0	450	1	6	0.7290000000000001
108	OLD	food_frenchfries.bmp	Old20	1	1	1.071	6.0	283	1	9	0.983
109	New	musical_tambourine_new.bmp	New06	1	2	1.053	6.0	283	0	5	0.8240000000000001
110	New	fruit_granny smith apple.bmp	New16	1	2	0.8809999999999999	6.0	283	0	6	0.604
111	New	sporting_weighlifting.bmp	New25	1	2	0.748	6.0	283	1	5	0.961
112	OLD	vegie_cauliflower.bmp	Old72	1	1	0.988	8.0	610	1	6	0.976
113	OLD	musical_harmonica_new.bmp	Old47	1	1	2.582	9.0	431	0	9	0.785
114	OLD	animal_farm pig.bmp	Old05	0	2	0.9790000000000001	9.0	431	1	5	0.6970000000000001
115	New	sporting_golf ball.bmp	New19	1	2	8.587	9.0	431	1	5	0.862
116	OLD	musical_violin_old.bmp	Old51	1	1	3.772	8.0	308	1	8	0.725
