trial_num	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	CorrectSource	Stim_RT	onset	stimDurSec	fixOnsetSec	fixlen	ImageID	trial_type	duration	isi	isiFix	trial_end	unscanned	stimDur	fixDur	fixcross
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0.901	14.531	3.0	17.53	6.5	Old64	Enc01	20.53			35.061	False			17.53
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1.419	24.03	3.0	27.03	2.0	Old07	Enc02	30.03	9.499	9.5	54.06	False	9.499	9.5	27.03
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	1.501	29.029	3.0	32.029	1.5	Old18	Enc03	35.029	4.998999999999999	4.999000000000002	64.058	False	4.998999999999999	4.999000000000002	32.029
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	9	1.135	33.529	3.0	36.529	1.0	Old73	Enc04	39.529	4.5000000000000036	4.5	73.058	False	4.500000000000004	4.5	36.529
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	8	1.029	37.529	3.0	40.528	8.5	Old59	Enc05	43.528	4.0	3.9989999999999952	81.057	False	4.0	3.9989999999999952	40.528
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	9	1.005	49.028	3.0	52.027	2.0	Old43	Enc06	55.027	11.498999999999995	11.499000000000002	104.055	False	11.498999999999995	11.499000000000002	52.027
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	0.726	54.027	3.0	57.027	2.5	Old31	Enc07	60.027	4.999000000000002	5.0	114.054	False	4.999000000000002	5.0	57.027
9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	6	1.195	68.52600000000001	3.0	71.52600000000002	0.5	Old47	Enc08	74.52600000000002	4.5	4.500000000000014	143.05200000000002	False	4.5	4.500000000000014	71.52600000000002
11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	5	0.769	75.525	3.0	78.525	2.0	Old15	Enc09	81.525	3.498999999999981	3.5	157.05	False	3.498999999999981	3.5	78.525
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	6	0.997	80.525	3.0	83.524	1.5	Old27	Enc10	86.524	5.0	4.998999999999995	167.049	False	5.0	4.998999999999995	83.524
14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	6	0.967	90.024	3.0	93.024	7.5	Old11	Enc11	96.024	5.0	5.0	186.048	False	5.0	5.0	93.024
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	8	0.746	100.523	3.0	103.523	5.0	Old17	Enc12	106.523	10.498999999999995	10.498999999999995	207.046	False	10.498999999999995	10.498999999999995	103.523
