category	stim	oldnumber	recognition_acc	recognition_resp	recognition_rt	spatial_resp	spatial_rt	spatial_acc( corriger voir output-encodage)
old	kitchen_martini glass.bmp	old32	1	1	1282	5.0	462	
old	sporting_skipping rope.bmp	old63	1	1	1266	5.0	463	
old	food_pickle01a.bmp	old22	1	1	1083	6.0	543	
old	sporting_soccer ball_new.bmp	old65	0	2	3120	6.0	543	
old	vegie_green capsicum.bmp	old75	0	2	1570	6.0	543	
old	food_toast.bmp	old26	1	1	1097	5.0	357	
new	animal_gorilla.bmp	new15	1	2	1677	5.0	357	
old	animal_farm pig.bmp	old05	1	1	1473	8.0	1141	
new	fruit_apricot_new.bmp	new04	1	2	1430	8.0	1141	
old	fruit_lemon_new.bmp	old69	1	1	3068	9.0	1561	
old	kitchen_plate.bmp	old35	1	1	1306	6.0	596	
old	vegie_mushroom.bmp	old76	1	1	1675	6.0	4246	
old	kitchen_cookie cutter.bmp	old30	1	1	1413	9.0	595	
old	musical_harmonica_new.bmp	old47	1	1	2330	9.0	972	
old	musical_clarinet_new.bmp	old44	1	1	2692	8.0	568	
new	sporting_golf ball.bmp	new19	1	2	1256	8.0	568	
old	sporting_boxing_gloves.bmp	old56	1	1	1573	8.0	773	
old	food_shellpasta.bmp	old25	1	1	1836	6.0	1162	
old	vegie_garlic01a.bmp	old74	1	1	2170	6.0	915	
old	sporting_rollerblade.bmp	old62	1	1	1252	9.0	528	
old	animal_monarch_old.bmp	old08	0	2	1738	9.0	528	
