category	stim	oldnumber	recognition_acc	recognition_resp	recognition_rt	spatial_resp	spatial_rt	spatial_acc( corriger voir output-encodage)
old	vegie_radish.bmp	old77	1	1	12980	5	3756	
old	kitchen_peppermill.bmp	old33	0	2	3652	5	3756	
old	animal_parrot.bmp	old09	1	1	3480	9	2908	
old	kitchen_apron.bmp	old27	0	2	4709	9	2908	
old	musical_harmonica_new.bmp	old47	1	1	3303	8	4209	
old	kitchen_white strainer.bmp	old38	0	2	3599	8	4209	
new	musical_uculele_new.bmp	new39	0	1	2909	9	2568	
new	sporting_flippers.bmp	new02	0	1	3271	8	2139	
new	sporting_basketball_new.bmp	new14	0	1	3260	6	2201	
old	food_baguette01.bmp	old14	0	2	2302	6	2201	
old	animal_dalmation_old.bmp	old04	1	1	4704	5	13603	
new	animal_seal.bmp	new38	1	2	7786	5	13603	
old	kitchen_plate.bmp	old35	1	1	2833	5	2943	
old	animal_lion_new.bmp	old07	0	2	3895	5	2943	
new	musical_bagpipes.bmp	new35	0	1	3584	9	2088	
old	sporting_boxing_gloves.bmp	old56	0	2	3282	9	2088	
old	vegie_corn02.bmp	old73	1	1	2173	5	2525	
old	animal_frog.bmp	old06	0	2	2246	5	2525	
old	kitchen_big cooking pot.bmp	old28	1	1	2474	5	654	
old	animal_zebra_old.bmp	old13	1	1	2729	6	572	
old	animal_penguin.bmp	old10	0	2	5923	6	572	
old	fruit_green grapes.bmp	old68	1	1	1940	9	462	
new	vegie_pumpkin.bmp	new21	0	1	2026	9	3768	
old	animal_chimpanzee.bmp	old03	0	2	2687	9	3768	
old	kitchen_wooden spoon_old.bmp	old39	1	1	2586	8	1745	
old	fruit_lemon_new.bmp	old69	1	1	1641	9	1487	
old	animal_sheep.bmp	old11	1	1	1721	6	1340	
old	kitchen_cookie cutter.bmp	old30	0	2	1516	6	1340	
old	food_bottleofredwine01.bmp	old15	1	1	1517	9	503	
old	food_cracker02.bmp	old18	0	2	1609	9	503	
new	animal_giraffe.bmp	new03	1	2	2630	9	503	
new	sporting_weighlifting.bmp	new25	1	2	1810	9	503	
old	kitchen_tea cup and saucer.bmp	old37	0	2	1248	9	503	
old	musical_triangle.bmp	old49	0	2	1524	9	503	
new	vegie_snowpea01.bmp	new27	0	1	2101	5	2225	
new	kitchen_baking spatula.bmp	new01	1	2	1670	5	2225	
old	animal_cheetah.bmp	old02	1	1	1745	6	1107	
old	sporting_footballhelmet.bmp	old57	1	1	2076	8	1393	
old	kitchen_martini glass.bmp	old32	1	1	1183	9	559	
old	kitchen_ladle.bmp	old31	1	1	2647	5	821	
new	musical_zamponia windflute.bmp	new29	1	2	4218	5	821	
new	animal_pigeon.bmp	new32	1	2	2159	5	821	
old	food_pecan02.bmp	old21	0	2	2189	5	821	
new	fruit_rasberry.bmp	new10	0	1	2547	5	1125	
old	musical_xylophone_old.bmp	old52	0	2	1119	5	1125	
new	kitchen_kettle_new.bmp	new24	0	1	1959	5	752	
new	animal_horse.bmp	new20	0	1	1584	6	440	
new	food_pizza.bmp	new22	1	2	2324	6	440	
old	sporting_bicycle_old.bmp	old55	0	2	1405	6	440	
new	food_drink.bmp	new05	0	1	1819	9	1841	
new	vegie_cucumber.bmp	new33	0	1	1533	8	3288	
old	sporting_snow shoes_old.bmp	old64	0	2	2058	8	3288	
old	musical_violin_old.bmp	old51	1	1	1286	8	2234	
old	vegie_garlic01a.bmp	old74	0	2	2254	8	2234	
old	food_shellpasta.bmp	old25	0	2	1410	8	2234	
old	food_softcheese.bmp	old24	0	2	3567	8	2234	
old	food_toast.bmp	old26	0	2	1631	8	2234	
new	musical_tambourine_new.bmp	new06	1	2	2324	8	2234	
new	vegie_broccoli.bmp	new36	0	1	1349	9	679	
old	sporting_karate clothing.bmp	old60	0	2	4313	9	679	
new	kitchen_garlic press.bmp	new07	1	2	2969	9	679	
old	musical_drums_old.bmp	old46	0	2	1688	9	679	
new	kitchen_toaster_old.bmp	new30	1	2	1979	9	679	
new	food_bread.bmp	new28	1	2	1601	9	679	
old	vegie_green capsicum.bmp	old75	1	1	4415	5	3286	
old	musical_acoustic guitar_new.bmp	old42	1	1	3608	5	1607	
old	hard_musical_recorder.bmp	old40	0	2	2956	5	1607	
old	animal_monarch_old.bmp	old08	1	1	1164	9	612	
old	musical_accordion_old.bmp	old41	1	1	2377	6	2738	
old	animal_farm pig.bmp	old05	1	1	4418	5	1984	
new	food_cookie01.bmp	new11	1	2	2727	5	1984	
new	kitchen_fork_old.bmp	new18	1	2	1623	5	1984	
new	fruit_apricot_new.bmp	new04	0	1	2780	8	732	
old	sporting_fishing rod.bmp	old59	0	2	2013	8	732	
old	food_croissant01.bmp	old19	0	2	849	8	732	
