category	stim	oldnumber	recognition_acc	recognition_resp	recognition_rt	spatial_resp	spatial_rt	spatial_acc( corriger voir output-encodage)
old	animal_parrot.bmp	old09	0	2	1619	5	2914	
old	vegie_radish.bmp	old77	1	1	1280	5	956	
old	vegie_cauliflower.bmp	old72	1	1	2284	9	703	
new	vegie_cucumber.bmp	new33	0	1	2343	9	1265	
new	musical_tambourine_new.bmp	new06	1	2	1642	9	1265	
old	food_pecan02.bmp	old21	1	1	2046	8	692	
old	sporting_skipping rope.bmp	old63	0	2	1630	8	692	
old	food_baguette01.bmp	old14	1	1	1271	5	1211	
new	musical_french horn_old.bmp	new12	0	1	2128	9	2770	
old	animal_monarch_old.bmp	old08	1	1	3090	8	2278	
old	fruit_watermelon_old.bmp	old71	1	1	4184	5	6224	
old	kitchen_apron.bmp	old27	0	2	7390	5	6224	
