category	stim	oldnumber	recognition_acc	recognition_resp	recognition_rt	spatial_resp	spatial_rt	spatial_acc( corriger voir output-encodage)
old	kitchen_big cooking pot.bmp	old28	0	2	4805		0	
old	fruit_lemon_new.bmp	old69	1	1	2467	8.0	1048	
old	musical_xylophone_old.bmp	old52	0	2	5595	8.0	1048	
old	animal_dalmation_old.bmp	old04	1	1	2409	6.0	1078	
old	animal_frog.bmp	old06	1	1	4152	9.0	2369	
old	kitchen_plate.bmp	old35	1	1	2033	8.0	1391	
old	animal_monarch_old.bmp	old08	1	1	3053	8.0	786	
new	fruit_cherry.bmp	old67	1	1	3370	8.0	914	
old	animal_chimpanzee.bmp	old03	1	1	4354	9.0	6690	
old	animal_parrot.bmp	old09	1	1	2317	9.0	2400	
old	musical_double bass.bmp	old45	1	1	2069	8.0	977	
new	kitchen_garlic press.bmp	new07	1	2	1959	8.0	977	
old	kitchen_coffee pot.bmp	old29	1	1	1671	5.0	747	
old	animal_zebra_old.bmp	old13	1	1	2906	5.0	2669	
old	sporting_karate clothing.bmp	old60	0	2	1606	5.0	2669	
old	food_bottleofredwine01.bmp	old15	1	1	2076	8.0	912	
old	vegie_cauliflower.bmp	old72	1	1	1681	8.0	781	
old	sporting_boxing_gloves.bmp	old56	1	1	2666	5.0	903	
old	food_baguette01.bmp	old14	1	1	1327	9.0	938	
new	sporting_baseball bat_new.bmp	new08	1	2	2435	9.0	938	
new	animal_ostrich.bmp	new26	1	2	5023	9.0	938	
old	vegie_mushroom.bmp	old76	1	1	3195	6.0	3123	
old	sporting_skipping rope.bmp	old63	1	1	2461	9.0	834	
new	food_bread.bmp	new28	1	2	3183	9.0	834	
old	sporting_rollerblade.bmp	old62	1	1	2718	9.0	2392	
old	sporting_soccer ball_new.bmp	old65	1	1	1246	6.0	676	
old	kitchen_ladle.bmp	old31	1	1	2661	6.0	625	
new	animal_dolphin_old.bmp	new09	1	2	2246	6.0	625	
old	food_cracker02.bmp	old18	1	1	2026	5.0	1424	
old	food_toast.bmp	old26	1	1	1318	9.0	648	
old	sporting_footballhelmet.bmp	old57	0	2	1636	9.0	648	
